Code	Category	Code_Type	Source
I21	MI	ICD10	MHCP_Charlson
I22	MI	ICD10	MHCP_Charlson
I252	MI	ICD10	MHCP_Charlson
I43	CHF	ICD10	MHCP_Charlson
I50	CHF	ICD10	MHCP_Charlson
I099	CHF	ICD10	MHCP_Charlson
I110	CHF	ICD10	MHCP_Charlson
I130	CHF	ICD10	MHCP_Charlson
I132	CHF	ICD10	MHCP_Charlson
I255	CHF	ICD10	MHCP_Charlson
I420	CHF	ICD10	MHCP_Charlson
I425	CHF	ICD10	MHCP_Charlson
I426	CHF	ICD10	MHCP_Charlson
I427	CHF	ICD10	MHCP_Charlson
I428	CHF	ICD10	MHCP_Charlson
I429	CHF	ICD10	MHCP_Charlson
P290	CHF	ICD10	MHCP_Charlson
I70	PeripheralVascular	ICD10	MHCP_Charlson
I71	PeripheralVascular	ICD10	MHCP_Charlson
I731	PeripheralVascular	ICD10	MHCP_Charlson
I738	PeripheralVascular	ICD10	MHCP_Charlson
I739	PeripheralVascular	ICD10	MHCP_Charlson
I771	PeripheralVascular	ICD10	MHCP_Charlson
I790	PeripheralVascular	ICD10	MHCP_Charlson
I792	PeripheralVascular	ICD10	MHCP_Charlson
K551	PeripheralVascular	ICD10	MHCP_Charlson
K558	PeripheralVascular	ICD10	MHCP_Charlson
K559	PeripheralVascular	ICD10	MHCP_Charlson
Z958	PeripheralVascular	ICD10	MHCP_Charlson
Z959	PeripheralVascular	ICD10	MHCP_Charlson
G45	Cerebrovascular	ICD10	MHCP_Charlson
G46	Cerebrovascular	ICD10	MHCP_Charlson
I60	Cerebrovascular	ICD10	MHCP_Charlson
I61	Cerebrovascular	ICD10	MHCP_Charlson
I62	Cerebrovascular	ICD10	MHCP_Charlson
I63	Cerebrovascular	ICD10	MHCP_Charlson
I64	Cerebrovascular	ICD10	MHCP_Charlson
I65	Cerebrovascular	ICD10	MHCP_Charlson
I66	Cerebrovascular	ICD10	MHCP_Charlson
I67	Cerebrovascular	ICD10	MHCP_Charlson
I68	Cerebrovascular	ICD10	MHCP_Charlson
I69	Cerebrovascular	ICD10	MHCP_Charlson
H340	Cerebrovascular	ICD10	MHCP_Charlson
F00	Dementia	ICD10	MHCP_Charlson
F01	Dementia	ICD10	MHCP_Charlson
F02	Dementia	ICD10	MHCP_Charlson
F03	Dementia	ICD10	MHCP_Charlson
G30	Dementia	ICD10	MHCP_Charlson
F051	Dementia	ICD10	MHCP_Charlson
G311	Dementia	ICD10	MHCP_Charlson
J40	COPD	ICD10	MHCP_Charlson
J41	COPD	ICD10	MHCP_Charlson
J42	COPD	ICD10	MHCP_Charlson
J43	COPD	ICD10	MHCP_Charlson
J44	COPD	ICD10	MHCP_Charlson
J45	COPD	ICD10	MHCP_Charlson
J46	COPD	ICD10	MHCP_Charlson
J47	COPD	ICD10	MHCP_Charlson
J60	COPD	ICD10	MHCP_Charlson
J61	COPD	ICD10	MHCP_Charlson
J62	COPD	ICD10	MHCP_Charlson
J63	COPD	ICD10	MHCP_Charlson
J64	COPD	ICD10	MHCP_Charlson
J65	COPD	ICD10	MHCP_Charlson
J66	COPD	ICD10	MHCP_Charlson
J67	COPD	ICD10	MHCP_Charlson
I278	COPD	ICD10	MHCP_Charlson
I279	COPD	ICD10	MHCP_Charlson
J684	COPD	ICD10	MHCP_Charlson
