proc_code	description	base_name	component_name	count
LABPOCGLU	GLUCOSE BY METER	GLU	GLUCOSE BY METER	1139495
LABPOCGLU	GLUCOSE BY METER	PCCOM	POCT COMMENT	1139495
LABPOCGLU	GLUCOSE BY METER	SOU	SOURCE	1139495
LABMETB	"METABOLIC PANEL, BASIC"	AG	ANION GAP	454658
LABMETB	"METABOLIC PANEL, BASIC"	BUN	"UREA NITROGEN,SER/PLAS"	454658
LABMETB	"METABOLIC PANEL, BASIC"	CA	"CALCIUM, SER/PLAS"	454658
LABMETB	"METABOLIC PANEL, BASIC"	CL	"CHLORIDE, SER/PLAS"	454658
LABMETB	"METABOLIC PANEL, BASIC"	CO2	"CO2, SER/PLAS"	454658
LABMETB	"METABOLIC PANEL, BASIC"	CR	"CREATININE, SER/PLAS"	454658
LABMETB	"METABOLIC PANEL, BASIC"	GLU	"GLUCOSE, SER/PLAS"	454658
LABMETB	"METABOLIC PANEL, BASIC"	K	"POTASSIUM, SER/PLAS"	454658
LABMETB	"METABOLIC PANEL, BASIC"	NA	"SODIUM, SER/PLAS"	454658
LABCBCD	CBC WITH DIFF	WBC	WBC	448137
LABCBCD	CBC WITH DIFF	MCHC	MCHC	448131
LABCBCD	CBC WITH DIFF	MCV	MCV	448131
LABCBCD	CBC WITH DIFF	MCH	MCH	448130
LABCBCD	CBC WITH DIFF	HGB	HEMOGLOBIN	448128
LABCBCD	CBC WITH DIFF	PLT	PLATELET COUNT	448127
LABCBCD	CBC WITH DIFF	RBC	RBC	448127
LABCBCD	CBC WITH DIFF	HCT	HEMATOCRIT	448124
LABCBCD	CBC WITH DIFF	RDW	RDW	448124
LABCBCD	CBC WITH DIFF	NEUTAB	"NEUT, ABS"	413421
LABCBCD	CBC WITH DIFF	MONOAB	"MONO, ABS"	413419
LABCBCD	CBC WITH DIFF	MONO	"MONO, %"	413408
LABCBCD	CBC WITH DIFF	LYM	"LYM, %"	413402
LABCBCD	CBC WITH DIFF	EOS	"EOS, %"	413400
LABCBCD	CBC WITH DIFF	NEUT	"NEUT, %"	413400
LABCBCD	CBC WITH DIFF	BASO	"BASO, %"	413399
LABCBCD	CBC WITH DIFF	BASOAB	"BASOS, ABS"	413399
LABCBCD	CBC WITH DIFF	EOSAB	"EOS, ABS"	413399
LABCBCD	CBC WITH DIFF	LYMAB	"LYM, ABS"	413399
LABMGN	"MAGNESIUM, SERUM/PLASMA"	MG	"MAGNESIUM, SER/PLAS"	390034
LABPT	PROTHROMBIN TIME	INR	INR	285359
LABPT	PROTHROMBIN TIME	PT	PROTHROMBIN TIME	285358
LABMETC	"METABOLIC PANEL, COMPREHENSIVE"	AG	ANION GAP	257387
LABMETC	"METABOLIC PANEL, COMPREHENSIVE"	ALB	"ALBUMIN, SER/PLAS"	257387
LABMETC	"METABOLIC PANEL, COMPREHENSIVE"	ALKP	"ALK P\'TASE, TOTAL, SER/PLAS"	257387
LABMETC	"METABOLIC PANEL, COMPREHENSIVE"	ALT	"ALT (SGPT), SER/PLAS"	257387
LABMETC	"METABOLIC PANEL, COMPREHENSIVE"	BUN	"UREA NITROGEN,SER/PLAS"	257387
LABMETC	"METABOLIC PANEL, COMPREHENSIVE"	CA	"CALCIUM, SER/PLAS"	257387
LABMETC	"METABOLIC PANEL, COMPREHENSIVE"	CL	"CHLORIDE, SER/PLAS"	257387
LABMETC	"METABOLIC PANEL, COMPREHENSIVE"	CO2	"CO2, SER/PLAS"	257387
LABMETC	"METABOLIC PANEL, COMPREHENSIVE"	CR	"CREATININE, SER/PLAS"	257387
LABMETC	"METABOLIC PANEL, COMPREHENSIVE"	GLOB	GLOBULIN	257387
LABMETC	"METABOLIC PANEL, COMPREHENSIVE"	GLU	"GLUCOSE, SER/PLAS"	257387
LABMETC	"METABOLIC PANEL, COMPREHENSIVE"	K	"POTASSIUM, SER/PLAS"	257387
LABMETC	"METABOLIC PANEL, COMPREHENSIVE"	NA	"SODIUM, SER/PLAS"	257387
LABMETC	"METABOLIC PANEL, COMPREHENSIVE"	TBIL	TOTAL BILIRUBIN	257387
LABMETC	"METABOLIC PANEL, COMPREHENSIVE"	TP	"PROTEIN, TOTAL, SER/PLAS"	257387
LABMETC	"METABOLIC PANEL, COMPREHENSIVE"	AST	"AST (SGOT), SER/PLAS"	257385
LABSPR	SPECIMEN REMARK	SPR	SPECIMEN REMARK	250878
LABCBCO	CBC	WBC	WBC	238745
LABCBCO	CBC	HCT	HEMATOCRIT	238742
LABCBCO	CBC	HGB	HEMOGLOBIN	238742
LABCBCO	CBC	PLT	PLATELET COUNT	238742
LABCBCO	CBC	RBC	RBC	238742
LABCBCO	CBC	MCV	MCV	238739
LABCBCO	CBC	RDW	RDW	238739
LABCBCO	CBC	MCHC	MCHC	238738
LABCBCO	CBC	MCH	MCH	238737
LABPHOS	"PHOSPHORUS, SERUM/PLASMA"	PHOS	"PHOSPHORUS, SER/PLAS"	199586
LABPTT	PTT PARTIAL THROMBOPLASTIN TIME	PTT	PART. THROMBOPLASTIN TIME	197062
LABPCG3	"ISTAT G3+, ARTERIAL"	PCCOM	POCT COMMENT	191365
LABPCG3	"ISTAT G3+, ARTERIAL"	PCO2A	"PCO2 (A), ISTAT"	191365
LABPCG3	"ISTAT G3+, ARTERIAL"	PHA	"PH (A), ISTAT"	191365
LABPCG3	"ISTAT G3+, ARTERIAL"	PO2A	"PO2 (A), ISTAT"	191365
LABPCG3	"ISTAT G3+, ARTERIAL"	HCO3A	"HCO3 (A), ISTAT"	191363
LABPCG3	"ISTAT G3+, ARTERIAL"	TCO2A	"TCO2, ISTAT"	191363
LABPCG3	"ISTAT G3+, ARTERIAL"	O2SATA	"O2 SATURATION, ISTAT"	191362
LABPCG3	"ISTAT G3+, ARTERIAL"	FIO2	FIO2	171167
LABCAI	"CALCIUM IONIZED, SERUM/PLASMA"	CAION	"CALCIUM, IONIZED"	163428
EKG5	ECG 12-LEAD	ECGIMPRESS	ECG IMPRESSION	118728
EKG5	ECG 12-LEAD	HEARTRATE	HEART RATE	118728
EKG5	ECG 12-LEAD	QRSAXIS	QRS AXIS	118728
EKG5	ECG 12-LEAD	QTCINTERVAL	QTC INTERVAL	118728
EKG5	ECG 12-LEAD	RR	RR	118728
EKG5	ECG 12-LEAD	QRSDINTERVAL	QRSD INTERVAL	118708
EKG5	ECG 12-LEAD	QTINTERVAL	QT INTERVAL	118675
EKG5	ECG 12-LEAD	TWAVEAXIS	T WAVE AXIS	117205
LABTBP	TRANSFUSION BLOOD PRODUCT 1	SI	<<STATUS>>  	109838
LABTBP	TRANSFUSION BLOOD PRODUCT 1	PRO	PRODUCT ID  	109836
LABMETB	"METABOLIC PANEL, BASIC"	EGFR	EGFR	106672
LABPCG3	"ISTAT G3+, ARTERIAL"	BE	"BASE EXCESS, ISTAT"	104016
EKG5	ECG 12-LEAD	PRINTERVAL	P-R INTERVAL	102126
EKG5	ECG 12-LEAD	PAXIS	P AXIS	101996
LABTBP	TRANSFUSION BLOOD PRODUCT 1	UBT	UNIT BLOOD TYPE  	99587
LABTBP	TRANSFUSION BLOOD PRODUCT 1	UNT	UNIT NUMBER  	99586
LABCBCD	CBC WITH DIFF	MORPH	MORPHOLOGY	95057
LABCBCD	CBC WITH DIFF	SLREV	SLIDE REVIEW	95057
LABPCG3	"ISTAT G3+, ARTERIAL"	BD	"BASE DEFICIT, ISTAT"	87576
LABTBP	TRANSFUSION BLOOD PRODUCT 1	DI	ISSUE DATE/TIME	82382
LABTNI	TROPONIN I	TNI	TROPONIN I	73810
LABLAC	LACTIC ACID	LAC	LACTIC ACID	68720
LABCAI	"CALCIUM IONIZED, SERUM/PLASMA"	PHCAI	PH	67346
LABPCG3	"ISTAT G3+, ARTERIAL"	PCTEMP	BODY TEMPERATURE	64896
LABTBP1	TRANSFUSION BLOOD PRODUCT 2	SI	<<STATUS>>  	64591
LABTBP1	TRANSFUSION BLOOD PRODUCT 2	PRO	PRODUCT ID  	64588
LABABG	"BLOOD GASES, ARTERIAL"	PHA	PH (A)	62623
LABABG	"BLOOD GASES, ARTERIAL"	CL	"CHLORIDE, WHOLE BLD"	62622
LABABG	"BLOOD GASES, ARTERIAL"	GLU	"GLUCOSE, WHOLE BLOOD"	62622
LABABG	"BLOOD GASES, ARTERIAL"	HCO3A	HCO3	62622
LABABG	"BLOOD GASES, ARTERIAL"	HCT	HCT (EST)	62622
LABABG	"BLOOD GASES, ARTERIAL"	HGBBG	THB	62622
LABABG	"BLOOD GASES, ARTERIAL"	K	"POTASSIUM, WHOLE BLD"	62622
LABABG	"BLOOD GASES, ARTERIAL"	NA	"SODIUM, WHOLE BLOOD"	62622
LABABG	"BLOOD GASES, ARTERIAL"	PCO2A	PCO2 (A)	62622
LABABG	"BLOOD GASES, ARTERIAL"	PO2A	PO2 (A)	62622
LABABG	"BLOOD GASES, ARTERIAL"	TCO2A	TCO2	62622
LABABG	"BLOOD GASES, ARTERIAL"	METHB	METHEMOGLOBIN	62621
LABABG	"BLOOD GASES, ARTERIAL"	CAION	"CALCIUM, IONIZED"	62620
LABABG	"BLOOD GASES, ARTERIAL"	COHB	CO-HEMOGLOBIN	62620
LABABG	"BLOOD GASES, ARTERIAL"	CTO2A	CTO2 (A)	62620
LABABG	"BLOOD GASES, ARTERIAL"	O2HBA	O2-HEMOGLOBIN (A)	62620
LABBBPRBC	RED BLOOD CELLS	RBCSTA	RBC PRODUCT - UNITS	62186
LABMETC	"METABOLIC PANEL, COMPREHENSIVE"	EGFR	EGFR	60562
LABTBP	TRANSFUSION BLOOD PRODUCT 1	XMR	UNIT CROSSMATCH  	55668
LABHFP	HEPATIC FUNCTION PANEL A	ALB	"ALBUMIN, SER/PLAS"	55660
LABHFP	HEPATIC FUNCTION PANEL A	ALKP	"ALK P\'TASE, TOTAL, SER/PLAS"	55660
LABHFP	HEPATIC FUNCTION PANEL A	ALT	"ALT (SGPT), SER/PLAS"	55660
LABHFP	HEPATIC FUNCTION PANEL A	AST	"AST (SGOT), SER/PLAS"	55660
LABHFP	HEPATIC FUNCTION PANEL A	DBIL	CONJUGATED BILI	55660
LABHFP	HEPATIC FUNCTION PANEL A	IBIL	UNCONJUGATED BILIRUBIN	55660
LABHFP	HEPATIC FUNCTION PANEL A	TBIL	TOTAL BILIRUBIN	55660
LABHFP	HEPATIC FUNCTION PANEL A	TP	"PROTEIN, TOTAL, SER/PLAS"	55660
LABTBP1	TRANSFUSION BLOOD PRODUCT 2	UBT	UNIT BLOOD TYPE  	54497
LABTBP1	TRANSFUSION BLOOD PRODUCT 2	UNT	UNIT NUMBER  	54497
LABABG	"BLOOD GASES, ARTERIAL"	BD	BASE DEFICIT (VT)	51646
LABBLC	BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES)	CULT	CULT/OTHER RSLT:	49366
LABBLC	BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES)	RPT	RPT	49366
LABBLC	BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES)	SDES	SPECIMEN	49366
LABBLC	BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES)	SREQ	COMMENTS	49366
LABK	"POTASSIUM, SERUM/PLASMA"	K	"POTASSIUM, SER/PLAS"	48138
LABUA	URINALYSIS WITH MICROSCOPIC	SPECMN	SPECIMEN	46316
LABUA	URINALYSIS WITH MICROSCOPIC	UCOL	COLOR	46316
LABUA	URINALYSIS WITH MICROSCOPIC	LEUKEST	LEUK ESTERASE	46312
LABUA	URINALYSIS WITH MICROSCOPIC	NITRITE	NITRITE	46312
LABUA	URINALYSIS WITH MICROSCOPIC	SPG	SPECIFIC GRAVITY	46312
LABUA	URINALYSIS WITH MICROSCOPIC	UBLOOD	BLOOD	46312
LABUA	URINALYSIS WITH MICROSCOPIC	UCLAR	CLARITY	46312
LABUA	URINALYSIS WITH MICROSCOPIC	UGLU	GLUCOSE	46312
LABUA	URINALYSIS WITH MICROSCOPIC	UKET	KETONE	46312
LABUA	URINALYSIS WITH MICROSCOPIC	UPH	PH	46312
LABUA	URINALYSIS WITH MICROSCOPIC	UPROT	PROTEIN	46312
LABUA	URINALYSIS WITH MICROSCOPIC	URBC	"RBC, URINE"	46311
LABUA	URINALYSIS WITH MICROSCOPIC	UWBC	"WBC, URINE"	46311
LABTYPSNI	TYPE AND SCREEN	ARG	ABO/RH (AUTOMATION)	46177
LABCBCD	CBC WITH DIFF	SIGNIF	SIGNIFICANT ABNORMALITIES	46052
LABUA	URINALYSIS WITH MICROSCOPIC	UBACT	BACTERIA	46023
LABUA	URINALYSIS WITH MICROSCOPIC	UCMT	URINE COMMENT	46018
LABTYPSNI	TYPE AND SCREEN	AS3	ANTIBODY SCREEN	45808
LABBLC2	BLOOD CULTURE (2 AEROBIC BOTTLES)	CULT	CULT/OTHER RSLT:	43898
LABBLC2	BLOOD CULTURE (2 AEROBIC BOTTLES)	RPT	RPT	43898
LABBLC2	BLOOD CULTURE (2 AEROBIC BOTTLES)	SDES	SPECIMEN	43898
LABBLC2	BLOOD CULTURE (2 AEROBIC BOTTLES)	SREQ	COMMENTS	43898
LABMB	"CK, MB (MASS)"	CKMB	"CK, MB (MASS)"	40071
LABTBP1	TRANSFUSION BLOOD PRODUCT 2	DI	ISSUE DATE/TIME	40063
LABROMRS	MRSA SCREEN	CULT	CULT/OTHER RSLT:	39655
LABROMRS	MRSA SCREEN	RPT	RPT	39655
LABROMRS	MRSA SCREEN	SDES	SPECIMEN	39655
LABROMRS	MRSA SCREEN	SREQ	COMMENTS	39655
LABFK506L	TACROLIMUS (FK506)	FK506	"PEAK, TROUGH, OR RANDOM"	39396
LABFK506L	TACROLIMUS (FK506)	FK506	TACROLIMUS (FK506)	39396
LABFK506L	TACROLIMUS (FK506)	TACR2	DATE & TIME OF LAST DOSE	39396
LABFK506L	TACROLIMUS (FK506)	TACR3	DOSAGE	39396
LABFK506L	TACROLIMUS (FK506)	TACR4	ADMINISTRATION ROUTE	39396
LABTBP1	TRANSFUSION BLOOD PRODUCT 2	XMR	UNIT CROSSMATCH  	37707
LABVBG	"BLOOD GASES, VENOUS"	PHV	PH (V)	37624
LABVBG	"BLOOD GASES, VENOUS"	CTO2V	CTO2 (V)	37623
LABVBG	"BLOOD GASES, VENOUS"	GLU	"GLUCOSE, WHOLE BLOOD"	37623
LABVBG	"BLOOD GASES, VENOUS"	HCO3A	HCO3	37623
LABVBG	"BLOOD GASES, VENOUS"	HCT	HCT (EST)	37623
LABVBG	"BLOOD GASES, VENOUS"	K	"POTASSIUM, WHOLE BLD"	37623
LABVBG	"BLOOD GASES, VENOUS"	PCO2V	PCO2 (V)	37623
LABVBG	"BLOOD GASES, VENOUS"	PO2V	PO2 (V)	37623
LABVBG	"BLOOD GASES, VENOUS"	TCO2A	TCO2	37623
LABVBG	"BLOOD GASES, VENOUS"	CAION	"CALCIUM, IONIZED"	37622
LABVBG	"BLOOD GASES, VENOUS"	CL	"CHLORIDE, WHOLE BLD"	37622
LABVBG	"BLOOD GASES, VENOUS"	COHB	CO-HEMOGLOBIN	37622
LABVBG	"BLOOD GASES, VENOUS"	HGBBG	THB	37622
LABVBG	"BLOOD GASES, VENOUS"	METHB	METHEMOGLOBIN	37622
LABVBG	"BLOOD GASES, VENOUS"	NA	"SODIUM, WHOLE BLOOD"	37622
LABVBG	"BLOOD GASES, VENOUS"	O2SATV	O2 SATURATION (V)	37622
LABMB	"CK, MB (MASS)"	CK	"CK, TOTAL"	37594
LABURNC	URINE CULTURE	CULT	CULT/OTHER RSLT:	34444
LABURNC	URINE CULTURE	RPT	RPT	34444
LABURNC	URINE CULTURE	SDES	SPECIMEN	34444
LABURNC	URINE CULTURE	SREQ	COMMENTS	34444
LABCBCD	CBC WITH DIFF	LYM	LYMPHOCYTES	33951
LABCBCD	CBC WITH DIFF	NEUTAB	"NEUT,ABS (MAN DIFF)"	33746
LABCBCD	CBC WITH DIFF	NEUT	SEG NEUTROPHILS	33700
LABCBCD	CBC WITH DIFF	LYMAB	"LYM, ABS (MAN DIFF)"	33606
LABLDH	"LDH TOTAL, SERUM / PLASMA"	LDH	"LDH, TOTAL, SER/PLAS"	33443
LABHCTX	HEMATOCRIT	HCT	HEMATOCRIT	32774
