# Aggregate primary Treatment Team designations into broad care categories
treatment_team	team_category
PROV_NAME	team_category
CARDIOLOGY D, ROUNDING TEAM	Cardiology
GI/BILIARY, ROUNDING TEAM	Medicine
MEDICINE D3, ROUNDING TEAM	Medicine
NEURO IR, ROUNDING TEAM	Interventional
NEUROSURGERY TUMOR B, ROUNDING	SurgerySpecialty
ORTHO SPORTS, ROUNDING TEAM	SurgerySpecialty
PROCEDURE, ROUNDING TEAM	SurgerySpecialty
GYNE-ONCOLOGY, ROUNDING TEAM	HemeOnc
KIDNEY TRANSPLANT, ROUNDING TEAM	TransplantSpeciality
MEDICINE C2, ROUNDING TEAM	Medicine
MEDICINE G2, ROUNDING TEAM	Medicine
ORTHO SERVICE, ROUNDING TEAM	SurgerySpecialty
UROLOGY PARNASSUS, ROUNDING TEAM	SurgerySpecialty
VASCULAR SURG, ROUNDING TEAM	SurgerySpecialty
CARDIOLOGY E, ROUNDING TEAM	Cardiology
CHF, ROUNDING TEAM	Cardiology
GENERAL SURGERY-GALANTE, ROUNDING TEAM	SurgerySpecialty
GOLDMAN MED #5, ROUNDING TEAM	Medicine
GOLDMAN MED #6, ROUNDING TEAM	Medicine
MALIGNANT HEMATOLOGY TEAM 0, ROUNDING TEAM	HemeOnc
MEDICINE H2, ROUNDING TEAM	Medicine
OMFS, ROUNDING TEAM	SurgerySpecialty
OPHTHALMOLOGY, ROUNDING TEAM	Interventional
PAIN - ACUTE M-L, ROUNDING TEAM	Medicine
SURGICAL ONCOLOGY, ROUNDING TEAM	SurgerySpecialty
UROLOGY MISSION BAY, ROUNDING TEAM	SurgerySpecialty
ACUTE CARE SURGERY, ROUNDING TEAM	SurgerySpecialty
ADV LUNG DISEASE - MEDICINE	Medicine
CARDIOLOGY B, ROUNDING TEAM	Cardiology
CARDIOLOGY C, ROUNDING TEAM	Cardiology
CRITICAL CARE MISSION BAY, ROUNDING TEAM	ICU
GYNECOLOGY, ROUNDING TEAM	OBGYN
IP3, ROUNDING TEAM	Pediatrics
MALIGNANT HEMATOLOGY B1, ROUNDING TEAM	HemeOnc
MEDICINE C3, ROUNDING TEAM	Medicine
MEDICINE F1, ROUNDING TEAM	Medicine
MEDICINE NIGHT ATTENDING 2, ROUNDING TEAM(GOLD 4 &EAGLE)	Medicine
NEONATOLOGY BRIDGE, ROUNDING TEAM	Pediatrics
