STATE,ZONE,CWA,NAME,STATE_ZONE,COUNTY,FIPS,TIME_ZONE,FE_AREA,LAT,LON
AK,017,AJK,Cape Fairweather to Cape Suckling Coastal Area,AK017,Yakutat,02282,A,,59.9186,-140.5769
AK,018,AJK,Taiya Inlet and Klondike Highway,AK018,Skagway,02230,A,,59.5601,-135.3379
AK,019,AJK,Haines Borough and Lynn Canal,AK019,Haines,02100,A,,59.0942,-135.4295
AK,019,AJK,Haines Borough and Lynn Canal,AK019,Juneau,02110,A,,59.0942,-135.4295
AK,020,AJK,Glacier Bay,AK020,Hoonah-Angoon,02105,A,,58.7895,-136.3767
AK,021,AJK,Eastern Chichagof Island,AK021,Hoonah-Angoon,02105,A,,57.8952,-135.4475
AK,021,AJK,Eastern Chichagof Island,AK021,Sitka,02220,A,,57.8952,-135.4475
AK,022,AJK,Salisbury Sound to Cape Fairweather Coastal Area,AK022,Hoonah-Angoon,02105,A,,58.1518,-136.5895
AK,022,AJK,Salisbury Sound to Cape Fairweather Coastal Area,AK022,Sitka,02220,A,,58.1518,-136.5895
AK,023,AJK,Cape Decision to Salisbury Sound Coastal Area,AK023,Sitka,02220,A,,56.9012,-135.1575
AK,024,AJK,Eastern Baranof Island and Southern Admiralty Island,AK024,Hoonah-Angoon,02105,A,,57.3045,-134.5992
AK,024,AJK,Eastern Baranof Island and Southern Admiralty Island,AK024,Sitka,02220,A,,57.3045,-134.5992
AK,025,AJK,Juneau Borough and Northern Admiralty Island,AK025,Hoonah-Angoon,02105,A,,58.0224,-133.7989
AK,025,AJK,Juneau Borough and Northern Admiralty Island,AK025,Juneau,02110,A,,58.0224,-133.7989
AK,025,AJK,Juneau Borough and Northern Admiralty Island,AK025,Petersburg Census Area,02195,A,,58.0224,-133.7989
AK,026,AJK,Inner Channels from Kupreanof Island to Etolin Island,AK026,Petersburg Census Area,02195,A,,56.5997,-132.9810
AK,026,AJK,Inner Channels from Kupreanof Island to Etolin Island,AK026,Wrangell,02275,A,,56.5997,-132.9810
AK,027,AJK,Dixon Entrance to Cape Decision Coastal Area,AK027,Petersburg Census Area,02195,A,,55.2951,-133.0075
AK,027,AJK,Dixon Entrance to Cape Decision Coastal Area,AK027,Prince of Wales-Hyder,02198,A,,55.2951,-133.0075
AK,028,AJK,Southern Inner Channels,AK028,Ketchikan Gateway,02130,A,,55.5399,-132.0549
AK,028,AJK,Southern Inner Channels,AK028,Prince of Wales-Hyder,02198,A,,55.5400,-132.0549
AK,028,AJK,Southern Inner Channels,AK028,Wrangell,02275,A,,55.5400,-132.0549
AK,029,AJK,Misty Fjords,AK029,Ketchikan Gateway,02130,A,,55.7461,-130.8022
AK,029,AJK,Misty Fjords,AK029,Prince of Wales-Hyder,02198,A,,55.7461,-130.8022
AK,029,AJK,Misty Fjords,AK029,Wrangell,02275,A,,55.7461,-130.8022
AK,101,AFC,Anchorage,AK101,Anchorage,02020,A,,61.1948,-149.5182
AK,111,AFC,Matanuska Valley,AK111,Anchorage,02020,A,,61.5885,-149.1656
AK,111,AFC,Matanuska Valley,AK111,Matanuska-Susitna,02170,A,,61.5885,-149.1656
AK,121,AFC,Western Kenai Peninsula,AK121,Kenai Peninsula,02122,A,,60.3254,-150.7090
AK,125,AFC,Western Prince William Sound,AK125,Kenai Peninsula,02122,A,,60.3983,-148.9941
AK,125,AFC,Western Prince William Sound,AK125,Valdez-Cordova,02261,A,,60.3983,-148.9941
AK,131,AFC,Northeast Prince William Sound,AK131,Valdez-Cordova,02261,A,,61.1700,-146.5112
AK,135,AFC,Southeast Prince William Sound,AK135,Valdez-Cordova,02261,A,,60.5931,-145.2475
AK,141,AFC,Copper River Basin,AK141,Matanuska-Susitna,02170,A,,61.9020,-144.9312
AK,141,AFC,Copper River Basin,AK141,Southeast Fairbanks,02240,A,,61.9020,-144.9312
AK,141,AFC,Copper River Basin,AK141,Valdez-Cordova,02261,A,,61.9020,-144.9312
AK,145,AFC,Susitna Valley,AK145,Bethel,02050,A,,62.1220,-150.6874
AK,145,AFC,Susitna Valley,AK145,Denali,02068,A,,62.1220,-150.6874
AK,145,AFC,Susitna Valley,AK145,Kenai Peninsula,02122,A,,62.1220,-150.6874
