Tagger	Count	Tag	Alternative
Jonathan	3	?	
Jonathan	2	ACIDEMIA	HYPOPERFUSION
Daniel	2	ACIDEMIA	HYPOPERFUSION
Jonathan	28	ACS	
Daniel	33	ACS	
Daniel	1	AGE	
Daniel	13	ALL	LEUKEMIA
Daniel	46	AML	LEUKEMIA
Daniel	46	ANEMIA	
Jonathan	42	ANEMIAHGB>8	Anemia
Daniel	2	ANGINA-ICHEMIA	ANGINA-ISCHEMIA
Daniel	1	ANGINA-IHSCMIA	ANGINA-ISCHEMIA
Jonathan	28	ANGINA-ISCHEMIA	
Daniel	25	ANGINA-ISCHEMIA	
Jonathan	12	ANTICOAGULATED	
Daniel	11	ANTICOAGULATED	
Daniel	1	ANTICOAGULATION	ANTICOAGULATED
Daniel	1	AORTICDISSECTION	CARDIAC
Daniel	1	APLASTICANEMIA	HEMEDISORDER
Jonathan	19	ARRHYTHMIA	
Daniel	10	ARRHYTHMIA	
Daniel	9	ARRYTHMIA	ARRHYTHMIA
Daniel	2	ASPLASTICANEMIA	HEMEDISORDER
Daniel	1	AUTOLGOUS	AUTOLOGOUS
Jonathan	5	AUTOLOGOUS	
Daniel	8	AUTOLOGOUS	
Jonathan	114	BLEEDING	
Daniel	107	BLEEDING	
Jonathan	382	BMT	
Daniel	381	BMTPROTOCOL	BMT
Jonathan	1	BRADYCARDIA	ARRHYTHMIA
Jonathan	37	CAD	
Daniel	23	CAD	
Jonathan	54	CANCER	
Daniel	41	CANCER	
Jonathan	45	CARDIAC	
Daniel	58	CARDIAC	
Daniel	5	CARDIOGENICSHOCK	CHF,HYPOTENSION
Jonathan	101	CHEMOTHERAPY	
Daniel	99	CHEMOTHERAPY	
Jonathan	30	CHF	
Daniel	24	CHF	
Jonathan	2	CHRONICDISASE	COMORBIDITIES
Jonathan	1	CHRONICDISEASE	COMORBIDITIES
Daniel	1	CIRHRHOSIS	CIRRHOSIS
Jonathan	81	CIRRHOSIS	
Daniel	31	CIRRHOSIS	
Daniel	3	CLL	LEUKEMIA
Jonathan	33	CNS	
Daniel	13	CNS	
Jonathan	20	COAGULOPATHY	
Daniel	11	COAGULOPATHY	
Jonathan	4	CODE	UNSTABLE
Daniel	4	CODE	UNSTABLE
Jonathan	1	COMORBIDITIES	
Daniel	1	COMORBIDITIES	
Daniel	3	CRITICALAS	CARDIAC
Jonathan	31	CTSURGERY	SURGERY
Jonathan	6	DELERIUM	DELIRIUM
Daniel	3	DELIRIUM	
Daniel	3	DIC	COAGULOPATHY
Jonathan	13	DONOR	
Daniel	8	DONOR	
Daniel	4	DROPINGHGB	DROPPINGHGB
Daniel	1	DROPPING	DROPPINGHGB
Jonathan	177	DROPPINGHGB	
Daniel	177	DROPPINGHGB	
Jonathan	34	EXPECTDROP	
Daniel	38	EXPECTDROP	
Daniel	2	EXTUBATION	
Jonathan	36	FATIGUE	SYMPTOMATIC
Jonathan	8	FEVER	SEPSIS
Daniel	5	FEVER	SEPSIS
Jonathan	1	FUTUREORDER	
Daniel	1	FUTUREORDER	
Jonathan	29	HEMEDISORDER	
Daniel	2	HEMEDISORDER	
Jonathan	20	HEMOLYSIS	
Daniel	20	HEMOLYSIS	
Daniel	1	HG<8	HGB<8
Daniel	1	HGB	
Jonathan	188	HGB<7	
Daniel	194	HGB<7	
Jonathan	522	HGB<8	
Daniel	416	HGB<8	
Jonathan	2	HYPONATREMIA	
Daniel	2	HYPONATREMIA	
Jonathan	43	HYPOPERFUSION	
Jonathan	98	HYPOTENSION	UNSTABLE
Daniel	85	HYPOTENSION	UNSTABLE
Daniel	1	HYPOTENSIVE	HYPOTENSION
Jonathan	16	HYPOXIA	
Daniel	13	HYPOXIA	
Daniel	1	ICH	CNS
Jonathan	80	IMMINENTDISCHARGE	
Daniel	81	IMMINENTDISCHARGE	
Jonathan	13	INADEQUATERESPONSE	DROPPINGHGB
Daniel	12	LEUKEMIA	
Jonathan	71	LEUKEMIAACUTE	LEUKEMIA
Jonathan	3	LEUKEMIACHRONIC	LEUKEMIA
Jonathan	31	LIGHTHEADED	SYMPTOMATIC
Jonathan	4	LOWALBUMIN	
Daniel	2	LOWHGB	ANEMIA
Daniel	1	LOWLSCVO2	HYPOPERFUSION
Daniel	37	LOWSCVO2	HYPOPERFUSION
Daniel	4	LOWSVO2	HYPOPERFUSION
Jonathan	8	LYMPHOMA	HEMEDISORDER
Daniel	8	LYMPHOMA	HEMEDISORDER
Jonathan	21	MDS	HEMEDISORDER
Daniel	21	MDS	HEMEDISORDER
Daniel	4	MF	HEMEDISORDER
Jonathan	6	MM	HEMEDISORDER
Daniel	6	MM	HEMEDISORDER
Jonathan	4	MYELOFIBROSIS	HEMEDISORDER
Jonathan	5	MYELOSUPPRESSED	
Daniel	4	MYELOSUPPRESSED	
Daniel	1	MYELOSUPPRESSION	MYELOSUPPRESSED
Jonathan	19	NEEDFLUID	
Daniel	1	NSCLC	CANCER
Daniel	1	OBESE	
Daniel	4	ORGANDONORPROTOCOL	DONOR
Daniel	40	OTHER	
Jonathan	2	PANCREATITIS	
Daniel	2	PANCREATITIS	
Daniel	2	PANCYTOPENIA	
Daniel	1	PANCYTOPENIC	PANCYTOPENIA
Jonathan	1	PERANESTHESIOLOGY	PEROTHERMD
Daniel	1	PERANESTHESIOLOGY	PEROTHERMD
Jonathan	8	PERCARDIOLOGY	PEROTHERMD
Daniel	6	PERCARDIOLOGY	PEROTHERMD
Jonathan	1	PERCONSULT	PEROTHERMD
Daniel	1	PERCONSULT	PEROTHERMD
Jonathan	1	PERGI	PEROTHERMD
Daniel	3	PERGI	PEROTHERMD
Jonathan	14	PERHEME	PEROTHERMD
Daniel	14	PERHEME	PEROTHERMD
Jonathan	4	PERHEPATOLOGY	PEROTHERMD
Daniel	4	PERHEPATOLOGY	PEROTHERMD
Jonathan	16	PERONCOLOGY	PEROTHERMD
Daniel	18	PERONCOLOGY	PEROTHERMD
Jonathan	120	PEROTHERMD	
Daniel	50	PEROTHERMD	
Jonathan	26	PERPROTOCOL	
Daniel	13	PERPROTOCOL	
Jonathan	1	PERPULMONARY	PEROTHERMD
Daniel	1	PERPULMONARY	PEROTHERMD
Jonathan	2	PERRENAL	PEROTHERMD
Daniel	5	PERRENAL	PEROTHERMD
Jonathan	1	PLASMAPHERESIS	
Jonathan	74	PROCEDURE	
Daniel	66	PROCEDURE	
Daniel	2	PROSTATECANCER	CANCER
Daniel	3	PULMHTN	
Jonathan	6	PULMONARY	
Daniel	1	PULMONARYHTN	
Daniel	11	RADIATION	RADIOTHERAPY
Jonathan	11	RADIOTHERAPY	
Daniel	2	RBCAPLASIA	HEMEDISORDER
Daniel	1	RCC	CANCER
Jonathan	1	REDCELLEXCHANGE	
Daniel	1	REDCELLEXCHANGE	
Daniel	1	RENAFAILURE	RENALFAILURE
Jonathan	40	RENALFAILURE	
Daniel	24	RENALFAILURE	
Daniel	3	SAH	CNS
Daniel	1	SARCOMA	CANCER
Daniel	1	SCCLUNG	CANCER
Jonathan	64	SEPSIS	
Daniel	47	SEPSIS	
Daniel	17	SEPTICSHOCK	SEPSIS,UNSTABLE
Daniel	10	SICKLECELL	HEMEDISORDER
Daniel	1	SICKLECELLANEMIA	HEMEDISORDER
Jonathan	31	SOB	SYMPTOMATIC
Daniel	2	SOB	SYMPTOMATIC
Daniel	2	SPINALCORD	CNS
Daniel	1	STANDINGORDER	
Daniel	1	STROKE	CNS
Daniel	1	SURG	SURGERY
Jonathan	248	SURGERY	
Daniel	263	SURGERY	
Daniel	1	SYMPTOMATC	SYMPTOMATIC
Jonathan	211	SYMPTOMATIC	
Daniel	252	SYMPTOMATIC	
Daniel	7	SYNCOPE	
Jonathan	53	TACHYCARDIA	
Daniel	42	TACHYCARDIA	
Daniel	2	TACHYCARDIAC	TACHYCARDIA
Daniel	8	TACHYCARDIC	TACHYCARDIA
Daniel	8	TBIPROTOCOL	CNS
Daniel	4	THALASSEMIA	HEMEDISORDER
Daniel	1	THROMBCYTOPENIA	THROMBOCYTOPENIA
Jonathan	5	THROMBOCYTOPENIA	
Daniel	3	THROMBOCYTOPENIA	
Daniel	1	TRANSFUDIONDEPENDENT	TRANSFUSIONDEPENDENT
Jonathan	24	TRANSFUSIONDEPENDENT	
Daniel	30	TRANSFUSIONDEPENDENT	
Daniel	1	TRANSPANT	TRANSPLANT
Jonathan	68	TRANSPLANT	
Daniel	63	TRANSPLANT	
Jonathan	1	TRANSPLANT.HYPOTENSION	TRANSPLANT,UNSTABLE
Jonathan	10	TRAUMA	
Daniel	4	TRAUMA	
Daniel	1	TRNASPLANT	TRANSPLANT
Daniel	1	TTP	HEMEDISORDER
Jonathan	23	UNSTABLE	
Daniel	17	UNSTABLE	
Jonathan	33	VASCULARDEVICE	
Daniel	25	VASCULARDEVICE	
Daniel	2	VASOPRESSOR	VASOPRESSORS
Jonathan	14	VASOPRESSORS	
Daniel	11	VASOPRESSORS	
Jonathan	4	VASOSPASM	
Daniel	4	VASOSPASM	
Jonathan	3	VTE	
Daniel	2	VTE	
Daniel	2	WALDENSTROMS	HEMEDISORDER
