	2201	0	15	0	None	0.993231046931	0.993231046931	0.0
?	2213	0	3	0	None	0.998646209386	0.998646209386	0.0
ACS	2183	5	0	28	0.0	0.99774368231	0.972849248654	0.916896675867
AGE	2215	1	0	0	None	0.999548736462	0.999548736462	0.0
ANEMIA	2155	19	13	29	1.56098156844e-198	0.985559566787	0.960207353152	0.637107999672
ANGINA-ISCHEMIA	2184	4	4	24	0.0	0.996389891697	0.975048547485	0.855314703578
ANTICOAGULATED	2204	0	0	12	0.0	1.0	0.989228323059	1.0
ARRHYTHMIA	2196	0	1	19	0.0	0.999548736462	0.982555487495	0.974131490474
AUTOLOGOUS	2207	4	0	5	3.22174779415e-269	0.998194945848	0.99370063796	0.713454451413
BLEEDING	2098	4	11	103	0.0	0.993231046931	0.905238729815	0.92856835862
BMT	1834	0	1	381	0.0	0.999548736462	0.714961911402	0.998416830747
CAD	2178	1	15	22	6.94766459188e-274	0.992779783394	0.97327078093	0.72987551235
CANCER	2162	0	8	46	0.0	0.996389891697	0.955885323672	0.918165367997
CARDIAC	2147	24	7	38	7.74681534687e-247	0.986010830325	0.95285110584	0.703298032237
CHEMOTHERAPY	2115	0	2	99	0.0	0.999097472924	0.913819660754	0.9895274597
CHF	2185	1	2	28	0.0	0.998646209386	0.973729782742	0.94846671421
CIRRHOSIS	2135	0	49	32	3.95684966563e-188	0.977888086643	0.950062883655	0.557204841288
CNS	2180	3	8	25	0.0	0.995036101083	0.972849248654	0.817172686907
COAGULOPATHY	2196	0	6	14	0.0	0.997292418773	0.984771077428	0.822207958922
COMORBIDITIES	2212	0	3	1	2.47206838468e-122	0.998646209386	0.997745311421	0.399566473988
DELERIUM	2210	0	6	0	None	0.997292418773	0.997292418773	0.0
DELIRIUM	2213	3	0	0	None	0.998646209386	0.998646209386	0.0
DONOR	2203	0	1	12	0.0	0.999548736462	0.988781946852	0.959773453384
DROPPINGHGB	2012	14	22	168	0.0	0.983754512635	0.846213621968	0.894363287747
EXPECTDROP	2177	5	1	33	0.0	0.997292418773	0.96803522788	0.915294837164
EXTUBATION	2214	2	0	0	None	0.999097472924	0.999097472924	0.0
FUTUREORDER	2215	0	0	1	0.0	1.0	0.999097880202	1.0
HEMEDISORDER	2148	0	4	64	0.0	0.998194945848	0.942205684943	0.968767617544
HEMOLYSIS	2196	0	0	20	0.0	1.0	0.982112369508	1.0
HGB	2215	1	0	0	None	0.999548736462	0.999548736462	0.0
HGB<7	2018	10	4	184	0.0	0.993682310469	0.842471555735	0.959894928436
HGB<8	1680	14	119	403	0.0	0.939981949458	0.664917273782	0.820885871322
HYPONATREMIA	2214	0	0	2	0.0	1.0	0.998196574959	1.0
HYPOPERFUSION	2169	2	3	42	0.0	0.99774368231	0.960643954698	0.942669095124
HYPOTENSION	2210	6	0	0	None	0.997292418773	0.997292418773	0.0
HYPOXIA	2200	0	3	13	0.0	0.998646209386	0.986998071133	0.89587770956
IMMINENTDISCHARGE	2135	1	0	80	0.0	0.999548736462	0.929985728994	0.993554692045
LEUKEMIA	2142	0	0	74	0.0	1.0	0.935443248315	1.0
LOWALBUMIN	2212	0	4	0	None	0.998194945848	0.998194945848	0.0
MYELOSUPPRESSED	2211	0	0	5	0.0	1.0	0.99549754656	1.0
NEEDFLUID	2197	0	19	0	None	0.99142599278	0.99142599278	0.0
OBESE	2215	1	0	0	None	0.999548736462	0.999548736462	0.0
OTHER	2176	40	0	0	None	0.981949458484	0.981949458484	0.0
PANCREATITIS	2214	0	0	2	0.0	1.0	0.998196574959	1.0
PANCYTOPENIA	2213	3	0	0	None	0.998646209386	0.998646209386	0.0
PEROTHERMD	2071	7	43	95	1.04667930259e-302	0.977436823105	0.897429589855	0.780022553644
PERPROTOCOL	2184	6	19	7	5.11927711789e-70	0.988718411552	0.982538381837	0.353920791155
PLASMAPHERESIS	2215	0	1	0	None	0.999548736462	0.999548736462	0.0
PROCEDURE	2139	3	11	63	0.0	0.993682310469	0.938812248302	0.896749114726
PULMHTN	2213	3	0	0	None	0.998646209386	0.998646209386	0.0
PULMONARY	2210	0	6	0	None	0.997292418773	0.997292418773	0.0
PULMONARYHTN	2215	1	0	0	None	0.999548736462	0.999548736462	0.0
RADIATION	2205	11	0	0	None	0.995036101083	0.995036101083	0.0
RADIOTHERAPY	2205	0	11	0	None	0.995036101083	0.995036101083	0.0
REDCELLEXCHANGE	2215	0	0	1	0.0	1.0	0.999097880202	1.0
RENALFAILURE	2176	0	15	25	4.3898232488e-301	0.993231046931	0.971075147597	0.765981413686
SEPSIS	2148	0	1	67	0.0	0.999548736462	0.940934978952	0.99235988526
STANDINGORDER	2215	1	0	0	None	0.999548736462	0.999548736462	0.0
SURGERY	1932	7	20	257	0.0	0.987815884477	0.785649819495	0.943157894737
SYMPTOMATIC	1939	1	22	254	0.0	0.989620938628	0.789043256135	0.950800049424
SYNCOPE	2209	7	0	0	None	0.996841155235	0.996841155235	0.0
TACHYCARDIA	2162	1	2	51	0.0	0.998646209386	0.953739785479	0.970735314833
THROMBOCYTOPENIA	2211	0	1	4	0.0	0.999548736462	0.99594677371	0.888665594855
TRANSFUSIONDEPENDENT	2185	7	0	24	0.0	0.996841155235	0.975483519921	0.871154229517
TRANSPLANT	2140	7	11	58	0.0	0.991877256318	0.941357325783	0.861487495399
TRAUMA	2206	0	6	4	2.95805674519e-194	0.997292418773	0.993698601572	0.570320579111
UNSTABLE	2083	9	11	113	0.0	0.990974729242	0.895150464622	0.913921690491
VASCULARDEVICE	2182	1	9	24	0.0	0.995487364621	0.97416271879	0.825344031274
VASOPRESSORS	2202	0	1	13	0.0	0.999548736462	0.987890008993	0.962736261519
VASOSPASM	2212	0	0	4	0.0	1.0	0.996396408138	1.0
VTE	2213	0	1	2	0.0	0.999548736462	0.997746125976	0.799783158656
