Count	Word	Tag
11	-	
1	--	
1	!	
1	#	
1	#1	
1	#8	
11	&	
1	(2U	
1	(ANGINA)	Angina-Ischemia
1	(CENTRAL	
1	(CLICK	
1	(COMPARISION	
1	(DESPITE	
1	(DID	
1	(DIZZINESS	
1	(ECMO	VascularDevice
1	(EVAR	Surgery
1	(FATIGUE)	
1	(ISTAT	
2	(KENT	
3	(LIGHTHEADED)	Lightheaded
1	(PAMF)	
1	(SCVO2	Hypoperfusion
1	(SPLEEN	
1	(STANDARD	
1	(TACHYCARDIA)	Tachycardia
1	?ACUTE	
1	~22	
1	~500CC	
5	+	
1	+/-	
1	+FOBT	Bleeding
1	+GUAIC	Bleeding
1	+GUIAC	Bleeding
108	<	
1	<2	
9	<21	Hgb<7
4	<24	Hgb<8
1	<25	AnemiaHgb>8
1	<27	AnemiaHgb>8
1	<6.9	Hgb<7
19	<7	Hgb<7
1	<7.0	Hgb<7
1	<70	Hypoperfusion
75	<8	Hgb<8
10	<8.0	Hgb<8
1	<8.5	AnemiaHgb>8
1	<8HGB	Hgb<8
2	<9	AnemiaHgb>8
11	=	
7	>	
1	->	
1	-->	
2	>10	
1	>30	
3	>8	AnemiaHgb>8
1	>8.0	AnemiaHgb>8
3	>9	
15	1	
2	10	
1	101	
1	120S	
2	140	
1	140S	
1	150	
1	17	Hgb<7
1	18	Hgb<7
3	19	Hgb<7
1	1-Jul	
1	1ST	
1	1U	
12	2	
2	2.5	
5	20	Hgb<7
1	20.1	Hgb<7
2	20.2	Hgb<7
1	20.4	Hgb<7
1	20.5	Hgb<7
1	20.6	Hgb<7
1	20.60%	
1	20.7	Hgb<7
1	20.9	Hgb<7
1	20-Oct	
1	20S	
15	21	Hgb<7
1	21	Hgb<7
2	21%	
1	21.7	Hgb<8
7	22	Hgb<8
2	22.1	Hgb<8
2	22.3	Hgb<8
1	22.9	Hgb<8
9	23	Hgb<8
1	23.9	Hgb<8
1	23->21.3	DroppingHgb
1	2-3X/WEEK	
7	24	Hgb<8
1	24	Hgb<8
1	24.6	AnemiaHgb>8
2	24.8	AnemiaHgb>8
1	24-Jul	
1	24-May	
1	25	AnemiaHgb>8
2	25%	
2	26	AnemiaHgb>8
1	26.1	AnemiaHgb>8
1	27	
1	28	
4	2-Feb	
1	2-Jan	
1	2L	
4	2U	
5	3	
1	3/15/2011	
5	30	
1	31-Oct	
1	35	
1	35%	
2	3L	
1	4	
1	4.9	Hgb<7
1	44	
3	48	
1	4-May	
2	5	
1	5)	
2	5.1	Hgb<7
1	5.3	Hgb<7
1	5.6	Hgb<7
1	5.9	Hgb<7
1	5/17/2012	
1	50%)	
1	50S	
1	50S-60S	
1	55	
1	56	
1	5-May	
6	6	
1	6	
2	6.2	Hgb<7
5	6.5	Hgb<7
9	6.6	Hgb<7
4	6.7	Hgb<7
9	6.8	Hgb<7
13	6.9	Hgb<7
2	60	
1	6-Jul	
58	7	Hgb<7
5	7	Hgb<7
48	7.1	Hgb<8
1	7.1/20.3	Hgb<7
31	7.2	Hgb<8
1	7.2/20.4	Hgb<7
14	7.3	Hgb<8
13	7.4	Hgb<8
1	7.4	Hgb<8
22	7.5	Hgb<8
1	7.50%	
22	7.6	Hgb<8
19	7.7	Hgb<8
34	7.8	Hgb<8
1	7.8	Hgb<8
35	7.9	Hgb<8
1	7/10/2011	
1	750	
1	77	
1	78	
100	8	Hgb<8
21	8	Hgb<8
3	8.1	AnemiaHgb>8
1	8.2	AnemiaHgb>8
1	8.3	AnemiaHgb>8
2	8.4	AnemiaHgb>8
3	8.5	AnemiaHgb>8
1	8.7	AnemiaHgb>8
2	8.8	AnemiaHgb>8
1	8.9->7.7	DroppingHgb
1	8/3/2012	
1	80	
4	81	
1	89	
1	8-Jul	
1	8S	
4	9	
3	9.5-10.5	
1	90%	
1	90-100%	
27	A	
3	AAA	Surgery
