clinical_item_id	collection_type_id	value	item_collection_id
41871	5	3	1000001
41871	5	3	1000002
41839	5	3	1000003
41839	5	3	1000004
41788	5	3	1000005
41788	5	3	1000006
41788	5	3	1000007
41788	5	3	1000008
42038	5	3	1000009
42038	5	3	1000010
41884	5	3	1000011
41884	5	3	1000012
41804	5	3	1000013
41871	5	3	1000014
41871	5	3	1000015
41839	5	3	1000016
41839	5	3	1000017
41788	5	3	1000018
41788	5	3	1000019
41788	5	3	1000020
41788	5	3	1000021
42038	5	3	1000022
42038	5	3	1000023
41884	5	3	1000024
41884	5	3	1000025
41804	5	3	1000026
41871	5	4	2795
41871	5	4	2956
41871	5	4	2982
41871	5	4	3101
41871	5	4	3170
41871	5	4	3407
41871	5	4	3698
41871	5	4	3814
41871	5	4	4204
41871	5	4	4907
41871	5	4	5934
41871	5	4	6231
41871	5	4	6376
41871	5	4	6967
41871	5	4	7386
41871	5	4	7450
41871	5	4	8431
41871	5	4	9076
41871	5	4	9563
41871	5	4	9671
41871	5	4	9826
41871	5	4	10292
41871	5	4	10297
41871	5	4	10328
41871	5	4	10341
41871	5	4	2490
41871	5	4	2525
41871	5	4	3173
41871	5	4	3575
41871	5	4	3580
41871	5	4	4016
41871	5	4	8830
41871	5	4	9035
41871	5	4	9356
41871	5	4	9555
41871	5	4	10151
41871	5	4	10406
41871	5	4	2639
41871	5	4	3786
41871	5	4	8627
41871	5	4	8915
41839	5	4	8473
41839	5	4	3593
41839	5	4	9390
41839	5	4	3837
41839	5	4	3072
41839	5	4	10340
41839	5	4	10402
41839	5	4	10137
41839	5	4	9713
41839	5	4	6359
41839	5	4	6828
41839	5	4	4227
41839	5	4	3009
41839	5	4	5709
41839	5	4	6151
41839	5	4	4910
41839	5	4	2344
41839	5	4	3996
41839	5	4	8966
41839	5	4	2046
41839	5	4	8981
41839	5	4	3020
41839	5	4	8680
41839	5	4	3743
41839	5	4	3468
41839	5	4	8603
41839	5	4	2020
41839	5	4	9917
41839	5	4	8168
41839	5	4	2894
41839	5	4	7106
41839	5	4	2136
41839	5	4	8212
41839	5	4	8405
41839	5	4	9215
41839	5	4	8872
41839	5	4	8271
41839	5	4	1776
41839	5	4	1825
41839	5	4	1864
41839	5	4	905
41839	5	4	566
41839	5	4	6424
41839	5	4	5452
41839	5	4	6273
41839	5	4	5326
41839	5	4	5677
41839	5	4	6203
41839	5	4	5887
41839	5	4	5697
41839	5	4	6329
41839	5	4	1232
41839	5	4	1044
41839	5	4	1143
41839	5	4	1103
41839	5	4	3990
41839	5	4	3564
41839	5	4	4026
41839	5	4	4586
41839	5	4	939
41839	5	4	358
41839	5	4	4476
41839	5	4	724
41839	5	4	7704
41839	5	4	708
41839	5	4	8589
41839	5	4	2336
41839	5	4	9607
41839	5	4	10286
41839	5	4	4721
41839	5	4	3426
41839	5	4	7034
41839	5	4	8059
41839	5	4	465
41839	5	4	8610
41839	5	4	3190
41839	5	4	10337
41839	5	4	9484
41839	5	4	2761
41839	5	4	7464
41839	5	4	7039
41839	5	4	6265
41839	5	4	9216
41839	5	4	6280
41839	5	4	7441
41839	5	4	8875
41839	5	4	8965
41839	5	4	8621
41839	5	4	2531
41839	5	4	2854
41839	5	4	3415
41839	5	4	5919
41839	5	4	5873
41839	5	4	6221
41839	5	4	5690
41839	5	4	5442
41839	5	4	5586
41839	5	4	4757
41839	5	4	4698
41839	5	4	1057
41839	5	4	2883
41839	5	4	1729
41839	5	4	1617
41839	5	4	4799
41839	5	4	2137
41839	5	4	4298
41839	5	4	4062
41839	5	4	9418
41839	5	4	7960
41839	5	4	3147
41839	5	4	3029
41839	5	4	9054
41839	5	4	3671
41839	5	4	9617
41839	5	4	3103
41839	5	4	9780
41839	5	4	3676
41839	5	4	9173
41839	5	4	2822
41839	5	4	6015
41839	5	4	3705
41839	5	4	3578
41839	5	4	5670
41839	5	4	7131
41839	5	4	9567
41839	5	4	6159
41839	5	4	9720
41839	5	4	9444
41839	5	4	4843
41839	5	4	2843
41839	5	4	10230
41839	5	4	3350
41839	5	4	6304
41839	5	4	6970
41839	5	4	10363
41839	5	4	4783
41839	5	4	7098
41839	5	4	6236
41839	5	4	1669
41839	5	4	10252
41839	5	4	8495
41839	5	4	9066
41839	5	4	9470
41839	5	4	2944
41839	5	4	2461
41839	5	4	6394
41839	5	4	3670
41839	5	4	5766
41839	5	4	5899
41839	5	4	5993
41839	5	4	1273
41839	5	4	3514
41839	5	4	2281
41839	5	4	3521
41839	5	4	4462
41839	5	4	9642
41839	5	4	1981
41839	5	4	9598
41839	5	4	9900
41839	5	4	2211
41839	5	4	8739
41839	5	4	3979
41839	5	4	7640
41839	5	4	7669
41788	5	4	9941
41788	5	4	1853
41788	5	4	3871
41788	5	4	8376
41788	5	4	8075
41788	5	4	9737
41788	5	4	10153
41788	5	4	8916
41788	5	4	8951
41788	5	4	2289
41788	5	4	2282
41788	5	4	1794
41788	5	4	2183
41788	5	4	1977
41788	5	4	5698
41788	5	4	5076
41788	5	4	5365
41788	5	4	5066
41788	5	4	3505
41788	5	4	1147
41788	5	4	3645
41788	5	4	188
41788	5	4	1161
41788	5	4	189
41788	5	4	2012
41788	5	4	9214
41788	5	4	10359
41788	5	4	9712
41788	5	4	2689
41788	5	4	2234
41788	5	4	2830
41788	5	4	2799
41788	5	4	2095
41788	5	4	9315
41788	5	4	8146
41788	5	4	9497
41788	5	4	9844
41788	5	4	2934
41788	5	4	9695
41788	5	4	8572
41788	5	4	2418
41788	5	4	2096
41788	5	4	6123
41788	5	4	4976
41788	5	4	256
41788	5	4	255
41788	5	4	2350
41788	5	4	1465
41788	5	4	9089
41788	5	4	2962
41788	5	4	8938
41788	5	4	3628
41788	5	4	8379
41788	5	4	8741
41788	5	4	9951
41788	5	4	3290
41788	5	4	4753
41788	5	4	3405
41788	5	4	9683
41788	5	4	3222
41788	5	4	10200
41788	5	4	9513
41788	5	4	3254
41788	5	4	5743
41788	5	4	1113
41788	5	4	9751
41788	5	4	3778
41788	5	4	2199
41788	5	4	5835
41788	5	4	5910
41788	5	4	1666
41788	5	4	1803
41788	5	4	7880
41788	5	4	2534
41788	5	4	9652
41788	5	4	4216
41788	5	4	8806
41788	5	4	3026
41788	5	4	9338
41788	5	4	9665
41788	5	4	6427
41788	5	4	3000
41788	5	4	4193
41788	5	4	9861
41788	5	4	2479
41788	5	4	5776
41788	5	4	893
41788	5	4	8755
41788	5	4	8745
41788	5	4	8524
41788	5	4	1996
41788	5	4	3494
41788	5	4	3787
41788	5	4	4972
41788	5	4	5086
41788	5	4	5943
41788	5	4	178
41788	5	4	7342
41788	5	4	4321
41788	5	4	3793
41788	5	4	3781
41788	5	4	151
41788	5	4	9176
41788	5	4	4081
41788	5	4	9090
41788	5	4	896
41788	5	4	670
