base_name,window,consecutive,total,normal
11210R,1,NULL,157,138
11210R,2,0,1,1
11210R,2,NULL,156,137
11210R,4,0,1,1
11210R,4,1,1,1
11210R,4,NULL,155,136
11210R,7,0,2,2
11210R,7,1,4,4
11210R,7,NULL,151,132
11210R,30,0,7,7
11210R,30,1,6,6
11210R,30,NULL,144,125
11210R,90,0,7,7
11210R,90,1,6,6
11210R,90,NULL,144,125
11211R,1,NULL,157,139
11211R,2,0,1,1
11211R,2,NULL,156,138
11211R,4,0,1,1
11211R,4,1,1,1
11211R,4,NULL,155,137
11211R,7,0,2,2
11211R,7,1,4,4
11211R,7,NULL,151,133
11211R,30,0,7,7
11211R,30,1,6,6
11211R,30,NULL,144,126
11211R,90,0,7,7
11211R,90,1,6,6
11211R,90,NULL,144,126
11212R,1,NULL,157,135
11212R,2,0,1,1
11212R,2,NULL,156,134
11212R,4,0,1,1
11212R,4,1,1,1
11212R,4,NULL,155,133
11212R,7,0,2,2
11212R,7,1,4,4
11212R,7,NULL,151,129
11212R,30,0,7,7
11212R,30,1,6,6
11212R,30,NULL,144,122
11212R,90,0,7,7
11212R,90,1,6,6
11212R,90,NULL,144,122
11213R,1,NULL,157,133
11213R,2,0,1,1
11213R,2,NULL,156,132
11213R,4,0,1,1
11213R,4,1,1,1
11213R,4,NULL,155,131
11213R,7,0,2,2
11213R,7,1,4,4
11213R,7,NULL,151,127
11213R,30,0,7,6
11213R,30,1,6,6
11213R,30,NULL,144,121
11213R,90,0,7,6
11213R,90,1,6,6
11213R,90,NULL,144,121
11218R,1,NULL,2,1
11218R,2,NULL,2,1
11218R,4,NULL,2,1
11218R,7,NULL,2,1
11218R,30,NULL,2,1
11218R,90,NULL,2,1
11715R,1,NULL,2,1
11715R,2,NULL,2,1
11715R,4,NULL,2,1
11715R,7,NULL,2,1
11715R,30,NULL,2,1
11715R,90,NULL,2,1
11760R,1,NULL,12,4
11760R,2,NULL,12,4
11760R,4,NULL,12,4
11760R,7,0,1,0
11760R,7,NULL,11,4
11760R,30,0,1,0
11760R,30,NULL,11,4
11760R,90,0,1,0
11760R,90,NULL,11,4
11761R,1,NULL,12,4
11761R,2,NULL,12,4
11761R,4,NULL,12,4
11761R,7,0,1,0
11761R,7,NULL,11,4
11761R,30,0,1,0
11761R,30,NULL,11,4
11761R,90,0,1,0
11761R,90,NULL,11,4
11762R,1,NULL,12,8
11762R,2,NULL,12,8
11762R,4,NULL,12,8
11762R,7,0,1,1
11762R,7,NULL,11,7
11762R,30,0,1,1
11762R,30,NULL,11,7
11762R,90,0,1,1
11762R,90,NULL,11,7
11780R,1,NULL,2,1
11780R,2,NULL,2,1
11780R,4,NULL,2,1
11780R,7,NULL,2,1
11780R,30,NULL,2,1
11780R,90,NULL,2,1
11896R,1,1,1,0
11896R,1,NULL,71,6
11896R,2,0,2,0
11896R,2,1,1,0
11896R,2,NULL,69,6
11896R,4,0,3,0
11896R,4,1,1,0
11896R,4,NULL,68,6
11896R,7,0,5,0
11896R,7,1,1,0
11896R,7,NULL,66,6
11896R,30,0,6,0
11896R,30,1,1,0
11896R,30,NULL,65,6
11896R,90,0,6,0
11896R,90,1,1,0
11896R,90,NULL,65,6
11983R,1,0,3,1
11983R,1,NULL,137,50
11983R,2,0,6,2
11983R,2,1,1,1
11983R,2,NULL,133,48
11983R,4,0,10,2
11983R,4,1,3,2
11983R,4,NULL,127,47
11983R,7,0,17,3
11983R,7,1,7,4
11983R,7,NULL,116,44
11983R,30,0,42,8
11983R,30,1,17,14
11983R,30,2,2,2
11983R,30,3,2,2
11983R,30,NULL,77,25
11983R,90,0,47,11
11983R,90,1,14,10
11983R,90,2,3,3
11983R,90,3,5,4
11983R,90,4,3,3
11983R,90,NULL,68,20
12048R,1,NULL,3,1
12048R,2,NULL,3,1
12048R,4,NULL,3,1
12048R,7,NULL,3,1
12048R,30,NULL,3,1
12048R,90,NULL,3,1
12049R,1,NULL,3,1
12049R,2,NULL,3,1
12049R,4,NULL,3,1
12049R,7,NULL,3,1
12049R,30,NULL,3,1
12049R,90,NULL,3,1
12078R,1,0,13,6
12078R,1,1,18,9
12078R,1,NULL,439,331
12078R,2,0,25,13
12078R,2,1,30,19
12078R,2,2,2,0
12078R,2,NULL,413,314
12078R,4,0,49,26
12078R,4,1,111,96
12078R,4,2,8,5
12078R,4,3,1,0
12078R,4,NULL,301,219
12078R,7,0,57,32
12078R,7,1,111,96
12078R,7,2,53,46
12078R,7,3,4,1
12078R,7,NULL,245,171
12078R,30,0,60,35
12078R,30,1,56,45
12078R,30,2,37,34
12078R,30,3,28,24
12078R,30,4,17,13
12078R,30,5,11,8
12078R,30,NULL,239,168
12078R,90,0,61,36
12078R,90,1,58,46
12078R,90,2,37,34
12078R,90,3,28,24
12078R,90,4,17,13
12078R,90,5,11,8
12078R,90,NULL,236,166
12105R,1,NULL,13,7
12105R,2,NULL,13,7
12105R,4,NULL,13,7
12105R,7,NULL,13,7
12105R,30,0,1,0
12105R,30,1,1,1
12105R,30,NULL,11,6
12105R,90,0,1,0
12105R,90,1,1,1
12105R,90,2,1,1
12105R,90,NULL,10,5
12200R,1,1,1,0
12200R,1,NULL,56,6
12200R,2,0,1,0
12200R,2,1,1,0
12200R,2,NULL,55,6
12200R,4,0,2,0
12200R,4,1,1,0
12200R,4,NULL,54,6
12200R,7,0,3,0
12200R,7,1,1,0
12200R,7,NULL,53,6
12200R,30,0,4,0
12200R,30,1,1,0
12200R,30,NULL,52,6
12200R,90,0,4,0
12200R,90,1,1,0
12200R,90,NULL,52,6
12202R,1,0,1,0
12202R,1,NULL,56,25
12202R,2,0,2,1
12202R,2,NULL,55,24
12202R,4,0,3,1
12202R,4,NULL,54,24
12202R,7,0,4,2
12202R,7,NULL,53,23
12202R,30,0,5,3
12202R,30,NULL,52,22
12202R,90,0,5,3
12202R,90,NULL,52,22
12203R,1,0,1,0
12203R,1,NULL,56,31
12203R,2,0,2,1
12203R,2,NULL,55,30
12203R,4,0,3,1
12203R,4,NULL,54,30
12203R,7,0,4,2
12203R,7,NULL,53,29
12203R,30,0,5,2
12203R,30,NULL,52,29
12203R,90,0,5,2
12203R,90,NULL,52,29
12239R,1,1,1,1
12239R,1,NULL,101,87
12239R,2,1,3,3
12239R,2,NULL,99,85
12239R,4,1,1,1
12239R,4,2,1,1
12239R,4,3,1,1
12239R,4,NULL,99,85
12239R,7,1,2,2
12239R,7,2,1,1
12239R,7,3,1,1
12239R,7,NULL,98,84
12239R,30,1,2,2
12239R,30,2,1,1
12239R,30,3,1,1
12239R,30,4,1,1
12239R,30,NULL,97,83
12239R,90,0,1,1
12239R,90,1,3,2
12239R,90,2,1,1
12239R,90,3,1,1
12239R,90,4,1,1
12239R,90,5,1,1
12239R,90,NULL,94,81
12243R,1,NULL,11,3
12243R,2,0,1,1
12243R,2,NULL,10,2
12243R,4,0,1,1
12243R,4,NULL,10,2
12243R,7,0,2,1
12243R,7,NULL,9,2
12243R,30,0,3,2
12243R,30,NULL,8,1
12243R,90,0,3,2
12243R,90,NULL,8,1
12244R,1,NULL,11,3
12244R,2,0,1,1
12244R,2,NULL,10,2
