clinical_item_id,name,base_name
71573,10049R(Result),10049R
73005,10460R(Result),10460R
73004,10461R(Result),10461R
73069,10462R(Result),10462R
73068,10463R(Result),10463R
73269,10464R(Result),10464R
73268,10465R(Result),10465R
72971,10466R(Result),10466R
72970,10467R(Result),10467R
73072,10469R(Result),10469R
73071,10470R(Result),10470R
73431,10471R(Result),10471R
73024,10472R(Result),10472R
73023,10473R(Result),10473R
73461,10474R(Result),10474R
73456,10475R(Result),10475R
73109,10476R(Result),10476R
73103,10477R(Result),10477R
73482,10478R(Result),10478R
73689,11001R(High),11001R
70425,11001R(InRange),11001R
68175,11001R(Result),11001R
70424,11002R(Result),11002R
72738,11005R(Result),11005R
72737,11006R(Result),11006R
72736,11007R(Result),11007R
72735,11008R(Result),11008R
72734,11009R(Result),11009R
72733,11010R(Result),11010R
72732,11011R(Result),11011R
72731,11012R(Result),11012R
68371,11014R(Result),11014R
68370,11015R(Result),11015R
68369,11016R(Result),11016R
72730,11141R(Result),11141R
71261,11146R(High),11146R
69848,11146R(InRange),11146R
69111,11146R(Result),11146R
69847,11147R(Result),11147R
69846,11148R(Result),11148R
69845,11149R(Result),11149R
69844,11150R(Result),11150R
69843,11152R(Result),11152R
68975,11154R(Result),11154R
71248,11155R(High),11155R
68974,11155R(Result),11155R
68990,11164R(High),11164R
70422,11164R(InRange),11164R
69455,11164R(Result),11164R
70006,11165R(High),11165R
67216,11165R(Result),11165R
70005,11166R(High),11166R
67215,11166R(Result),11166R
66854,11167R(Result),11167R
67153,11168R(Result),11168R
73702,11171R(High),11171R
71429,11171R(InRange),11171R
73385,11171R(Result),11171R
72915,11174R(InRange),11174R
71483,11176R(High),11176R
70664,11176R(InRange),11176R
68993,11176R(Result),11176R
68992,11177R(Result),11177R
70878,11180R(High),11180R
68857,11180R(Result),11180R
70877,11181R(High),11181R
68856,11181R(Result),11181R
71305,11183R(High),11183R
68987,11183R(Result),11183R
69941,11184R(High),11184R
68986,11184R(Result),11184R
71205,11185R(Abnormal),11185R
69345,11185R(Result),11185R
72614,11189R(Result),11189R
70628,11191R(High),11191R
69393,11191R(Result),11191R
69392,11192R(Result),11192R
73477,11196R(High),11196R
70875,11197R(High),11197R
68854,11197R(Result),11197R
67574,11200R(Result),11200R
67573,11201R(Result),11201R
67572,11202R(Result),11202R
67571,11203R(Result),11203R
67570,11204R(Result),11204R
67569,11205R(Result),11205R
67568,11206R(Result),11206R
67567,11207R(Result),11207R
67566,11208R(Result),11208R
67565,11209R(Result),11209R
71269,11210R(High),11210R
70228,11210R(InRange),11210R
67563,11210R(Result),11210R
72214,11211R(High),11211R
70227,11211R(InRange),11211R
67562,11211R(Result),11211R
71385,11212R(High),11212R
70226,11212R(InRange),11212R
67560,11212R(Result),11212R
71260,11213R(High),11213R
70225,11213R(InRange),11213R
67559,11213R(Result),11213R
67699,11215R(Result),11215R
73551,11218R(High),11218R
73576,11218R(InRange),11218R
72381,11220R(InRange),11220R
72380,11221R(InRange),11221R
72379,11222R(InRange),11222R
72857,11222R(Result),11222R
72378,11223R(InRange),11223R
73550,11224R(High),11224R
72776,11226R(Result),11226R
72775,11227R(Result),11227R
72774,11228R(Result),11228R
71300,11230R(High),11230R
70691,11230R(InRange),11230R
67846,11230R(Result),11230R
70690,11231R(High),11231R
70870,11231R(InRange),11231R
67845,11231R(Result),11231R
71533,11232R(High),11232R
70689,11232R(InRange),11232R
67844,11232R(Result),11232R
71532,11233R(High),11233R
70688,11233R(InRange),11233R
67843,11233R(Result),11233R
67076,11235R(High),11235R
68743,11235R(Result),11235R
70339,11236R(High),11236R
67075,11236R(Result),11236R
67074,11237R(Result),11237R
69684,11239R(Result),11239R
71184,11241R(High),11241R
68406,11241R(Result),11241R
67173,11243R(Result),11243R
68115,11247R(High),11247R
67172,11247R(Result),11247R
68658,11251R(Result),11251R
70352,11252R(High),11252R
68657,11252R(Result),11252R
70642,11255R(Result),11255R
70641,11256R(Result),11256R
70640,11257R(Result),11257R
70639,11258R(Result),11258R
70638,11259R(Result),11259R
70635,11260R(Result),11260R
70634,11261R(Result),11261R
70633,11262R(Result),11262R
70632,11263R(Result),11263R
70631,11264R(Result),11264R
73147,11266R(Abnormal),11266R
67151,11266R(Result),11266R
69583,11300R(Result),11300R
69582,11301R(Result),11301R
69581,11302R(Result),11302R
69580,11303R(Result),11303R
69579,11304R(Result),11304R
69578,11305R(Result),11305R
69577,11306R(Result),11306R
72327,11313R(InRange),11313R
70787,11323R(Result),11323R
69456,11325R(Result),11325R
68604,11341R(Result),11341R
68603,11342R(Result),11342R
68187,11344R(Result),11344R
72049,11348R(Result),11348R
70663,11358R(Result),11358R
73416,11366R(Result),11366R
70871,11370R(Result),11370R
69489,11374R(Result),11374R
73618,11376R(Result),11376R
70794,11459R(Result),11459R
71368,11499R(Result),11499R
72902,11500R(Result),11500R
71356,11501R(Result),11501R
71446,11502R(Result),11502R
70876,11511R(High),11511R
68855,11511R(Result),11511R
70576,11621R(Result),11621R
71215,11625R(Result),11625R
67265,11627R(Result),11627R
69557,11632R(Result),11632R
68668,11633R(Result),11633R
69091,11635R(Result),11635R
69437,11636R(Result),11636R
69799,11637R(Result),11637R
73712,11638R(Result),11638R
69234,11639R(Result),11639R
71200,11640R(Result),11640R
67625,11641R(Result),11641R
73210,11643R(Result),11643R
71271,11644R(Result),11644R
68845,11650R(Result),11650R
68443,11657R(Result),11657R
69668,11659R(Result),11659R
67604,11661R(Result),11661R
73152,11664R(Result),11664R
67435,11666R(Result),11666R
71421,11667R(High),11667R
68348,11672R(Result),11672R
68347,11673R(Result),11673R
68346,11674R(Result),11674R
69209,11679R(Result),11679R
69208,11680R(Result),11680R
67385,11681R(Result),11681R
72055,11682R(Result),11682R
72054,11683R(Result),11683R
71116,11685R(Result),11685R
70873,11686R(Result),11686R
72262,11687R(InRange),11687R
72723,11688R(Result),11688R
69669,11691R(Result),11691R
70353,11692R(Result),11692R
70714,11715R(High),11715R
73688,11715R(InRange),11715R
73480,11720R(High),11720R
68909,11721R(Result),11721R
70283,11723R(Result),11723R
70282,11724R(InRange),11724R
70281,11727R(Result),11727R
70280,11728R(Result),11728R
70279,11729R(Result),11729R
70278,11731R(Result),11731R
70277,11732R(Result),11732R
70276,11733R(Result),11733R
73645,11756R(Low),11756R
70618,11757R(Result),11757R
70772,11758R(Result),11758R
70771,11759R(Result),11759R
70672,11760R(InRange),11760R
71843,11760R(Low),11760R
69206,11760R(Result),11760R
70671,11761R(InRange),11761R
71842,11761R(Low),11761R
69205,11761R(Result),11761R
70670,11762R(InRange),11762R
72929,11762R(Low),11762R
69204,11762R(Result),11762R
69203,11763R(Result),11763R
69997,11764R(Result),11764R
71255,11765R(Result),11765R
71254,11766R(Result),11766R
69996,11767R(Result),11767R
69770,11769R(Result),11769R
71115,11774R(Result),11774R
70357,11776R(Result),11776R
71214,11777R(Result),11777R
70168,11778R(Result),11778R
71556,11779R(Result),11779R
72261,11780R(InRange),11780R
73700,11780R(Low),11780R
72260,11781R(Result),11781R
71048,11825R(InRange),11825R
70017,11825R(Result),11825R
70016,11826R(Result),11826R
71044,11827R(InRange),11827R
70015,11827R(Result),11827R
70769,11828R(InRange),11828R
70014,11828R(Result),11828R
70445,11829R(Result),11829R
70444,11830R(Result),11830R
67250,11832R(Result),11832R
70057,11834R(Result),11834R
70056,11835R(Result),11835R
72859,11836R(Result),11836R
70055,11837R(Result),11837R
70054,11838R(Result),11838R
70053,11839R(Result),11839R
70050,11840R(Result),11840R
72858,11841R(Result),11841R
70049,11842R(Result),11842R
70048,11843R(Result),11843R
70885,11844R(Result),11844R
70431,11847R(Result),11847R
72167,11848R(InRange),11848R
70188,11848R(Result),11848R
73773,11849R(InRange),11849R
