name,description
WBC,"WBC(WBC)"
HGB,"HGB(CALC), ISTAT"
PLT,"PLATELET COUNT(PLT)"
NAWB,"SODIUM, WHOLE BLOOD"
K,"POTASSIUM, ISTAT"
CREAT,"CREATININE, ISTAT"
TBILI,"TOTAL BILIRUBIN(TBIL)"
CL,"CHLORIDE, SER/PLAS(CL)"
CO2,"CO2, SER/PLAS(CO2)"
DBILI,"CONJUGATED BILI"
AST,"AST (SGOT), SER/PLAS"
ALT,"ALT (SGPT), SER/PLAS"
ALB,"ALBUMIN, SER/PLAS(ALB)"
CA,"CALCIUM, SER/PLAS(CA)"
PCO2,"PCO2, ARTERIAL"
PO2,"PO2, ARTERIAL"
PH37,"PH 37"
TP,"PROTEIN, TOTAL, SER/PLAS"
ALKP,"ALK P'TASE, TOTAL, SER/PLAS"
BUN,"UREA NITROGEN, SER/PLAS"
HCO3,"HCO3"
MG,"MG"
PO4,"PO4"
INR,"INR"
P060,"P060"
CAI,"CAI"
CAIB,"CAIB"
LACTWB,"LACTWB"
