name,order_code_description,Orderable,LabDept,billing_code,Option,Version,FeeSchedCode,qty
10000B,T-cell XM-CDC,B,SQ,50795141,0,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,52292455,25,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,52292463,25,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,52292471,25,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,52292489,25,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,82392457,27,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,82392465,27,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,82392473,27,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,82392481,27,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,66692450,28,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,66692468,28,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,66692476,28,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,66692484,28,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,81092454,29,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,81092462,29,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,81092470,29,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,81092488,29,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,81392458,30,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,81392466,30,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,81392474,30,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,81392482,30,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,84392455,31,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,84392463,31,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,84392471,31,8,SHS,1
10000B,T-cell XM-CDC,B,SQ,84392489,31,8,SHS,1
10001B,B-cell XM-CDC1,B,HLAA,50795711,0,8,SHS,1
10001B,B-cell XM-CDC1,B,HLAA,52295711,25,8,SHS,1
10001B,B-cell XM-CDC1,B,HLAA,82395711,27,8,SHS,1
10001B,B-cell XM-CDC1,B,HLAA,66695711,28,8,SHS,1
10001B,B-cell XM-CDC1,B,HLAA,81095711,29,8,SHS,1
10001B,B-cell XM-CDC1,B,HLAA,81395711,30,8,SHS,1
10001B,B-cell XM-CDC1,B,HLAA,84395711,31,8,SHS,1
10002B,B-cell XM-CDC2,B,HLAA,50795711,0,8,SHS,1
10002B,B-cell XM-CDC2,B,HLAA,52295711,25,8,SHS,1
10002B,B-cell XM-CDC2,B,HLAA,82395711,27,8,SHS,1
10002B,B-cell XM-CDC2,B,HLAA,66695711,28,8,SHS,1
10002B,B-cell XM-CDC2,B,HLAA,81095711,29,8,SHS,1
10002B,B-cell XM-CDC2,B,HLAA,81395711,30,8,SHS,1
10002B,B-cell XM-CDC2,B,HLAA,84395711,31,8,SHS,1
10003B,B-cell XM-CDC3B-cell XM-CDC,B,HLAA,50795711,0,8,SHS,1
10003B,B-cell XM-CDC3B-cell XM-CDC,B,HLAA,52295711,25,8,SHS,1
10003B,B-cell XM-CDC3B-cell XM-CDC,B,HLAA,82395711,27,8,SHS,1
10003B,B-cell XM-CDC3B-cell XM-CDC,B,HLAA,66695711,28,8,SHS,1
10003B,B-cell XM-CDC3B-cell XM-CDC,B,HLAA,81095711,29,8,SHS,1
10003B,B-cell XM-CDC3B-cell XM-CDC,B,HLAA,81395711,30,8,SHS,1
10003B,B-cell XM-CDC3B-cell XM-CDC,B,HLAA,84395711,31,8,SHS,1
10004B,B-cell XM-CDC,B,SQ,50792498,0,8,SHS,1
10004B,B-cell XM-CDC,B,SQ,50792506,0,8,SHS,1
10004B,B-cell XM-CDC,B,SQ,50792514,0,8,SHS,1
10004B,B-cell XM-CDC,B,SQ,50792522,0,8,SHS,1
10004B,B-cell XM-CDC,B,SQ,52292497,25,8,SHS,1
10004B,B-cell XM-CDC,B,SQ,52292505,25,8,SHS,1
10004B,B-cell XM-CDC,B,SQ,52292513,25,8,SHS,1
10004B,B-cell XM-CDC,B,SQ,52292521,25,8,SHS,1
10004B,B-cell XM-CDC,B,SQ,66692492,28,8,SHS,1
10004B,B-cell XM-CDC,B,SQ,66692500,28,8,SHS,1
10004B,B-cell XM-CDC,B,SQ,66692518,28,8,SHS,1
10004B,B-cell XM-CDC,B,SQ,66692526,28,8,SHS,1
10005B,Flow B-cell Auto XM1,B,HLAA,50795911,0,8,SHS,1
