Base	2010	2011	2012	2013	2014	2015	2016	2017	
WBC	146403	149172	147342	150601	160427	163811	170175	10248	
HGB	153429	156559	154475	158614	170568	205596	224805	14405	
PLT	153867	156879	154117	158423	170082	168756	175550	10561	
NA	0	0	0	0	0	161693	193171	11836	
K	192554	192006	193520	200539	224148	241526	260467	17137	
CL	169156	168508	171880	181767	200478	216678	234613	15401	
CR	158888	157577	158352	160726	172496	179634	185878	11509	
BUN	150407	148960	150804	158174	170628	179690	185766	11498	
GLU	399728	416210	425474	438848	472476	466329	478043	36204	
CO2	153173	151664	153106	157966	170168	177673	183442	11430	
CA	150477	148789	150862	158202	170638	178807	184256	11515	
HCO3	1533	2115	1868	2031	2154	616	529	10	
TP	66126	63156	66665	72381	75339	77298	79105	4186	
ALB	70005	67036	70633	74041	77367	78902	81285	4375	
ALKP	69210	66215	69311	72538	75197	77034	78859	4174	
TBIL	69803	66926	70050	73401	76244	78445	80430	4231	
AST	69220	66234	69324	72599	75339	77059	78890	4175	
ALT	69217	66236	69328	72590	75336	77057	78888	4175	
DBIL	14667	12293	13174	10671	13716	16580	16681	953	
IBIL	14088	11928	12583	10139	13059	15787	15604	861	
PHA	54802	57726	58568	57561	66696	69579	72910	5832	
PCO2A	56159	59607	60222	59420	68290	67650	71479	5610	
PO2A	56159	59607	60222	59420	68290	67650	71479	5610	
