clinical_item_id,count
66137,1222023
73816,1161567
66138,972902
45749,972722
66139,881288
66123,680820
66120,658988
66177,597333
66178,597067
66121,592816
66125,589198
66626,584673
66124,575400
66122,558907
66179,492830
66176,491159
66243,484872
66161,478181
66625,460937
66175,447626
66609,423363
66611,412050
66608,411056
66610,410139
66278,406071
66145,404954
66126,404125
66118,390361
66272,367979
66160,334073
66286,288041
66251,286793
66266,281399
66147,271636
66111,256648
66258,255639
66112,243372
45767,240452
66261,238171
66146,234474
73827,233464
45763,233240
66140,229650
66143,229650
66142,229644
66110,227641
66262,224428
45788,218125
66273,215724
66305,213009
66194,207924
44198,207144
66119,206954
66148,201981
45821,198620
66279,195073
66264,193762
66149,193096
66263,188121
66267,182958
45753,179184
66153,179019
66141,175781
45759,173414
66182,168214
66162,164416
45806,164308
73817,164075
62005,154437
66166,153039
66268,150850
71052,150276
66284,150134
45818,146343
66092,140458
66090,140451
69814,139556
45793,139069
45805,136857
45771,133687
71561,132967
73818,132967
45791,132133
66183,132125
66371,130521
66334,130217
66370,129598
66168,129117
66384,128937
45764,126564
45786,124582
66389,124450
45755,124227
45750,122399
66152,122183
45770,121831
66114,121667
66116,121664
66158,121522
45866,118815
66211,118675
66215,114688
66219,114397
66213,114313
66216,114244
66220,113541
45774,112305
66217,111689
66295,111554
45849,110284
66212,109542
45844,108782
45867,108412
66173,106209
66231,104640
66201,104300
66628,104009
66307,102856
45776,102456
45811,101487
66265,101151
66248,100302
66198,99373
66165,99183
66214,98379
66218,97974
44205,97791
66091,95921
66369,94752
66325,94509
66624,94119
66306,93078
66339,91271
66296,91111
71083,89950
66232,89373
45836,87318
66181,86566
61823,86504
45825,85922
45850,85170
66281,84768
45787,84588
66195,84536
66247,83607
45766,83552
73819,83530
66187,82680
66115,80656
66106,80452
66170,80189
66327,79974
45778,79893
45931,79717
45760,78350
66169,77676
66386,77184
66108,76786
66109,76786
66107,76781
44319,76486
66352,75567
66102,75469
45781,75413
66093,75142
66180,75117
45751,74977
72399,74879
45900,73208
66100,72962
45775,72945
44004,72735
66824,72297
45761,72159
45792,71566
45927,71290
61982,70464
45945,69707
66259,67431
66105,66780
73822,66754
66104,66486
66171,66382
44231,66252
66196,65712
71047,65107
66202,64223
45817,64054
73829,63380
45870,63336
66328,62772
66197,62581
66222,62281
66411,61272
61977,61029
66274,60185
66338,60031
66172,58824
45827,57889
45887,57581
45752,57511
66099,56971
48515,56241
43997,55921
45986,54467
45831,54376
66101,53970
45901,53776
66300,53551
45784,52580
66304,52247
66098,52247
44236,51821
45911,51820
45782,51714
66301,51454
66167,51151
66224,51129
66429,50369
66270,50270
66277,50253
45758,50243
66413,50005
44250,49850
66275,48857
44213,48617
45873,48149
66344,47796
45832,47414
45812,46901
45972,46641
66151,46517
66333,46214
66103,46129
72401,45385
45918,45157
66096,44902
44206,44363
66203,44333
69817,44323
66294,44280
66230,44076
44255,43864
45830,43344
45801,43103
66269,43079
66246,42909
66398,42864
69813,42785
66336,42586
45814,42342
66097,42149
45795,41091
72951,41078
45854,40908
66155,40708
61824,40707
66154,40116
66245,39609
73832,39398
66256,39363
66253,39363
66254,39363
66255,39363
44005,39316
66332,39218
44222,39082
44283,38750
66204,38436
72402,38396
44201,38331
66403,38240
66190,38049
66303,37953
66302,37817
73839,37689
66189,36995
61978,36944
45937,36618
72408,36479
66156,35990
45864,35909
44219,35799
61974,35327
66210,35323
45879,35231
45823,34797
45910,34361
69816,34112
66349,34016
44023,33820
46041,33703
46008,33699
66551,33519
45892,33082
45765,32881
66341,32605
66340,32605
66342,32605
66509,32393
46279,32211
66174,32169
44234,31896
66434,31558
44229,31087
66117,30954
46096,30834
61845,30789
66094,30671
66337,30657
45797,29966
66508,29468
45875,29160
46251,29059
48492,28850
73825,28770
44359,28341
45841,27790
66244,27730
44281,27687
66522,27614
45919,27479
66228,27412
45808,27124
61975,26596
44317,26592
44275,25942
44022,25900
66436,25741
61832,25571
66708,25481
66630,25292
48547,25227
46264,25183
45912,25155
66500,25115
44274,24711
45983,24541
44011,24459
71045,24392
61984,24283
66282,24249
45886,24223
45772,24191
45924,24174
45973,24170
44215,24168
44216,23703
45838,23670
44268,23652
66283,23649
45894,23571
66207,23494
45777,23323
46050,23282
61842,23119
45891,23091
66657,23053
66652,23046
66656,23017
66658,23015
66655,23013
66653,23013
66654,23011
66651,23007
66650,23007
66649,23005
66184,22996
66250,22936
66311,22851
66229,22816
46090,22648
66157,22620
69815,22383
62006,22323
66193,22159
44264,22147
45872,21875
71054,21811
66188,21808
66144,21583
46179,21561
44291,21483
66456,21463
45783,21289
66299,21273
45861,21227
66205,21223
45799,21119
45914,20812
45856,20700
66322,20680
66321,20664
66331,20625
66323,20552
66241,20212
66825,20198
66330,20172
66401,19941
44357,19901
66465,19845
66457,19812
66488,19737
66574,19642
66623,19571
44218,19407
45975,19292
45810,19225
44207,19175
35733,18967
66467,18898
45796,18811
44220,18737
73823,18725
69818,18658
66607,18646
73873,18498
70971,18368
45925,18255
66770,18129
45903,18106
66505,18074
44237,18035
44294,18031
44297,17999
45779,17950
44439,17930
35847,17880
