clinical_item_id,name,description,count,order_code_description,min_price,max_price,mean_price,median_price,min_volume_charge,max_volume_charge,mean_volume_charge,median_volume_charge
45749,LABPOCGLU,GLUCOSE BY METER,972722,GLUCOSE BY METER,200.0,200.0,200.0,200.0,194544400.0,194544400.0,194544400.0,194544400.0
45751,LABUA,URINALYSIS WITH MICROSCOPIC,74977,URINALYSIS WITH MICROSCOPIC,196.0,196.0,196.0,196.0,14695492.0,14695492.0,14695492.0,14695492.0
45752,LABBLC,BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES),57511,Blood culture,499.0,499.0,499.0,499.0,28697989.0,28697989.0,28697989.0,28697989.0
45753,LABPCG3,"ISTAT G3+, ARTERIAL",179184,"ISTAT G3+, ARTERIAL",815.0,815.0,815.0,815.0,146034960.0,146034960.0,146034960.0,146034960.0
45757,LABFK506L,TACROLIMUS (FK506),15605,TACROLIMUS (FK506),345.0,345.0,345.0,345.0,5383725.0,5383725.0,5383725.0,5383725.0
45759,LABPT,PROTHROMBIN TIME,173414,PROTHROMBIN TIME (PT),190.0,190.0,190.0,190.0,32948660.0,32948660.0,32948660.0,32948660.0
45760,LABABG,"BLOOD GASES, ARTERIAL",78350,"BLOOD GASES, ARTERIAL",1161.0,1161.0,1161.0,1161.0,90964350.0,90964350.0,90964350.0,90964350.0
45763,LABMETB,"METABOLIC PANEL, BASIC",233240,"METABOLIC PANEL, BASIC",350.0,350.0,350.0,350.0,81634000.0,81634000.0,81634000.0,81634000.0
45770,LABPTT,PTT PARTIAL THROMBOPLASTIN TIME,121831,PART. THROMBOPLASTIN TIME,240.0,240.0,240.0,240.0,29239440.0,29239440.0,29239440.0,29239440.0
45771,LABMETC,"METABOLIC PANEL, COMPREHENSIVE",133687,"METABOLIC PANEL, COMPREHENSIVE",435.0,435.0,435.0,435.0,58153845.0,58153845.0,58153845.0,58153845.0
45772,LABTSH,TSH,24191,TSH,380.0,380.0,380.0,380.0,9192580.0,9192580.0,9192580.0,9192580.0
45778,LABPHOS,"PHOSPHORUS, SERUM/PLASMA",79893,"Phosphorus, Ser/Plas",225.0,225.0,225.0,225.0,17975925.0,17975925.0,17975925.0,17975925.0
45782,LABURNC,URINE CULTURE,51714,Urine Culture,317.0,317.0,317.0,317.0,16393338.0,16393338.0,16393338.0,16393338.0
45788,LABCBCD,CBC WITH DIFF,218125,CBC W/ DIFFERENTIAL,300.0,300.0,300.0,300.0,65437500.0,65437500.0,65437500.0,65437500.0
45792,LABROMRS,MRSA SCREEN,71566,R/O MRSA,165.0,165.0,165.0,165.0,11808390.0,11808390.0,11808390.0,11808390.0
45793,LABCBCO,CBC,139069,CBC,285.0,285.0,285.0,285.0,39634665.0,39634665.0,39634665.0,39634665.0
45797,LABA1C,HEMOGLOBIN A1C,29966,Hemoglobin A1c,145.0,145.0,145.0,145.0,4345070.0,4345070.0,4345070.0,4345070.0
45798,LABPREG,"PREGNANCY TEST, SERUM",2109,"Pregnancy Test, Sr",332.0,332.0,332.0,332.0,700188.0,700188.0,700188.0,700188.0
45800,LABHATA,HEPATITIS A AB TOTAL,145,Hepatitis A Total AB,231.0,231.0,231.0,231.0,33495.0,33495.0,33495.0,33495.0
45803,LABHBC,HEPATITIS B CORE AB IGM,2,Hepat.B Core Ab-IgM,248.0,248.0,248.0,248.0,496.0,496.0,496.0,496.0
45806,LABMGN,"MAGNESIUM, SERUM/PLASMA",164308,"Magnesium, Ser/Plas",280.0,280.0,280.0,280.0,46006240.0,46006240.0,46006240.0,46006240.0
45813,LABTCDIF,"C DIFFICILE TOXIN B, STOOL",3914,Stool C.diff Toxin B,106.0,106.0,106.0,106.0,414884.0,414884.0,414884.0,414884.0
45819,LABHAP,HAPTOGLOBIN,5670,Haptoglobin,258.0,258.0,258.0,258.0,1462860.0,1462860.0,1462860.0,1462860.0
45820,LABLPDPC,LIPID PLUS RISK PANEL WITH CALCULATED LDL,82,LIPID PLUS RISK W/ CALC. LDL,1198.0,1198.0,1198.0,1198.0,98236.0,98236.0,98236.0,98236.0
45826,LABANER,ANAEROBIC CULTURE,13002,Anaerobic Culture,544.0,544.0,544.0,544.0,7073088.0,7073088.0,7073088.0,7073088.0
45835,LABLEGU,"LEGIONELLA AG, URINE",1597,LEGIONELLA AG URINE,45.0,45.0,45.0,45.0,71865.0,71865.0,71865.0,71865.0
45837,LABAMY,"AMYLASE, SERUM",5977,"Amylase, Serum",395.0,395.0,395.0,395.0,2360915.0,2360915.0,2360915.0,2360915.0
45838,LABPCTNI,ISTAT TROPONIN I,23670,TROPONIN I (POC),520.0,520.0,520.0,520.0,12308400.0,12308400.0,12308400.0,12308400.0
45843,LABPCYS,PNEUMOCYSTIS STAIN,2184,Pneumocystis Stain,289.0,289.0,289.0,289.0,631176.0,631176.0,631176.0,631176.0
45851,LABUNA,"SODIUM WITH CREATININE, URINE (RANDOM)",4598,"SODIUM, UR (RANDOM) W/CREAT",134.0,134.0,134.0,134.0,616132.0,616132.0,616132.0,616132.0
45853,LABNTBNP,NT - PROBNP,15845,NT-proBNP,821.0,821.0,821.0,821.0,13008745.0,13008745.0,13008745.0,13008745.0
45861,LABK,"POTASSIUM, SERUM/PLASMA",21227,"Potassium, Ser/Plas",204.0,204.0,204.0,204.0,4330308.0,4330308.0,4330308.0,4330308.0
45870,LABTNI,TROPONIN I,63336,Troponin I,520.0,520.0,520.0,520.0,32934720.0,32934720.0,32934720.0,32934720.0
