name,num_ordered,window,num_repeated,order_code_description,price_description,min_price,max_price,mean_price,median_price,min_volume_charge,max_volume_charge,mean_volume_charge,median_volume_charge
LAB11013R,147,1,17,PLATELET ANTIBODY ID PANEL,HC 6957 11013R AB ID PLATELETS,217,217,217,217,3689,3689,3689,3689
LAB11013R,147,3,19,PLATELET ANTIBODY ID PANEL,HC 6957 11013R AB ID PLATELETS,217,217,217,217,4123,4123,4123,4123
LAB11013R,147,7,27,PLATELET ANTIBODY ID PANEL,HC 6957 11013R AB ID PLATELETS,217,217,217,217,5859,5859,5859,5859
LAB11019R,48,1,3,"MYELIN BASIC PROTEIN, CSF",HC 6959 MYELIN BAS PROT CSF,38,38,38,38,114,114,114,114
LAB11019R,48,3,3,"MYELIN BASIC PROTEIN, CSF",HC 6959 MYELIN BAS PROT CSF,38,38,38,38,114,114,114,114
LAB11019R,48,7,4,"MYELIN BASIC PROTEIN, CSF",HC 6959 MYELIN BAS PROT CSF,38,38,38,38,152,152,152,152
LAB11020R,224,1,4,EB VIRUS EARLY AG (R+D) IGG,HC 6942 EBV EA IGG,47,47,47,47,188,188,188,188
LAB11020R,224,3,6,EB VIRUS EARLY AG (R+D) IGG,HC 6942 EBV EA IGG,47,47,47,47,282,282,282,282
LAB11020R,224,7,7,EB VIRUS EARLY AG (R+D) IGG,HC 6942 EBV EA IGG,47,47,47,47,329,329,329,329
LAB11021R,13,1,3,ADRENAL AB,HC 6959 11021R 21OH AB QN RIA,61,61,61,61,183,183,183,183
LAB11021R,13,3,3,ADRENAL AB,HC 6959 11021R 21OH AB QN RIA,61,61,61,61,183,183,183,183
LAB11021R,13,7,4,ADRENAL AB,HC 6959 11021R 21OH AB QN RIA,61,61,61,61,244,244,244,244
LAB11023R,226,1,5,EB NUCLEAR AG AB,HC 6942 EBV EBNA,47,47,47,47,235,235,235,235
LAB11023R,226,3,6,EB NUCLEAR AG AB,HC 6942 EBV EBNA,47,47,47,47,282,282,282,282
LAB11023R,226,7,8,EB NUCLEAR AG AB,HC 6942 EBV EBNA,47,47,47,47,376,376,376,376
LAB11024R,222,1,4,EB VIRAL CAPSID AG IGM AB,HC 6942 EBV VCA IGM,47,47,47,47,188,188,188,188
LAB11024R,222,3,5,EB VIRAL CAPSID AG IGM AB,HC 6942 EBV VCA IGM,47,47,47,47,235,235,235,235
LAB11024R,222,7,7,EB VIRAL CAPSID AG IGM AB,HC 6942 EBV VCA IGM,47,47,47,47,329,329,329,329
LAB11025R,28,1,1,"C1 INHIBITOR, QUANT",HC 6959 11025R C1INH CMPL ATGN,19,19,19,19,19,19,19,19
LAB11025R,28,3,1,"C1 INHIBITOR, QUANT",HC 6959 11025R C1INH CMPL ATGN,19,19,19,19,19,19,19,19
LAB11025R,28,7,1,"C1 INHIBITOR, QUANT",HC 6959 11025R C1INH CMPL ATGN,19,19,19,19,19,19,19,19
LAB11027R,39,1,3,IMMUNE COMPLEXES,HC 6959 11027R C1Q IMM CPLX AS,24,24,24,24,72,72,72,72
LAB11027R,39,3,3,IMMUNE COMPLEXES,HC 6959 11027R C1Q IMM CPLX AS,24,24,24,24,72,72,72,72
LAB11027R,39,7,5,IMMUNE COMPLEXES,HC 6959 11027R C1Q IMM CPLX AS,24,24,24,24,120,120,120,120
LAB11028R,70,1,1,"ACE, CSF",HC 6959 11028R ACE CSF,24,24,24,24,24,24,24,24
LAB11028R,70,3,1,"ACE, CSF",HC 6959 11028R ACE CSF,24,24,24,24,24,24,24,24
LAB11028R,70,7,2,"ACE, CSF",HC 6959 11028R ACE CSF,24,24,24,24,48,48,48,48
LAB11030R,221,1,4,EB VIRAL CAPSID AG IGG AB,HC 6942 EBV VCA IGG,32,32,32,32,128,128,128,128
LAB11030R,221,3,5,EB VIRAL CAPSID AG IGG AB,HC 6942 EBV VCA IGG,32,32,32,32,160,160,160,160
LAB11030R,221,7,7,EB VIRAL CAPSID AG IGG AB,HC 6942 EBV VCA IGG,32,32,32,32,224,224,224,224
LAB11032R,4,7,1,PSEUDOCHOLINESTERASE,HC 6959 11032R PSEUDOCHOLINEST,13,13,13,13,13,13,13,13
LAB11036R,153,1,40,"FIBRINOGEN, QUANT",HC 6959 11036R FIBRINOGEN AG,52,52,52,52,2080,2080,2080,2080
LAB11036R,153,3,81,"FIBRINOGEN, QUANT",HC 6959 11036R FIBRINOGEN AG,52,52,52,52,4212,4212,4212,4212
LAB11036R,153,7,86,"FIBRINOGEN, QUANT",HC 6959 11036R FIBRINOGEN AG,52,52,52,52,4472,4472,4472,4472
LAB11037R,16,1,2,FLECAINIDE LEVEL,HC 6959 FLECAINIDE,26,26,26,26,52,52,52,52
LAB11037R,16,3,4,FLECAINIDE LEVEL,HC 6959 FLECAINIDE,26,26,26,26,104,104,104,104
LAB11037R,16,7,4,FLECAINIDE LEVEL,HC 6959 FLECAINIDE,26,26,26,26,104,104,104,104
LAB11039R,88,1,5,GBM AB,HC 6959 11039R GBM AB IGG IFA,64,64,64,64,320,320,320,320
LAB11039R,88,3,11,GBM AB,HC 6959 11039R GBM AB IGG IFA,64,64,64,64,704,704,704,704
LAB11039R,88,7,11,GBM AB,HC 6959 11039R GBM AB IGG IFA,64,64,64,64,704,704,704,704
LAB11041R,902,1,83,FREE HEMOGLOBIN,HC 6959 11041R HEMOGLBN SPCTRO,20,20,20,20,1660,1660,1660,1660
LAB11041R,902,3,260,FREE HEMOGLOBIN,HC 6959 11041R HEMOGLBN SPCTRO,20,20,20,20,5200,5200,5200,5200
LAB11041R,902,7,616,FREE HEMOGLOBIN,HC 6959 11041R HEMOGLBN SPCTRO,20,20,20,20,12320,12320,12320,12320
LAB11042R,21,1,1,HISTAMINE LEVEL,HC 6959 HISTAMINE,34,34,34,34,34,34,34,34
LAB11042R,21,3,2,HISTAMINE LEVEL,HC 6959 HISTAMINE,34,34,34,34,68,68,68,68
LAB11042R,21,7,2,HISTAMINE LEVEL,HC 6959 HISTAMINE,34,34,34,34,68,68,68,68
LAB11045R,76,1,1,LKM AB,HC 6959 11045R LIV KID IGG AB,19,19,19,19,19,19,19,19
LAB11045R,76,3,1,LKM AB,HC 6959 11045R LIV KID IGG AB,19,19,19,19,19,19,19,19
LAB11045R,76,7,1,LKM AB,HC 6959 11045R LIV KID IGG AB,19,19,19,19,19,19,19,19
LAB11049R,501,1,199,NSE,HC 6959 11049R NSE IMMUN AG QN,39,39,39,39,7761,7761,7761,7761
LAB11049R,501,3,276,NSE,HC 6959 11049R NSE IMMUN AG QN,39,39,39,39,10764,10764,10764,10764
LAB11049R,501,7,308,NSE,HC 6959 11049R NSE IMMUN AG QN,39,39,39,39,12012,12012,12012,12012
LAB11055R,5,1,2,PROPAFENONE LEVEL,HC 6959 11055R PROPAFEN QN DRG,39,39,39,39,78,78,78,78
LAB11055R,5,3,2,PROPAFENONE LEVEL,HC 6959 11055R PROPAFEN QN DRG,39,39,39,39,78,78,78,78
LAB11055R,5,7,3,PROPAFENONE LEVEL,HC 6959 11055R PROPAFEN QN DRG,39,39,39,39,117,117,117,117
LAB11056R,154,1,49,FREE CORTISOL,HC 6959 11056R CORTISOL FREE,100,100,100,100,4900,4900,4900,4900
LAB11056R,154,3,52,FREE CORTISOL,HC 6959 11056R CORTISOL FREE,100,100,100,100,5200,5200,5200,5200
LAB11056R,154,7,58,FREE CORTISOL,HC 6959 11056R CORTISOL FREE,100,100,100,100,5800,5800,5800,5800
LAB11057R,5,1,1,TNF,HC 6959 11057R TNF IMM QN NOS,95,95,95,95,95,95,95,95
LAB11057R,5,3,2,TNF,HC 6959 11057R TNF IMM QN NOS,95,95,95,95,190,190,190,190
LAB11057R,5,7,2,TNF,HC 6959 11057R TNF IMM QN NOS,95,95,95,95,190,190,190,190
LAB11060R,521,1,13,THIAMINE,HC 6959 11060R THIAMINE VIT B1,30,30,30,30,390,390,390,390
LAB11060R,521,3,28,THIAMINE,HC 6959 11060R THIAMINE VIT B1,30,30,30,30,840,840,840,840
LAB11060R,521,7,38,THIAMINE,HC 6959 11060R THIAMINE VIT B1,30,30,30,30,1140,1140,1140,1140
LAB11067R,13,1,1,17OH PROG,HC 6956 11067R 17D HYDPRGSTRNE,21,21,21,21,21,21,21,21
LAB11067R,13,3,2,17OH PROG,HC 6956 11067R 17D HYDPRGSTRNE,21,21,21,21,42,42,42,42
LAB11067R,13,7,2,17OH PROG,HC 6956 11067R 17D HYDPRGSTRNE,21,21,21,21,42,42,42,42
LAB11068R,333,1,16,ACE,HC 6956 11068R ACE,15,15,15,15,240,240,240,240
LAB11068R,333,3,21,ACE,HC 6956 11068R ACE,15,15,15,15,315,315,315,315
LAB11068R,333,7,24,ACE,HC 6956 11068R ACE,15,15,15,15,360,360,360,360
LAB11069R,260,1,17,ALDOLASE,HC 6956 11069R ALDOLASE,9,9,9,9,153,153,153,153
LAB11069R,260,3,36,ALDOLASE,HC 6956 11069R ALDOLASE,9,9,9,9,324,324,324,324
LAB11069R,260,7,43,ALDOLASE,HC 6956 11069R ALDOLASE,9,9,9,9,387,387,387,387
LAB11070R,182,1,5,ALDOSTERONE,HC 6956 11070R ALDOSTERONE,33,33,33,33,165,165,165,165
LAB11070R,182,3,15,ALDOSTERONE,HC 6956 11070R ALDOSTERONE,33,33,33,33,495,495,495,495
LAB11070R,182,7,20,ALDOSTERONE,HC 6956 11070R ALDOSTERONE,33,33,33,33,660,660,660,660
LAB11071R,427,1,12,MITOCHONDRIAL AB,HC 6956 11071R MITCHNDRL M2 AB,13,13,13,13,156,156,156,156
LAB11071R,427,3,24,MITOCHONDRIAL AB,HC 6956 11071R MITCHNDRL M2 AB,13,13,13,13,312,312,312,312
LAB11071R,427,7,26,MITOCHONDRIAL AB,HC 6956 11071R MITCHNDRL M2 AB,13,13,13,13,338,338,338,338
LAB11075R,523,1,17,SMOOTH MUSCLE AB,HC 6956 11075R SMTH MUS AB IGG,15,15,15,15,255,255,255,255
LAB11075R,523,3,33,SMOOTH MUSCLE AB,HC 6956 11075R SMTH MUS AB IGG,15,15,15,15,495,495,495,495
LAB11075R,523,7,35,SMOOTH MUSCLE AB,HC 6956 11075R SMTH MUS AB IGG,15,15,15,15,525,525,525,525
LAB11077R,67,1,2,CALCITONIN,HC 6956 11077R CALCITONIN,44,44,44,44,88,88,88,88
LAB11077R,67,3,8,CALCITONIN,HC 6956 11077R CALCITONIN,44,44,44,44,352,352,352,352
LAB11077R,67,7,8,CALCITONIN,HC 6956 11077R CALCITONIN,44,44,44,44,352,352,352,352
LAB11078R,9,7,1,ACETYLCHOLINESTERASE,HC 6956 ACETYLCHOLINESTERASE RBC,61,61,61,61,61,61,61,61
LAB11080R,22,3,1,GAD65 AB ASSAY,HC 6956 GLUTAMIC AC DECARBOXY AB,14,14,14,14,14,14,14,14
LAB11080R,22,7,1,GAD65 AB ASSAY,HC 6956 GLUTAMIC AC DECARBOXY AB,14,14,14,14,14,14,14,14
LAB11081R,161,1,13,GASTRIN,HC 6956 11081R GASTRIN,16,16,16,16,208,208,208,208
LAB11081R,161,3,22,GASTRIN,HC 6956 11081R GASTRIN,16,16,16,16,352,352,352,352
LAB11081R,161,7,25,GASTRIN,HC 6956 11081R GASTRIN,16,16,16,16,400,400,400,400
LAB11085R,188,1,5,MPO AB,HC 6956 MYELOPEROXIDASE AB,28,28,28,28,140,140,140,140
LAB11085R,188,3,10,MPO AB,HC 6956 MYELOPEROXIDASE AB,28,28,28,28,280,280,280,280
LAB11085R,188,7,10,MPO AB,HC 6956 MYELOPEROXIDASE AB,28,28,28,28,280,280,280,280
LAB11086R,72,1,4,NORTRIPTYLINE LEVEL,HC 6956 11086R NORTRIPTYLINE,18,18,18,18,72,72,72,72
LAB11086R,72,3,7,NORTRIPTYLINE LEVEL,HC 6956 11086R NORTRIPTYLINE,18,18,18,18,126,126,126,126
LAB11086R,72,7,18,NORTRIPTYLINE LEVEL,HC 6956 11086R NORTRIPTYLINE,18,18,18,18,324,324,324,324
LAB11091R,7,3,2,QUINIDINE LEVEL,HC QUINIDINE,41,41,41,41,82,82,82,82
LAB11091R,7,7,2,QUINIDINE LEVEL,HC QUINIDINE,41,41,41,41,82,82,82,82
LAB11092R,165,1,4,RENIN,HC 6956 11092R RENIN ACTIVITY,16,16,16,16,64,64,64,64
LAB11092R,165,3,9,RENIN,HC 6956 11092R RENIN ACTIVITY,16,16,16,16,144,144,144,144
LAB11092R,165,7,14,RENIN,HC 6956 11092R RENIN ACTIVITY,16,16,16,16,224,224,224,224
LAB11093R,93,1,1,SCL 70 AB,HC 6956 11093R ENA SCL70 EA AB,17,17,17,17,17,17,17,17
LAB11093R,93,3,1,SCL 70 AB,HC 6956 11093R ENA SCL70 EA AB,17,17,17,17,17,17,17,17
LAB11093R,93,7,1,SCL 70 AB,HC 6956 11093R ENA SCL70 EA AB,17,17,17,17,17,17,17,17
LAB11094R,128,1,5,RO AB,HC 6956 11094R ENA SSA RO IGG,14,14,14,14,70,70,70,70
LAB11094R,128,3,7,RO AB,HC 6956 11094R ENA SSA RO IGG,14,14,14,14,98,98,98,98
LAB11094R,128,7,8,RO AB,HC 6956 11094R ENA SSA RO IGG,14,14,14,14,112,112,112,112
LAB11095R,122,1,5,LA AB,HC 6956 11095R ENA SSB LA IGG,24,24,24,24,120,120,120,120
LAB11095R,122,3,7,LA AB,HC 6956 11095R ENA SSB LA IGG,24,24,24,24,168,168,168,168
LAB11095R,122,7,8,LA AB,HC 6956 11095R ENA SSB LA IGG,24,24,24,24,192,192,192,192
LAB11096R,97,1,9,"ALPHA 1 ANTITRYPSIN, STOOL",HC 6956 ALPHA-1-ANTITRYPSIN STL,31,31,31,31,279,279,279,279
LAB11096R,97,3,17,"ALPHA 1 ANTITRYPSIN, STOOL",HC 6956 ALPHA-1-ANTITRYPSIN STL,31,31,31,31,527,527,527,527
LAB11096R,97,7,20,"ALPHA 1 ANTITRYPSIN, STOOL",HC 6956 ALPHA-1-ANTITRYPSIN STL,31,31,31,31,620,620,620,620
LAB11097R,100,1,6,"TSH RECEPTOR AB, STIM",HC 6956 11097R THY STIM IMM GL,12,12,12,12,72,72,72,72
LAB11097R,100,3,10,"TSH RECEPTOR AB, STIM",HC 6956 11097R THY STIM IMM GL,12,12,12,12,120,120,120,120
LAB11097R,100,7,11,"TSH RECEPTOR AB, STIM",HC 6956 11097R THY STIM IMM GL,12,12,12,12,132,132,132,132
LAB11098R,276,1,7,1 25 OH VITAMIN D,"HC 6956 11098R VITD 1,25 DIHYD",43,43,43,43,301,301,301,301
