metric_id	metric_name	metric_description
1006	Appointment Desk accessed	(individually or in a group).
1006	Appointment Desk accessed	Appointment desk accessed for patient 
1018	Department Appointments report run	Department Appointments report run.
1102	Patient Locator report accessed	Patient Locator report accessed.
1103	Patient Sidebar report accessed	Patient Sidebar report accessed.
1120	Snapboard report run	Snapboard report run.
1131	Cancel/Reschedule Appointment activity accessed	Cancel/Reschedule Appointment activity
1131	Cancel/Reschedule Appointment activity accessed	accessed.
1226	Edit AVS navigator accessed	Add Med Details navigator section (LVN 35600).
1226	Edit AVS navigator accessed	This event if filed if changes are made from the
1227	Add Med Details section viewed in AVS	Details navigator sections and then a medication
1227	Add Med Details section viewed in AVS	We display a warning in the Preview AVS section
1227	Add Med Details section viewed in AVS	if information is entered from the Add Med
1227	Add Med Details section viewed in AVS	is modified. This event is filed if a clinician
1227	Add Med Details section viewed in AVS	or clicks the Acknowledge hyperlink in the
1227	Add Med Details section viewed in AVS	takes an action in the section, prints the AVS
1227	Add Med Details section viewed in AVS	warning to clear out the warning.
2000	OR General Case Information form selected	OR General Case Information form selected
2000	OR General Case Information form selected	for patient.
2001	OR Panel #2 form selected in Case Entry	Case Entry.
2001	OR Panel #2 form selected in Case Entry	OR Panel #2 form selected for patient in
2005	OR Staffing form selected in Case Entry	OR Staffing form
2005	OR Staffing form selected in Case Entry	selected for patient in Case Entry.
2006	OR Equipment and Instruments form selected in Case Entry	OR Equipment and Instruments
2006	OR Equipment and Instruments form selected in Case Entry	form selected for patient in Case Entry.
2007	OR Supplies and Drugs form selected in Case Entry	OR Supplies and Drugs form
2007	OR Supplies and Drugs form selected in Case Entry	selected for patient in Case Entry.
2008	OR Anesthesia Information form selected in Case Entry	OR Anesthesia Information form
2008	OR Anesthesia Information form selected in Case Entry	selected for patient in Case Entry.
2009	OR Additional Case Information form selected in Case Entry	OR Additional Case Information form selected
2009	OR Additional Case Information form selected in Case Entry	in Case Entry for patient.
2013	OR Pre-Op & Post-Op Appointments form selected in Case Entry	OR Pre-Op & Post-Op Appointments
2013	OR Pre-Op & Post-Op Appointments form selected in Case Entry	form selected for patient in Case Entry.
2014	OR Audit Trail form selected in Case Entry	Case Entry for patient.
2014	OR Audit Trail form selected in Case Entry	OR Audit Trail form selected in
