provider_id,start_date,end_date,rotation_id,role
S0181056,2015-07-04 00:00:00,2015-07-18,5,R1
S0181056,2015-11-07 00:00:00,2015-12-05,2,R1
S0181056,2016-02-27 00:00:00,2016-03-26,2,R1
S0181056,2016-08-13 00:00:00,2016-09-10,22,R2
S0181056,2016-09-24 00:00:00,2016-10-08,5,R2
S0181056,2017-02-04 00:00:00,2017-03-04,27,R2
S0181056,2017-03-04 00:00:00,2017-04-01,2,R2
5505,2015-09-12 00:00:00,2015-10-10,2,R1
5505,2015-11-07 00:00:00,2015-12-05,2,R1
5505,2016-01-02 00:00:00,2016-01-16,5,R1
5505,2016-05-21 00:00:00,2016-06-04,5,R1
5505,2016-07-30 00:00:00,2016-08-13,5,R2
5505,2016-09-10 00:00:00,2016-09-24,5,R2
5505,2017-04-29 00:00:00,2017-05-27,27,R2
8301,2012-07-28 00:00:00,2012-08-25,2,R3
8301,2012-09-22 00:00:00,2012-10-06,5,R3
8301,2012-12-29 00:00:00,2013-01-12,5,R3
8301,2013-05-04 00:00:00,2013-06-01,27,R3
S0075723,2012-11-17 00:00:00,2012-12-29,27,R3
S0075723,2013-05-04 00:00:00,2013-05-18,5,R3
S0036489,2012-06-25 00:00:00,2012-07-07,5,R1
S0036489,2012-07-21 00:00:00,2012-08-18,2,R1
S0036489,2012-10-13 00:00:00,2012-11-10,2,R1
S0036489,2013-01-19 00:00:00,2013-02-02,5,R1
S0036489,2013-02-02 00:00:00,2013-03-02,2,R1
S0036489,2013-03-30 00:00:00,2013-04-27,22,R1
S0196152,2016-11-12 00:00:00,2016-12-10,2,R1
S0196152,2016-12-10 00:00:00,2016-12-31,5,R1
S0196152,2017-03-25 00:00:00,2017-04-22,2,R1
S0196152,2017-04-22 00:00:00,2017-05-20,22,R1
S263,2013-02-09 00:00:00,2013-02-23,5,R3
S263,2013-04-06 00:00:00,2013-05-04,27,R3
S265,2012-07-01 00:00:00,2012-07-28,27,R2
S265,2012-08-11 00:00:00,2012-08-25,5,R2
S265,2013-05-18 00:00:00,2013-06-01,5,R2
S0003751,2012-10-13 00:00:00,2012-11-10,2,R1
S0003751,2012-12-08 00:00:00,2012-12-22,5,R1
S0003751,2013-02-02 00:00:00,2013-03-02,2,R1
S0003751,2013-05-11 00:00:00,2013-05-25,5,R1
S0003751,2013-07-01 00:00:00,2013-07-27,27,R2
S0003751,2013-09-07 00:00:00,2013-09-21,5,R2
S0003751,2013-09-21 00:00:00,2013-10-19,22,R2
S0003751,2013-11-16 00:00:00,2013-12-07,5,R2
S0003751,2014-07-12 00:00:00,2014-07-26,5,R3
S0003751,2014-08-23 00:00:00,2014-09-20,2,R3
S0003751,2014-10-18 00:00:00,2014-11-15,27,R3
S0003751,2014-11-15 00:00:00,2014-12-09,2,R3
S0003751,2014-12-28 00:00:00,2015-01-10,2,R3
S0003751,2015-05-02 00:00:00,2015-05-16,5,R3
S0012276,2014-08-16 00:00:00,2014-09-13,2,R1
S0012276,2015-02-28 00:00:00,2015-03-28,2,R1
S0012276,2015-05-09 00:00:00,2015-05-23,5,R1
S0012276,2016-08-13 00:00:00,2016-09-10,2,R3
S0012276,2017-01-07 00:00:00,2017-02-04,2,R3
S0019457,2014-07-19 00:00:00,2014-08-16,2,R1
S0019457,2015-05-23 00:00:00,2015-06-25,2,R1
S0019457,2015-07-25 00:00:00,2015-08-08,5,R2
S0019457,2015-12-08 00:00:00,2015-12-28,5,R2
S0019457,2016-03-05 00:00:00,2016-04-02,27,R2
S0019457,2016-04-02 00:00:00,2016-04-30,2,R2
S0021344,2012-09-15 00:00:00,2012-10-13,2,R1
S0021344,2012-11-10 00:00:00,2012-12-08,2,R1
S0021344,2013-03-16 00:00:00,2013-03-30,5,R1
S0021344,2013-08-24 00:00:00,2013-09-21,27,R2
S0021344,2014-03-08 00:00:00,2014-03-22,5,R2
S0021344,2014-08-09 00:00:00,2014-08-23,5,R3
S0021344,2015-03-07 00:00:00,2015-04-04,22,R3
S0021344,2015-05-16 00:00:00,2015-05-30,5,R3
S0032902,2012-09-22 00:00:00,2012-10-06,5,R2
S0032902,2012-12-29 00:00:00,2013-01-12,27,R2
S0032902,2013-03-23 00:00:00,2013-04-06,5,R2
S0032902,2013-05-04 00:00:00,2013-06-01,2,R2
S0032902,2013-08-24 00:00:00,2013-09-21,2,R3
S0032902,2013-11-16 00:00:00,2013-12-07,5,R3
S0032902,2013-12-28 00:00:00,2014-01-11,27,R3
S0032902,2014-04-19 00:00:00,2014-05-03,5,R3
S0036093,2012-07-01 00:00:00,2012-07-14,5,R2
S0036093,2012-07-28 00:00:00,2012-08-25,27,R2
S0036093,2012-09-22 00:00:00,2012-10-20,22,R2
S0036093,2013-01-12 00:00:00,2013-02-09,2,R2
S0036093,2013-03-09 00:00:00,2013-03-23,5,R2
S0040953,2012-07-14 00:00:00,2012-07-28,5,R3
S0040953,2012-07-28 00:00:00,2012-08-25,2,R3
S0041977,2012-07-28 00:00:00,2012-08-11,5,R3
S0041977,2012-09-22 00:00:00,2012-10-20,2,R3
S0041977,2013-03-09 00:00:00,2013-04-06,2,R3
S0041977,2013-05-04 00:00:00,2013-06-01,27,R3
S0046640,2014-12-06 00:00:00,2015-01-03,2,R1
S0046640,2015-02-14 00:00:00,2015-02-28,5,R1
S0046640,2015-04-25 00:00:00,2015-05-23,2,R1
S0046640,2015-08-22 00:00:00,2015-09-19,2,R2
S0046640,2015-10-17 00:00:00,2015-11-14,27,R2
S0046640,2015-12-08 00:00:00,2015-12-28,2,R2
S0046640,2016-01-09 00:00:00,2016-01-23,5,R2
S0049443,2013-01-05 00:00:00,2013-02-02,2,R1
S0049443,2013-02-02 00:00:00,2013-02-16,5,R1
S0049443,2013-03-02 00:00:00,2013-03-30,2,R1
