Rotation,Role,Provider_ID,Date,Chart_Review_Time,Note_Review_Time,Note_Entry_Time,Order_Entry_Time,Navigator_Time,Results_Review_Time,Total_Time,Number_EHR_Actions,Number_EHR_Actions_Accessed_Remotely,Number_Unique_Patient_Records_Accessed
General Medicine,PGY2+,S0169403,2015-08-15,0:43:24,0:15:53,0:07:34,0:12:29,0:06:30,0:22:12,2:00:48,667,0,8
General Medicine,PGY2+,S0169403,2015-08-14,1:16:07,0:25:38,0:49:45,0:43:19,0:26:29,0:26:48,4:35:32,1651,47,14
General Medicine,PGY2+,S0169403,2015-08-17,2:56:10,0:59:23,0:30:44,1:21:15,0:24:50,0:23:21,7:08:04,3574,101,16
General Medicine,PGY2+,S0169403,2015-08-16,2:09:00,2:36:11,1:53:26,0:43:05,0:29:48,0:38:29,9:29:39,3344,26,24
General Medicine,PGY2+,S0169403,2015-08-11,2:45:02,2:36:53,0:37:01,0:55:18,0:21:23,1:17:17,9:30:40,4347,86,35
General Medicine,PGY2+,S0169403,2015-08-10,0:00:00,0:02:27,0:00:00,0:00:17,0:00:00,0:03:02,0:06:44,120,110,8
General Medicine,PGY2+,S0169403,2015-08-13,2:10:32,0:57:31,1:02:32,1:00:47,0:19:09,0:43:08,7:05:41,2788,59,20
General Medicine,PGY2+,S0169403,2015-08-12,2:18:15,1:04:35,1:10:05,0:38:13,0:22:14,0:54:05,7:00:22,2874,28,14
Intensive Care Unit,PGY2+,S0174975,2016-09-20,2:32:09,0:38:31,0:14:15,0:52:01,0:28:13,0:02:00,5:29:22,1557,0,23
Intensive Care Unit,PGY2+,S0174975,2016-09-21,2:04:59,0:39:38,0:09:10,0:25:59,0:27:18,0:03:55,4:33:47,1872,11,68
Intensive Care Unit,PGY2+,S0174975,2016-09-22,1:43:13,0:16:06,0:03:12,0:15:37,0:13:57,0:00:12,2:52:08,980,0,24
Intensive Care Unit,PGY2+,S0174975,2016-09-23,1:46:38,0:13:46,0:10:06,0:31:06,0:40:29,0:01:07,3:47:58,1164,38,19
General Medicine,PGY2+,S0169403,2015-08-19,2:13:01,0:50:47,0:48:27,1:01:22,0:35:34,0:30:05,6:42:56,2627,82,18
General Medicine,PGY2+,S0169403,2015-08-18,2:33:40,1:02:52,0:38:59,1:08:22,0:22:55,0:27:47,6:59:38,2691,65,26
Intensive Care Unit,PGY2+,S0174975,2016-09-26,1:19:46,0:16:18,0:03:52,0:26:42,0:22:08,0:04:54,2:54:25,1062,0,11
Intensive Care Unit,PGY2+,S0174975,2016-09-27,1:37:33,0:27:24,0:09:33,0:22:38,0:18:18,0:03:19,3:27:52,1166,0,15
Intensive Care Unit,PGY2+,S0094959,2015-09-08,3:05:33,0:16:38,0:13:58,0:34:10,0:27:34,0:25:52,5:36:04,2305,51,24
Intensive Care Unit,PGY2+,S0169394,2015-12-08,0:47:36,0:39:25,1:02:28,0:10:28,0:08:06,0:19:39,3:18:36,994,9,30
Intensive Care Unit,PGY2+,S0169394,2015-12-01,1:15:35,0:23:39,0:03:57,0:37:16,0:31:23,0:24:09,3:37:16,1342,9,22
Intensive Care Unit,PGY2+,S0169394,2015-12-02,2:26:46,0:34:51,0:13:06,0:31:23,0:31:53,0:53:52,5:34:12,1735,234,14
Intensive Care Unit,PGY2+,S0169394,2015-12-03,1:52:50,0:36:14,0:11:52,0:22:53,0:32:14,0:45:19,4:38:53,1297,0,12
Intensive Care Unit,PGY2+,S0169394,2015-12-04,2:23:56,0:57:13,0:10:21,0:37:34,0:26:36,1:08:55,6:02:28,1590,15,16
Intensive Care Unit,PGY2+,S0169394,2015-12-05,1:03:51,0:20:14,0:06:01,0:06:32,0:15:02,0:15:36,2:16:14,896,234,15
Intensive Care Unit,PGY2+,S0169394,2015-12-06,1:13:59,0:30:27,0:08:42,0:09:55,0:07:37,0:37:16,2:59:34,853,29,10
Intensive Care Unit,PGY2+,S0169394,2015-12-07,2:00:29,0:36:43,0:08:39,0:25:22,0:21:47,0:54:43,4:46:26,1338,198,13
General Medicine,PGY1,S0173803,2016-05-18,2:29:31,1:03:47,0:00:09,1:00:44,0:25:04,0:15:51,5:53:29,2036,119,16
General Medicine,PGY1,S0173803,2016-05-19,1:48:41,1:05:57,0:03:25,0:36:20,0:16:08,0:09:05,4:51:31,1873,56,19
Intensive Care Unit,PGY2+,S0094959,2015-09-09,2:34:11,1:10:27,0:02:42,0:10:23,0:22:40,0:45:50,5:26:07,2301,130,30
General Medicine,PGY1,S0173803,2016-05-10,1:20:35,1:17:14,0:00:19,0:17:39,0:10:54,0:08:02,3:55:57,1183,55,11
General Medicine,PGY1,S0173803,2016-05-11,2:21:46,0:50:03,0:00:06,0:29:35,0:10:36,0:02:41,4:30:00,1374,52,20
General Medicine,PGY1,S0173803,2016-05-12,1:20:35,0:19:20,0:00:45,0:18:01,0:05:40,0:02:55,2:27:18,788,24,9
General Medicine,PGY1,S0173803,2016-05-13,2:28:06,0:50:48,0:00:04,1:01:50,0:24:53,0:03:54,5:35:48,2072,87,12
General Medicine,PGY1,S0173803,2016-05-14,0:01:49,0:00:06,0:00:00,0:01:32,0:00:00,0:02:48,0:06:52,72,44,11
General Medicine,PGY1,S0173803,2016-05-15,1:25:08,0:50:52,0:00:13,0:33:53,0:13:36,0:02:23,3:41:00,1476,8,12
General Medicine,PGY1,S0173803,2016-05-16,2:10:26,0:47:57,0:00:11,0:24:40,0:15:56,0:02:49,4:34:58,1572,52,18
General Medicine,PGY1,S0173803,2016-05-17,0:00:00,0:00:00,0:00:00,0:00:27,0:00:00,0:00:00,0:00:27,10,0,4
General Medicine,PGY1,S0181082,2016-04-22,2:47:48,1:39:46,0:00:38,0:57:01,0:16:32,0:09:03,7:02:23,2967,8,17
General Medicine,PGY1,S0181082,2016-04-23,0:00:00,0:00:00,0:00:00,0:00:08,0:00:00,0:00:00,0:00:08,8,0,4
General Medicine,PGY1,S0181083,2015-07-18,0:00:00,0:00:00,0:00:00,0:02:01,0:00:00,0:00:00,0:02:01,16,0,3
General Medicine,PGY1,S0181082,2016-04-21,2:20:22,0:50:18,0:00:09,0:52:55,0:16:57,0:04:24,4:43:25,1762,0,12
