iter	Passed	Remaining
0	265	530680
1	440	439769
2	558	371980
3	752	375340
4	819	326820
5	876	291152
6	926	263768
7	965	240521
8	1013	224272
9	1075	214054
10	1131	204542
11	1185	196362
12	1268	193923
13	1416	200934
14	1507	199528
15	1611	199766
16	1710	199543
17	1809	199281
18	1875	195520
19	1977	195751
20	2058	194016
21	2124	191008
22	2199	189093
23	2293	188859
24	2359	186425
25	2425	184152
26	2499	182635
27	2579	181676
28	2657	180621
29	2704	177576
30	2751	174784
31	2799	172156
32	2840	169331
33	2877	166391
34	2920	163982
35	2959	161479
36	2998	159057
37	3043	157152
38	3079	154835
39	3111	152458
40	3144	150246
41	3173	147960
42	3207	145968
43	3240	144067
44	3279	142465
45	3318	140962
46	3356	139492
47	3393	138021
48	3432	136659
49	3467	135245
50	3511	134213
51	3553	133119
52	3593	132009
53	3635	131025
54	3677	130042
55	3716	129030
56	3753	127954
57	3792	126994
58	3831	126044
59	3870	125132
60	3907	124221
61	3948	123411
62	3985	122526
63	4021	121635
64	4064	120996
65	4108	120399
66	4146	119623
67	4184	118902
68	4217	118038
69	4258	117401
70	4302	116898
71	4346	116376
72	4389	115870
73	4434	115414
74	4503	115589
75	4556	115362
76	4611	115173
77	4662	114888
78	4708	114501
79	4748	113972
80	4792	113552
81	4834	113074
82	4869	112468
83	4916	112137
84	4960	111753
85	5018	111680
86	5130	112803
87	5192	112814
88	5243	112586
89	5294	112351
90	5348	112196
91	5403	112065
92	5482	112418
93	5537	112290
94	5592	112138
95	5654	112138
96	5705	111924
97	5751	111621
98	5802	111411
99	5875	111633
100	5963	112127
101	6113	113751
102	6195	114106
103	6284	114566
104	6348	114579
105	6401	114384
106	6550	115882
107	6730	117906
108	6901	119727
109	6989	120098
110	7022	119509
111	7064	119090
112	7101	118589
113	7133	118021
114	7165	117444
115	7198	116914
116	7236	116467
117	7279	116101
118	7319	115691
119	7361	115332
120	7414	115142
121	7461	114855
122	7499	114445
123	7535	114000
124	7570	113562
125	7611	113203
126	7647	112786
127	7683	112373
128	7713	111882
129	7747	111450
130	7817	111537
131	7852	111120
132	7890	110757
133	7926	110384
134	7965	110035
135	7999	109644
136	8035	109271
137	8062	108788
138	8095	108383
139	8125	107955
140	8153	107496
141	8182	107068
142	8210	106628
143	8243	106255
144	8277	105892
145	8305	105466
146	8329	104998
147	8358	104589
148	8385	104170
149	8414	103779
150	8446	103425
151	8479	103090
152	8511	102748
153	8544	102427
154	8580	102139
155	8618	101880
156	8661	101670
157	8703	101469
158	8742	101231
159	8776	100935
160	8808	100609
161	8840	100303
162	8874	100012
163	8901	99653
164	8930	99313
165	8962	99022
166	8979	98557
167	9013	98286
168	9044	97995
169	9077	97711
170	9105	97390
171	9132	97058
172	9163	96772
173	9189	96439
174	9220	96153
175	9250	95873
176	9284	95624
177	9315	95356
178	9345	95071
179	9390	94947
180	9442	94898
181	9484	94742
182	9541	94734
183	9597	94718
184	9647	94647
185	9691	94517
186	9727	94314
187	9774	94208
188	9814	94038
189	9856	93893
190	9900	93767
191	9939	93593
192	9985	93488
193	10026	93338
194	10066	93178
195	10103	92990
196	10137	92782
197	10173	92590
198	10210	92404
199	10252	92269
200	10285	92055
201	10322	91884
202	10357	91687
203	10392	91491
204	10440	91415
205	10478	91256
206	10531	91226
207	10576	91124
208	10630	91097
209	10689	91116
210	10729	90970
211	10789	90998
212	10831	90874
213	10865	90677
214	10894	90448
215	10929	90273
216	10968	90127
217	11005	89961
218	11038	89772
219	11070	89573
220	11102	89375
221	11138	89204
222	11176	89061
223	11233	89062
224	11269	88902
225	11301	88712
226	11334	88526
227	11362	88310
228	11392	88106
229	11426	87931
230	11454	87718
231	11488	87546
232	11529	87439
233	11566	87294
234	11596	87095
235	11627	86907
236	11658	86728
237	11688	86532
238	11717	86337
239	11745	86130
240	11772	85923
241	11806	85771
242	11836	85582
243	11867	85406
244	11900	85247
245	11937	85118
246	11970	84954
247	11999	84771
248	12031	84605
249	12060	84424
250	12093	84270
251	12126	84115
252	12158	83959
253	12188	83787
254	12225	83658
255	12256	83500
256	12289	83351
257	12319	83179
258	12352	83036
259	12382	82867
260	12413	82707
261	12445	82559
262	12473	82379
263	12503	82222
264	12531	82044
265	12562	81890
266	12589	81713
267	12617	81540
268	12645	81375
269	12672	81194
270	12698	81014
271	12724	80837
272	12753	80677
273	12783	80524
274	12811	80360
275	12838	80193
276	12865	80026
277	12891	79855
278	12920	79700
279	12950	79550
280	12979	79402
281	13010	79263
282	13041	79126
283	13069	78967
284	13099	78825
285	13126	78665
286	13154	78517
287	13182	78364
288	13212	78221
289	13240	78071
290	13268	77921
291	13295	77769
292	13328	77650
293	13355	77497
294	13385	77361
295	13412	77214
296	13445	77096
297	13476	76967
298	13507	76844
299	13541	76732
300	13569	76594
301	13608	76513
302	13635	76368
303	13664	76235
304	13693	76100
305	13720	75955
306	13751	75837
307	13784	75726
308	13819	75628
309	13853	75523
310	13887	75419
311	13919	75307
312	13954	75212
313	13989	75118
314	14019	74995
315	14052	74887
316	14084	74776
317	14115	74658
318	14147	74551
319	14177	74432
320	14210	74330
321	14241	74216
322	14274	74112
323	14307	74008
324	14339	73901
325	14372	73801
326	14403	73692
327	14434	73582
328	14466	73474
329	14496	73361
330	14528	73255
331	14560	73152
332	14589	73035
333	14617	72914
334	14644	72786
335	14673	72670
336	14701	72547
337	14733	72447
338	14760	72322
339	14791	72218
340	14822	72111
341	14850	71996
342	14879	71881
343	14908	71769
344	14937	71657
345	14967	71550
346	14995	71436
347	15026	71330
348	15053	71214
349	15079	71090
350	15106	70970
351	15134	70858
352	15163	70746
353	15212	70733
354	15254	70688
355	15295	70634
356	15327	70540
357	15355	70431
358	15392	70357
359	15435	70316
360	15464	70212
361	15499	70131
362	15536	70064
363	15569	69975
364	15605	69901
365	15635	69805
366	15662	69691
367	15685	69561
368	15713	69453
369	15742	69353
370	15769	69242
371	15796	69129
372	15818	68999
373	15849	68905
374	15877	68800
375	15906	68703
376	15943	68636
377	15979	68568
378	16011	68481
379	16042	68389
380	16066	68272
381	16094	68169
382	16120	68057
383	16149	67964
384	16179	67868
385	16208	67774
386	16237	67678
387	16267	67586
