Name,Description
RXCUI35302,Sirolimus
LAB11069R,ALDOLASE
RXCUI6057,Isosorbide
IMGIRABSDRNFG,IR ABSCESS DRAINAGE FLUORO GUIDED
RXCUI10865,Tromethamine
RXCUI3251,Desmopressin
RXCUI233698,Dronedarone
LABCKITMU,DETECTION OF C-KIT MUTATIONS
LABAPHSA2,ANTI PHOSPHOLIPID AB PANEL
IMGDXHA3RT,XR HAND 3V RT
RXCUI4850,Glucose
LEG7,LEGAL STATUS: VOLUNTARY
RXCUI4678,Ganciclovir
LABQFTB,QUANTIFERON TEST FOR LATENT TB
RXCUI358255,Aprepitant
IMGDXEL3LT,XR ELBOW 3V LT
RXCUI8134,Phenobarbital
RXCUI29899,Methylnaltrexone
RXCUI88249,Montelukast
LABURCL,"CHLORIDE, URINE"
LAB11118R,"ELASTASE, STOOL"
RXCUI6579,Magnesium Chloride
IMGFLSB,XR SMALL BOWEL SERIES
LAB11023R,EB NUCLEAR AG AB
"RXCUI426,1091,1908,21032,21579,4278,4850,4919,5340,6033,6308,6536,6585,29261,6837,89905,8156,54987,8737,9671,56443,9863,236719,235496,10524,10898,10962,11115,8308,39937","Alanine-Arginine-Calcium Gluconate-Chromous Chloride-Copper Sulfate-Famotidine-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Manganese Chloride-Methionine-Multivitamin Preparation-Phenylalanine-Potassium Acetate-Proline-Serine-Sodium Acetate-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Vitamin K 1-Zinc Chloride"
LABAGALA,ASPERGILLUS GALACTOMANNAN
RXCUI723,Amoxicillin
RXCUI6902,Methylprednisolone
IMGDXHIP2LT,XR HIP 2V LT
SLP8,SLP PASSY MUIR VALVE ONGOING
LABABIDI,AB ID
RXCUI7812,Oxymetazoline
