base_name	description	display_name	count
LAB10545R	HLA - CD31 TESTING SUMMARY	HLA - CD31 Testing Summary	6
LAB11000R	CEA, PANCREATIC CYST	CEA, Pancreatic Cyst	44
LAB11000R	CEA, PANCREATIC CYST		20
LAB11004R	HYPERSENS. PNEUMONITIS PNL		4
LAB11013R	PLATELET ANTIBODY ID PANEL	Platelet Antibody ID Panel	327
LAB11013R	PLATELET ANTIBODY ID PANEL		30
LAB11017R	BRUCELLA AB SCREEN		4
LAB11019R	MYELIN BASIC PROTEIN, CSF	Myelin Basic Protein, CSF	111
LAB11019R	MYELIN BASIC PROTEIN, CSF		62
LAB11019R	MYELIN BASIC PROTEIN, CSF	Myelin basic protein, CSF	42
LAB11020R	EB VIRUS EARLY AG (R+D) IGG		474
LAB11020R	EB VIRUS EARLY AG (R+D) IGG	EB Virus Early Ag (R+D) IgG	6
LAB11020R	EB VIRUS EARLY AG (R+D) IGG	EB VIRUS EARLY AG (R+D) IGG	1
LAB11021R	ADRENAL AB	ADRENAL AB	31
LAB11021R	ADRENAL AB		2
LAB11022R	ISLET CELL AB	ISLET CELL AB	4
LAB11023R	EB NUCLEAR AG AB		478
LAB11023R	EB NUCLEAR AG AB	EB Nuclear Ag Ab	11
LAB11024R	EB VIRAL CAPSID AG IGM AB		477
LAB11024R	EB VIRAL CAPSID AG IGM AB	EB Viral Capsid Ag IgM Ab	4
LAB11025R	C1 INHIBITOR, QUANT	C1 INHIBITOR, QUANT	73
LAB11026R	C1 INHIBITOR, FUNCT	C1 INHIBITOR, FUNCT	34
LAB11027R	IMMUNE COMPLEXES	IMMUNE COMPLEXES	94
LAB11027R	IMMUNE COMPLEXES		4
LAB11028R	ACE, CSF	ACE, CSF	219
LAB11028R	ACE, CSF		50
LAB11028R	ANGIOTENSIN CONVERTING ENZYME, CSF		1
LAB11029R	CADMIUM	CADMIUM	2
LAB11030R	EB VIRAL CAPSID AG IGG AB		475
LAB11030R	EB VIRAL CAPSID AG IGG AB	EB Viral Capsid Ag IgG Ab	5
LAB11031R	HER 2	HER 2	1
LAB11032R	PSEUDOCHOLINESTERASE	PSEUDOCHOLINESTERASE	10
LAB11034R	ETHOSUXIMIDE LEVEL	Ethosuximide, Serum	2
LAB11034R	ETHOSUXIMIDE LEVEL	ETHOSUXIMIDE LEVEL	1
LAB11036R	FIBRINOGEN, QUANT	FIBRINOGEN, QUANT	259
LAB11036R	FIBRINOGEN, QUANT		76
LAB11036R	FIBRINOGEN, QUANT	Fibrinogen, Quant	49
LAB11037R	FLECAINIDE LEVEL	FLECAINIDE LEVEL	32
LAB11037R	FLECAINIDE LEVEL		2
LAB11039R	GBM AB	GBM AB	200
LAB11039R	GBM AB		8
LAB11040R	HEPARIN COFACTOR	HEPARIN COFACTOR	20
LAB11041R	FREE HEMOGLOBIN	FREE HEMOGLOBIN	1436
LAB11041R	FREE HEMOGLOBIN		118
LAB11041R	FREE HEMOGLOBIN	Free Hemoglobin	60
LAB11041R	FREE HEMOGLOBIN	Hemoglobin Serum	16
LAB11041R	HEMOGLOBIN, SERUM	Hemoglobin, Serum	2
LAB11042R	HISTAMINE LEVEL	HISTAMINE LEVEL	40
LAB11042R	HISTAMINE LEVEL		8
LAB11043R	IGD	IGD	30
LAB11044R	IL6	IL6	38
LAB11044R	IL6		2
LAB11045R	LKM AB	LKM AB	169
LAB11045R	LKM AB		4
LAB11048R	NEURON AB	NEURON AB	6
LAB11048R	NEURON AB	Neuronal Cell Ab, Serum	1
LAB11049R	NSE	NSE	719
LAB11049R	NSE	Neuron Spec Enolase	439
LAB11049R	NSE		72
LAB11049R	NEURON SPEC ENOLASE	Neuron Spec Enolase	9
LAB11049R	NEURON SPEC ENOLASE		3
LAB11051R	OLANZAPINE LEVEL	OLANZAPINE LEVEL	14
LAB11051R	OLANZAPINE LEVEL		2
LAB11053R	PBG DEAMINASE, RBC	PBG DEAMINASE, RBC	16
LAB11053R	PBG DEAMINASE, RBC		2
LAB11054R	PM1 AB	PM1 AB	24
LAB11054R	PM1 AB		8
LAB11055R	PROPAFENONE LEVEL	PROPAFENONE LEVEL	7
LAB11056R	FREE CORTISOL	FREE CORTISOL	240
LAB11056R	FREE CORTISOL	Cortisol Free, Serum	114
LAB11056R	FREE CORTISOL		22
LAB11056R	CORTISOL FREE, SERUM	Cortisol Free, Serum	7
LAB11057R	TNF	TNF	10
LAB11058R	TRAZODONE LEVEL	TRAZODONE LEVEL	12
LAB11058R	TRAZODONE LEVEL		2
LAB11060R	THIAMINE	THIAMINE	1220
LAB11060R	THIAMINE		80
LAB11060R	VITAMIN B1, PLASMA	Vitamin B1, Plasma	3
LAB11060R	THIAMINE	Vitamin B1, Plasma	2
LAB11060R	THIAMINE	Vitamin B1, Plasma (LABVITB1P)	1
LAB11060R	VITAMIN B1, PLASMA	Vitamin B1, Plasma (LABVITB1P)	1
LAB11067R	17OH PROG	17OH PROG	28
LAB11068R	ACE	ACE	685
LAB11068R	ACE	Angiotensin converting enzyme	64
LAB11068R	ACE		34
LAB11068R	ACE	Angiotensin Converting Enzyme	8
LAB11068R	ANGIOTENSIN CONVERTING ENZYME, SERUM	Angiotensin Converting Enzyme, Serum	3
LAB11068R	ACE	Angiotensin Converting Enzyme, Serum	2
LAB11069R	ALDOLASE	ALDOLASE	594
LAB11069R	ALDOLASE		26
LAB11070R	ALDOSTERONE	Aldosterone, Serum	222
LAB11070R	ALDOSTERONE	ALDOSTERONE	198
LAB11070R	ALDOSTERONE		34
LAB11071R	MITOCHONDRIAL AB	MITOCHONDRIAL AB	907
LAB11071R	MITOCHONDRIAL AB	Mitochondrial AB M2, Serum	38
LAB11071R	MITOCHONDRIAL AB		34
LAB11071R	MITOCHONDRIAL AB M2, SERUM	Mitochondrial Ab M2, Serum	2
LAB11071R	MITOCHONDRIAL AB M2, SERUM	Mitochondrial AB M2, Serum	1
LAB11072R	APO A1	APO A1	10
LAB11073R	APO B	APO B	8
LAB11074R	ACH RECEPTOR AB	ACH RECEPTOR AB	6
LAB11074R	ACH RECEPTOR AB		2
