base_name	Window Size	Prior Consecutive Normal	Total Count	Normal Count
LABPOCGLU	1	NULL	1139434	104707
LABPOCGLU	2	NULL	1139434	104707
LABPOCGLU	4	NULL	1139434	104707
LABPOCGLU	30	NULL	1139434	104707
LABPOCGLU	90	NULL	1139434	104707
LABPOCGLU	7	NULL	1139434	104707
LABMETB	1	NULL	454479	18881
LABMETB	2	NULL	454479	18881
LABMETB	4	NULL	454479	18881
LABMETB	30	NULL	454479	18881
LABMETB	90	NULL	454479	18881
LABMETB	7	NULL	454479	18881
LABCBCD	1	NULL	446825	9685
LABCBCD	2	NULL	446825	9685
LABCBCD	4	NULL	446825	9685
LABCBCD	30	NULL	446825	9685
LABCBCD	90	NULL	446825	9685
LABCBCD	7	NULL	446825	9685
LABMGN	1	NULL	389911	282201
LABMGN	2	NULL	389911	282201
LABMGN	4	NULL	389911	282201
LABMGN	30	NULL	389911	282201
LABMGN	90	NULL	389911	282201
LABMGN	7	NULL	389911	282201
LABPT	1	NULL	285199	51065
LABPT	2	NULL	285199	51065
LABPT	4	NULL	285199	51065
LABPT	30	NULL	285199	51065
LABPT	90	NULL	285199	51065
LABPT	7	NULL	285199	51065
LABMETC	1	NULL	257247	3793
LABMETC	2	NULL	257247	3793
LABMETC	4	NULL	257247	3793
LABMETC	30	NULL	257247	3793
LABMETC	90	NULL	257247	3793
LABMETC	7	NULL	257247	3793
LABCBCO	1	NULL	238570	7172
LABCBCO	2	NULL	238570	7172
LABCBCO	4	NULL	238570	7172
LABCBCO	30	NULL	238570	7172
LABCBCO	90	NULL	238570	7172
LABCBCO	7	NULL	238570	7172
LABCBCD	1	0	232953	6901
LABPHOS	1	NULL	199539	130494
LABPHOS	2	NULL	199539	130494
LABPHOS	4	NULL	199539	130494
LABPHOS	30	NULL	199539	130494
LABPHOS	90	NULL	199539	130494
LABPHOS	7	NULL	199539	130494
LABMETB	1	0	199532	11167
LABPTT	1	NULL	196971	83579
LABPTT	2	NULL	196971	83579
LABPTT	4	NULL	196971	83579
LABPTT	30	NULL	196971	83579
LABPTT	90	NULL	196971	83579
LABPTT	7	NULL	196971	83579
LABPCG3	1	NULL	191184	9290
LABPCG3	2	NULL	191184	9290
LABPCG3	4	NULL	191184	9290
LABPCG3	30	NULL	191184	9290
LABPCG3	90	NULL	191184	9290
LABPCG3	7	NULL	191184	9290
LABCAI	1	NULL	163328	75559
LABCAI	2	NULL	163328	75559
LABCAI	4	NULL	163328	75559
LABCAI	30	NULL	163328	75559
LABCAI	90	NULL	163328	75559
LABCAI	7	NULL	163328	75559
LABMGN	1	0	162015	109779
LABMETC	1	0	143738	3155
LABPT	1	0	140543	34873
LABCBCO	1	0	117119	5155
LABMGN	1	1	113371	95385
LABCBCD	2	0	109337	5169
LABMGN	2	1	104146	84365
LABMETB	2	0	97342	5312
LABCBCD	4	0	93797	4912
LABPHOS	1	0	91565	61849
LABPTT	1	0	89100	48678
LABCBCD	7	0	88896	4778
LABMETB	4	0	87227	4588
LABMETB	7	0	83192	4329
LABCBCD	30	0	77749	4486
LABPT	2	0	77132	26133
LABMETB	30	0	75484	3931
LABMETC	2	0	74545	2799
LABTNI	1	NULL	73778	52197
LABTNI	2	NULL	73778	52197
LABTNI	4	NULL	73778	52197
LABTNI	30	NULL	73778	52197
LABTNI	90	NULL	73778	52197
LABTNI	7	NULL	73778	52197
LABMGN	2	0	71052	43133
LABCBCD	90	0	70324	4264
LABCBCO	2	0	69848	3954
LABPT	4	0	69842	24415
LABMETB	90	0	69652	3637
LABPOCGLU	90	1	69599	18226
LABPOCGLU	30	1	69384	18188
LABMETC	4	0	69207	2723
LABPOCGLU	7	1	69132	18146
LABPOCGLU	4	1	68994	18131
LABPOCGLU	2	1	68840	18109
LABLAC	1	NULL	68691	50614
LABLAC	2	NULL	68691	50614
