clinical_item_category_id	source_table	description	external_id	clinical_item_id	name	description	item_count	patient_count
4	stride_order_proc	Nursing	472897	45755	NUR1018	MONITOR INTAKE AND OUTPUT	13536	8435
72	stride_order_med	Med (Intravenous)	9863	44198	RXCUI9863	Sodium Chloride (Intravenous)	28321	8401
4	stride_order_proc	Nursing	508587	45849	NUR301	SEQUENTIAL COMPRESSION DEVICE (SCD)	14462	8336
6	stride_order_proc	Lab	472837	45763	LABMETB	METABOLIC PANEL, BASIC	27200	8252
6	stride_order_proc	Lab	471944	45788	LABCBCD	CBC WITH DIFF	23093	7664
4	stride_order_proc	Nursing	4.73E+05	45750	NUR1043	NURSING PULSE OXIMETRY	13512	7544
4	stride_order_proc	Nursing	489387	61823	NUR1613	PERIPHERAL IV INSERTION CARE	12439	7394
6	stride_order_proc	Lab	471943	45793	LABCBCO	CBC	20118	6797
73	stride_order_med	Med (Oral)	82003	44205	RXCUI82003	Docusate (Oral)	13143	6468
6	stride_order_proc	Lab	472838	45771	LABMETC	METABOLIC PANEL, COMPREHENSIVE	16933	6391
4	stride_order_proc	Nursing	472898	45781	NUR1019	INCENTIVE SPIROMETER (WHILE AWAKE)	8638	6174
14	stride_order_proc	REHAB	473186	45776	PT4	PT EVALUATE AND TREAT	12748	6111
6	stride_order_proc	Lab	473178	45759	LABPT	PROTHROMBIN TIME	19314	5915
17	stride_order_proc	ECG	472256	45866	EKG5	ECG 12-LEAD	15464	5820
4	stride_order_proc	Nursing	472966	48515	NUR1060	EARLY AMBULATION	7812	5774
6	stride_order_proc	Lab	472785	45806	LABMGN	MAGNESIUM, SERUM/PLASMA	18878	5731
14	stride_order_proc	REHAB	473044	45787	OT1	OT EVALUATE AND TREAT	10499	5477
4	stride_order_proc	Nursing	871568	61824	NUR30024	DISCHARGE PATIENT WHEN CRITERIA MET	6686	5420
4	stride_order_proc	Nursing	539845	61974	NUR30022	ADMIT TO PHASE	6611	5390
9	stride_order_proc	Diet	472172	45811	DIET102	DIET NPO	10886	5276
4	stride_order_proc	Nursing	472903	45911	NUR1024	VITAL SIGNS PER PROTOCOL	6360	5250
4	stride_order_proc	Nursing	472977	45766	NUR1068	WEIGHT	8833	5162
4	stride_order_proc	Nursing	489147	61978	NUR1373	FOLEY RETENTION CATHETER	6401	4790
4	stride_order_proc	Nursing	572442	45900	NUR4030	OXYGEN: NASAL CANNULA(NURSING ONLY)	7232	4740
8	stride_order_proc	Imaging	473939	45818	IMGDXCH1	XR CHEST 1V	16557	4713
21	stride_order_proc	PT	508694	45758	PT6	PT ONGOING TREATMENT	5911	4468
6	stride_order_proc	Lab	473190	45770	LABPTT	PTT PARTIAL THROMBOPLASTIN TIME	12141	4312
6	stride_order_proc	Lab	473702	45945	LABTYPSNI	TYPE AND SCREEN	8660	4185
72	stride_order_med	Med (Intravenous)	3423	44319	RXCUI3423	Hydromorphone (Intravenous)	10392	4014
72	stride_order_med	Med (Intravenous)	2180	44255	RXCUI2180	Cefazolin (Intravenous)	6634	3976
73	stride_order_med	Med (Oral)	40790	44236	RXCUI40790	Pantoprazole (Oral)	6770	3963
6	stride_order_proc	Lab	633173	45823	LABARVI	BLOOD TYPE VERIFICATION	4334	3899
15	stride_order_proc	Microbiology	473204	45792	LABROMRS	MRSA SCREEN	9786	3876
