item_collection_id	collection_type_id	value	comment	clinical_item_id
1000003	1	2		49251
1000003	3	1		49251
1000003	1	2	Pericarditis imaging	61832
1000003	3	1	Pericarditis imaging	61832
1000003	1	2	Aortic imaging	45963
1000003	3	1	Aortic imaging	45963
1000003	1	2		62083
1000003	3	2		62083
1000003	1	2		45866
1000003	3	1		45866
1000003	1	2		62037
1000003	3	1		62037
1000003	1	2		48522
1000003	3	1		48522
1000003	1	2		48676
1000003	3	1		48676
1000003	1	2		45762
1000003	3	1		45762
1000003	1	2	CT calcium scoring specifically, may not be offered here	48698
1000003	3	1	CT calcium scoring specifically, may not be offered here	48698
1000003	1	2		45818
1000003	3	1		45818
1000003	1	2		45801
1000003	3	1		45801
1000003	1	2	Alternative diagnosis, PE workup	45760
1000003	3	1	Alternative diagnosis, PE workup	45760
1000003	1			45788
1000003	3	2		45788
1000003	1		Assess for exacerbating anemia	45793
1000003	3	2	Assess for exacerbating anemia	45793
1000003	1			45891
1000003	3	2		45891
1000003	1	3	Obsolete. Should not be used when have Troponin testing	45892
1000003	3	3	Do not use when have troponin testing	45892
1000003	1	2.5	Not for ACS diagnosis	45853
1000003	3	1	Not for ACS diagnosis	45853
1000003	1	2		46098
1000003	3	2		46098
1000003	1	2		45838
1000003	3	1		45838
1000003	1	2		45870
1000003	3	1		45870
1000003	1	2		45750
1000003	3	2		45750
1000003	1	2		46041
1000003	3	2		46041
1000003	1	2		45827
1000003	3	1		45827
1000003	1	2	Not routine	45900
1000003	3	1	Not routine	45900
1000003	1	2	Not routine	45864
1000003	3	1	Not routine	45864
1000003	1	2	Alternative diagnosis, PE workup	45955
1000003	3	2	Alternative diagnosis, PE workup	45955
1000003	1	2		46064
1000003	3	2		46064
1000003	1	2	Alternative diagnosis, PE workup	46185
1000003	3	2	Alternative diagnosis, PE workup	46185
1000003	1	2		45914
1000003	3	1		45914
1000003	1	2	Not routine	45921
1000003	3	1	Not routine	45921
1000003	1	2		44206
1000003	1	2		44315
1000003	3	1		44206
1000003	3	1		44315
1000003	1	2	Beware sildenafil, vardenafil, tadalafil	44256
1000003	1	2		44285
1000003	1	2		44241
1000003	3	1	Beware sildenafil, vardenafil, tadalafil	44256
1000003	3	1		44285
1000003	3	1		44241
1000003	1	2		44294
1000003	3	1		44294
1000004	1	1	Intermediate Risk	62083
1000004	3	1	Intermediate Risk	62083
1000004	1	1		45866
1000004	3	1		45866
1000004	1	1	High-risk patients	62037
1000004	3	1	High-risk patients	62037
1000004	1	2	Exclude other diagnoses	48522
1000004	3	1	Exclude other diagnoses	48522
1000004	1	2	Exclude other diagnoses	48676
1000004	3	1	Exclude other diagnoses	48676
1000004	1	2	Exclude other diagnoses	45762
1000004	3	1	Exclude other diagnoses	45762
1000004	1	1	Low risk CT calcium scoring specifically, may not be offered here	48698
1000004	3	1	Low risk CT calcium scoring specifically, may not be offered here	48698
