Type	Section	Name	Value	Name	Description	Comment
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2	LABCBCO	CBC	Part of risk assessment
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2	LABCBCD	CBC WITH DIFF	Part of risk assessment
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2	LABHCTX	HEMATOCRIT	Part of risk assessment
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2	LABMETB	METABOLIC PANEL, BASIC	Part of risk assessment
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2	LABMETC	METABOLIC PANEL, COMPREHENSIVE	Part of risk assessment
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2	RXCUI9863	Sodium Chloride (Intravenous)	Resucitation
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2.5	NUR1042	ORTHOSTATIC BLOOD PRESSURE	Part of hemodynamic assessment
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2.5	EKG5	ECG 12-LEAD	
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2.5	LABPCTNI	ISTAT TROPONIN I	
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2.5	POC24	POC ISTAT TROPONIN I	
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2.5	POC16	POC ISTAT,VENOUS BLOOD GASES AND LACTATE (CG4)	
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2.5	LABPCEC4V	ISTAT EC4, VENOUS	
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2.5	LABPCCG4V	ISTAT CG4,VENOUS	
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2.5	CON310	CONSULT TO MEDICINE	
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2.5	LABTNI	TROPONIN I	
Reference	GIBleed	NICE-AcuteGIBleedMgmt	2.5	LABLAC	LACTIC ACID	
Reference	GIBleed	NICE-AcuteGIBleedMgmt	1	MED520048	ERYTHROMYCIN IVPB (CUSTOM DOSE)	
Reference	GIBleed	NICE-AcuteGIBleedMgmt	1	NUR651	NASOGASTRIC TUBE	
