base_name,window,consecutive,total,normal
11210R,1,0.0,157,138
11210R,1,NULL,157,138
11210R,2,0.0,156,137
11210R,2,NULL,157,138
11210R,4,0.0,155,136
11210R,4,1.0,1,1
11210R,4,NULL,157,138
11210R,7,0.0,151,132
11210R,7,1.0,4,4
11210R,7,NULL,157,138
11210R,30,0.0,144,125
11210R,30,1.0,6,6
11210R,30,NULL,157,138
11210R,90,0.0,144,125
11210R,90,1.0,6,6
11210R,90,NULL,157,138
11211R,1,0.0,157,139
11211R,1,NULL,157,139
11211R,2,0.0,156,138
11211R,2,NULL,157,139
11211R,4,0.0,155,137
11211R,4,1.0,1,1
11211R,4,NULL,157,139
11211R,7,0.0,151,133
11211R,7,1.0,4,4
11211R,7,NULL,157,139
11211R,30,0.0,144,126
11211R,30,1.0,6,6
11211R,30,NULL,157,139
11211R,90,0.0,144,126
11211R,90,1.0,6,6
11211R,90,NULL,157,139
11212R,1,0.0,157,135
11212R,1,NULL,157,135
11212R,2,0.0,156,134
11212R,2,NULL,157,135
11212R,4,0.0,155,133
11212R,4,1.0,1,1
11212R,4,NULL,157,135
11212R,7,0.0,151,129
11212R,7,1.0,4,4
11212R,7,NULL,157,135
11212R,30,0.0,144,122
11212R,30,1.0,6,6
11212R,30,NULL,157,135
11212R,90,0.0,144,122
11212R,90,1.0,6,6
11212R,90,NULL,157,135
11213R,1,0.0,157,133
11213R,1,NULL,157,133
11213R,2,0.0,156,132
11213R,2,NULL,157,133
11213R,4,0.0,155,131
11213R,4,1.0,1,1
11213R,4,NULL,157,133
11213R,7,0.0,151,127
11213R,7,1.0,4,4
11213R,7,NULL,157,133
11213R,30,0.0,144,121
11213R,30,1.0,6,6
11213R,30,NULL,157,133
11213R,90,0.0,144,121
11213R,90,1.0,6,6
11213R,90,NULL,157,133
11218R,1,0.0,2,1
11218R,1,NULL,2,1
11218R,2,0.0,2,1
11218R,2,NULL,2,1
11218R,4,0.0,2,1
11218R,4,NULL,2,1
11218R,7,0.0,2,1
11218R,7,NULL,2,1
11218R,30,0.0,2,1
11218R,30,NULL,2,1
11218R,90,0.0,2,1
11218R,90,NULL,2,1
11715R,1,0.0,2,1
11715R,1,NULL,2,1
11715R,2,0.0,2,1
11715R,2,NULL,2,1
11715R,4,0.0,2,1
11715R,4,NULL,2,1
11715R,7,0.0,2,1
11715R,7,NULL,2,1
11715R,30,0.0,2,1
11715R,30,NULL,2,1
11715R,90,0.0,2,1
11715R,90,NULL,2,1
11760R,1,0.0,12,4
11760R,1,NULL,12,4
11760R,2,0.0,12,4
11760R,2,NULL,12,4
11760R,4,0.0,12,4
11760R,4,NULL,12,4
11760R,7,0.0,11,4
11760R,7,NULL,12,4
11760R,30,0.0,11,4
11760R,30,NULL,12,4
11760R,90,0.0,11,4
11760R,90,NULL,12,4
11761R,1,0.0,12,4
11761R,1,NULL,12,4
11761R,2,0.0,12,4
11761R,2,NULL,12,4
11761R,4,0.0,12,4
11761R,4,NULL,12,4
11761R,7,0.0,11,4
11761R,7,NULL,12,4
11761R,30,0.0,11,4
11761R,30,NULL,12,4
11761R,90,0.0,11,4
11761R,90,NULL,12,4
11762R,1,0.0,12,8
11762R,1,NULL,12,8
11762R,2,0.0,12,8
11762R,2,NULL,12,8
11762R,4,0.0,12,8
11762R,4,NULL,12,8
11762R,7,0.0,11,7
11762R,7,NULL,12,8
11762R,30,0.0,11,7
11762R,30,NULL,12,8
11762R,90,0.0,11,7
11762R,90,NULL,12,8
11780R,1,0.0,2,1
11780R,1,NULL,2,1
11780R,2,0.0,2,1
11780R,2,NULL,2,1
11780R,4,0.0,2,1
11780R,4,NULL,2,1
11780R,7,0.0,2,1
11780R,7,NULL,2,1
11780R,30,0.0,2,1
11780R,30,NULL,2,1
11780R,90,0.0,2,1
11780R,90,NULL,2,1
11896R,1,0.0,71,6
11896R,1,1.0,1,0
11896R,1,NULL,72,6
11896R,2,0.0,69,6
11896R,2,1.0,1,0
11896R,2,NULL,72,6
11896R,4,0.0,68,6
11896R,4,1.0,1,0
11896R,4,NULL,72,6
11896R,7,0.0,66,6
11896R,7,1.0,1,0
11896R,7,NULL,72,6
11896R,30,0.0,65,6
11896R,30,1.0,1,0
11896R,30,NULL,72,6
11896R,90,0.0,65,6
11896R,90,1.0,1,0
11896R,90,NULL,72,6
11983R,1,0.0,137,50
11983R,1,NULL,140,51
11983R,2,0.0,133,48
11983R,2,1.0,1,1
11983R,2,NULL,140,51
11983R,4,0.0,127,47
11983R,4,1.0,3,2
11983R,4,NULL,140,51
11983R,7,0.0,116,44
11983R,7,1.0,7,4
11983R,7,NULL,140,51
11983R,30,0.0,77,25
11983R,30,1.0,17,14
11983R,30,2.0,2,2
11983R,30,3.0,2,2
11983R,30,NULL,140,51
11983R,90,0.0,68,20
11983R,90,1.0,14,10
11983R,90,2.0,3,3
11983R,90,3.0,5,4
11983R,90,4.0,3,3
11983R,90,NULL,140,51
12048R,1,0.0,3,1
12048R,1,NULL,3,1
12048R,2,0.0,3,1
12048R,2,NULL,3,1
12048R,4,0.0,3,1
12048R,4,NULL,3,1
12048R,7,0.0,3,1
12048R,7,NULL,3,1
12048R,30,0.0,3,1
12048R,30,NULL,3,1
12048R,90,0.0,3,1
12048R,90,NULL,3,1
12049R,1,0.0,3,1
12049R,1,NULL,3,1
12049R,2,0.0,3,1
12049R,2,NULL,3,1
12049R,4,0.0,3,1
12049R,4,NULL,3,1
12049R,7,0.0,3,1
12049R,7,NULL,3,1
12049R,30,0.0,3,1
12049R,30,NULL,3,1
12049R,90,0.0,3,1
12049R,90,NULL,3,1
12078R,1,0.0,439,331
12078R,1,1.0,18,9
12078R,1,NULL,470,346
12078R,2,0.0,413,314
12078R,2,1.0,30,19
12078R,2,2.0,2,0
12078R,2,NULL,470,346
12078R,4,0.0,301,219
12078R,4,1.0,111,96
12078R,4,2.0,8,5
12078R,4,3.0,1,0
12078R,4,NULL,470,346
12078R,7,0.0,245,171
12078R,7,1.0,111,96
12078R,7,2.0,53,46
12078R,7,3.0,4,1
12078R,7,NULL,470,346
12078R,30,0.0,239,168
12078R,30,1.0,56,45
12078R,30,2.0,37,34
12078R,30,3.0,28,24
12078R,30,4.0,17,13
12078R,30,5.0,11,8
12078R,30,NULL,470,346
12078R,90,0.0,236,166
12078R,90,1.0,58,46
12078R,90,2.0,37,34
12078R,90,3.0,28,24
12078R,90,4.0,17,13
12078R,90,5.0,11,8
12078R,90,NULL,470,346
12105R,1,0.0,13,7
12105R,1,NULL,13,7
12105R,2,0.0,13,7
12105R,2,NULL,13,7
12105R,4,0.0,13,7
12105R,4,NULL,13,7
12105R,7,0.0,13,7
12105R,7,NULL,13,7
12105R,30,0.0,11,6
12105R,30,1.0,1,1
12105R,30,NULL,13,7
12105R,90,0.0,10,5
12105R,90,1.0,1,1
12105R,90,2.0,1,1
12105R,90,NULL,13,7
12200R,1,0.0,56,6
12200R,1,1.0,1,0
12200R,1,NULL,57,6
12200R,2,0.0,55,6
12200R,2,1.0,1,0
12200R,2,NULL,57,6
12200R,4,0.0,54,6
12200R,4,1.0,1,0
12200R,4,NULL,57,6
12200R,7,0.0,53,6
12200R,7,1.0,1,0
12200R,7,NULL,57,6
12200R,30,0.0,52,6
12200R,30,1.0,1,0
12200R,30,NULL,57,6
12200R,90,0.0,52,6
12200R,90,1.0,1,0
12200R,90,NULL,57,6
12202R,1,0.0,56,25
12202R,1,NULL,57,25
12202R,2,0.0,55,24
12202R,2,NULL,57,25
12202R,4,0.0,54,24
12202R,4,NULL,57,25
12202R,7,0.0,53,23
12202R,7,NULL,57,25
12202R,30,0.0,52,22
12202R,30,NULL,57,25
12202R,90,0.0,52,22
12202R,90,NULL,57,25
12203R,1,0.0,56,31
12203R,1,NULL,57,31
12203R,2,0.0,55,30
12203R,2,NULL,57,31
12203R,4,0.0,54,30
12203R,4,NULL,57,31
12203R,7,0.0,53,29
12203R,7,NULL,57,31
12203R,30,0.0,52,29
12203R,30,NULL,57,31
12203R,90,0.0,52,29
12203R,90,NULL,57,31
12239R,1,0.0,101,87
12239R,1,1.0,1,1
12239R,1,NULL,102,88
12239R,2,0.0,99,85
12239R,2,1.0,3,3
12239R,2,NULL,102,88
12239R,4,0.0,99,85
12239R,4,1.0,1,1
