base_name,window,consecutive,total,normal
LAB11019R,1,0,47,14
LAB11019R,1,1,1,1
LAB11019R,2,0,47,14
LAB11019R,2,1,1,1
LAB11019R,4,0,46,14
LAB11019R,4,1,2,1
LAB11019R,7,0,46,14
LAB11019R,7,1,2,1
LAB11019R,30,0,46,14
LAB11019R,30,1,2,1
LAB11019R,90,0,46,14
LAB11019R,90,1,2,1
LAB11023R,1,0,222,220
LAB11023R,1,1,4,4
LAB11023R,2,0,221,219
LAB11023R,2,1,5,5
LAB11023R,4,0,220,218
LAB11023R,4,1,6,6
LAB11023R,7,0,219,217
LAB11023R,7,1,7,7
LAB11023R,30,0,218,216
LAB11023R,30,1,8,8
LAB11023R,90,0,216,214
LAB11023R,90,1,10,10
LAB11025R,1,0,27,21
LAB11025R,1,1,1,1
LAB11025R,2,0,27,21
LAB11025R,2,1,1,1
LAB11025R,4,0,27,21
LAB11025R,4,1,1,1
LAB11025R,7,0,27,21
LAB11025R,7,1,1,1
LAB11025R,30,0,27,21
LAB11025R,30,1,1,1
LAB11025R,90,0,27,21
LAB11025R,90,1,1,1
LAB11027R,1,0,37,25
LAB11027R,1,1,2,1
LAB11027R,2,0,37,25
LAB11027R,2,1,2,1
LAB11027R,4,0,36,24
LAB11027R,4,1,3,2
LAB11027R,7,0,36,24
LAB11027R,7,1,3,2
LAB11027R,30,0,36,24
LAB11027R,30,1,3,2
LAB11027R,90,0,36,24
LAB11027R,90,1,3,2
LAB11028R,1,0,69,62
LAB11028R,1,1,1,1
LAB11028R,2,0,69,62
LAB11028R,2,1,1,1
LAB11028R,4,0,68,61
LAB11028R,4,1,2,2
LAB11028R,7,0,68,61
LAB11028R,7,1,2,2
LAB11028R,30,0,67,60
LAB11028R,30,1,3,3
LAB11028R,90,0,65,59
LAB11028R,90,1,4,4
LAB11028R,90,2,1,0
LAB11032R,1,0,4,1
LAB11032R,2,0,4,1
LAB11032R,4,0,4,1
LAB11032R,7,0,4,1
LAB11032R,30,0,4,1
LAB11032R,90,0,4,1
LAB11036R,1,0,128,70
LAB11036R,1,1,20,15
LAB11036R,1,2,3,3
LAB11036R,1,3,2,2
LAB11036R,2,0,109,57
LAB11036R,2,1,29,21
LAB11036R,2,2,10,8
LAB11036R,2,3,3,3
LAB11036R,2,4,2,1
LAB11036R,4,0,101,53
LAB11036R,4,1,24,15
LAB11036R,4,2,11,9
LAB11036R,4,3,13,11
LAB11036R,4,4,3,2
LAB11036R,4,5,1,0
LAB11036R,7,0,99,52
LAB11036R,7,1,23,13
LAB11036R,7,2,10,8
LAB11036R,7,3,7,7
LAB11036R,7,4,6,4
LAB11036R,7,5,8,6
LAB11036R,30,0,98,52
LAB11036R,30,1,24,13
LAB11036R,30,2,10,8
LAB11036R,30,3,7,7
LAB11036R,30,4,6,4
LAB11036R,30,5,8,6
LAB11036R,90,0,98,52
LAB11036R,90,1,24,13
LAB11036R,90,2,10,8
LAB11036R,90,3,7,7
LAB11036R,90,4,6,4
LAB11036R,90,5,8,6
LAB11037R,1,0,15,10
LAB11037R,1,1,1,0
LAB11037R,2,0,15,10
LAB11037R,2,1,1,0
LAB11037R,4,0,14,10
LAB11037R,4,1,2,0
LAB11037R,7,0,14,10
LAB11037R,7,1,2,0
LAB11037R,30,0,13,9
LAB11037R,30,1,3,1
LAB11037R,90,0,11,7
LAB11037R,90,1,4,2
LAB11037R,90,2,1,1
LAB11041R,1,0,841,650
LAB11041R,1,1,45,37
LAB11041R,1,2,7,6
LAB11041R,1,3,5,4
LAB11041R,1,4,1,1
LAB11041R,1,5,3,3
LAB11041R,2,0,803,623
LAB11041R,2,1,73,58
LAB11041R,2,2,15,10
LAB11041R,2,3,5,4
LAB11041R,2,4,1,1
LAB11041R,2,5,5,5
LAB11041R,4,0,560,417
LAB11041R,4,1,300,251
LAB11041R,4,2,24,20
LAB11041R,4,3,12,7
LAB11041R,4,4,1,1
LAB11041R,4,5,5,5
LAB11041R,7,0,418,301
LAB11041R,7,1,304,246
LAB11041R,7,2,148,128
LAB11041R,7,3,19,15
LAB11041R,7,4,8,6
LAB11041R,7,5,5,5
LAB11041R,30,0,383,271
LAB11041R,30,1,156,122
LAB11041R,30,2,100,81
LAB11041R,30,3,72,60
LAB11041R,30,4,64,54
LAB11041R,30,5,127,113
LAB11041R,90,0,379,267
LAB11041R,90,1,153,119
LAB11041R,90,2,99,80
LAB11041R,90,3,69,57
LAB11041R,90,4,47,40
LAB11041R,90,5,155,138
LAB11042R,1,0,21,7
LAB11042R,2,0,21,7
LAB11042R,4,0,21,7
LAB11042R,7,0,21,7
LAB11042R,30,0,21,7
LAB11042R,90,0,21,7
LAB11043R,1,0,12,9
LAB11043R,2,0,12,9
LAB11043R,4,0,12,9
LAB11043R,7,0,12,9
LAB11043R,30,0,12,9
LAB11043R,90,0,12,9
LAB11044R,1,0,15,7
LAB11044R,2,0,15,7
LAB11044R,4,0,15,7
LAB11044R,7,0,15,7
LAB11044R,30,0,14,7
LAB11044R,30,1,1,0
LAB11044R,90,0,14,7
LAB11044R,90,1,1,0
LAB11049R,1,0,450,99
LAB11049R,1,1,40,21
LAB11049R,1,2,11,7
LAB11049R,2,0,442,96
LAB11049R,2,1,44,22
LAB11049R,2,2,13,8
LAB11049R,2,3,2,1
LAB11049R,4,0,422,89
LAB11049R,4,1,58,24
LAB11049R,4,2,15,10
LAB11049R,4,3,5,3
LAB11049R,4,4,1,1
LAB11049R,7,0,422,89
LAB11049R,7,1,58,24
LAB11049R,7,2,15,10
LAB11049R,7,3,4,2
LAB11049R,7,4,1,1
LAB11049R,7,5,1,1
LAB11049R,30,0,421,89
LAB11049R,30,1,59,24
LAB11049R,30,2,15,10
LAB11049R,30,3,4,2
LAB11049R,30,4,1,1
LAB11049R,30,5,1,1
LAB11049R,90,0,421,89
LAB11049R,90,1,59,24
LAB11049R,90,2,15,10
LAB11049R,90,3,4,2
LAB11049R,90,4,1,1
LAB11049R,90,5,1,1
LAB11051R,1,0,5,2
LAB11051R,2,0,5,2
LAB11051R,4,0,5,2
LAB11051R,7,0,5,2
LAB11051R,30,0,5,2
LAB11051R,90,0,5,2
LAB11053R,1,0,7,4
LAB11053R,2,0,7,4
LAB11053R,4,0,7,4
LAB11053R,7,0,7,4
LAB11053R,30,0,7,4
LAB11053R,90,0,7,4
LAB11055R,1,0,3,2
LAB11055R,1,1,1,1
LAB11055R,1,2,1,1
LAB11055R,2,0,3,2
LAB11055R,2,1,1,1
LAB11055R,2,2,1,1
LAB11055R,4,0,2,2
LAB11055R,4,1,1,1
LAB11055R,4,2,1,1
LAB11055R,4,3,1,0
LAB11055R,7,0,2,2
LAB11055R,7,1,1,1
LAB11055R,7,2,1,1
LAB11055R,7,3,1,0
LAB11055R,30,0,2,2
LAB11055R,30,1,1,1
LAB11055R,30,2,1,1
LAB11055R,30,3,1,0
LAB11055R,90,0,2,2
LAB11055R,90,1,1,1
LAB11055R,90,2,1,1
LAB11055R,90,3,1,0
LAB11058R,1,0,5,2
LAB11058R,2,0,5,2
LAB11058R,4,0,5,2
LAB11058R,7,0,5,2
LAB11058R,30,0,5,2
LAB11058R,90,0,5,2
LAB11060R,1,0,519,239
LAB11060R,1,1,2,1
LAB11060R,2,0,515,235
LAB11060R,2,1,6,5
LAB11060R,4,0,509,231
LAB11060R,4,1,10,7
LAB11060R,4,2,1,1
LAB11060R,4,3,1,1
LAB11060R,7,0,506,229
LAB11060R,7,1,13,9
LAB11060R,7,2,1,1
LAB11060R,7,3,1,1
LAB11060R,30,0,502,226
LAB11060R,30,1,16,11
LAB11060R,30,2,2,2
LAB11060R,30,3,1,1
LAB11060R,90,0,497,222
LAB11060R,90,1,21,15
LAB11060R,90,2,2,2
LAB11060R,90,3,1,1
LAB11067R,1,0,12,9
LAB11067R,1,1,1,1
LAB11067R,2,0,11,8
LAB11067R,2,1,1,1
LAB11067R,2,2,1,1
LAB11067R,4,0,11,8
LAB11067R,4,1,1,1
LAB11067R,4,2,1,1
LAB11067R,7,0,11,8
LAB11067R,7,1,1,1
LAB11067R,7,2,1,1
LAB11067R,30,0,11,8
LAB11067R,30,1,1,1
LAB11067R,30,2,1,1
LAB11067R,90,0,11,8
LAB11067R,90,1,1,1
LAB11067R,90,2,1,1
LAB11068R,1,0,321,253
LAB11068R,1,1,12,12
LAB11068R,2,0,317,250
LAB11068R,2,1,15,14
LAB11068R,2,2,1,1
LAB11068R,4,0,316,249
LAB11068R,4,1,16,15
LAB11068R,4,2,1,1
LAB11068R,7,0,315,248
LAB11068R,7,1,16,15
LAB11068R,7,2,2,2
LAB11068R,30,0,315,248
LAB11068R,30,1,16,15
LAB11068R,30,2,1,1
LAB11068R,30,3,1,1
LAB11068R,90,0,315,248
LAB11068R,90,1,16,15
LAB11068R,90,2,1,1
LAB11068R,90,3,1,1
LAB11069R,1,0,257,89
LAB11069R,1,1,3,2
LAB11069R,2,0,252,85
LAB11069R,2,1,7,5
LAB11069R,2,2,1,1
LAB11069R,4,0,251,85
LAB11069R,4,1,7,4
LAB11069R,4,2,2,2
LAB11069R,7,0,251,85
LAB11069R,7,1,7,4
LAB11069R,7,2,2,2
LAB11069R,30,0,250,84
LAB11069R,30,1,8,5
LAB11069R,30,2,2,2
LAB11069R,90,0,248,84
LAB11069R,90,1,10,5
LAB11069R,90,2,2,2
LAB11070R,1,0,177,161
LAB11070R,1,1,5,4
LAB11070R,2,0,173,159
LAB11070R,2,1,9,6
LAB11070R,4,0,167,154
LAB11070R,4,1,15,11
LAB11070R,7,0,163,151
LAB11070R,7,1,18,13
LAB11070R,7,2,1,1
LAB11070R,30,0,163,151
LAB11070R,30,1,18,13
LAB11070R,30,2,1,1
LAB11070R,90,0,163,151
LAB11070R,90,1,18,13
LAB11070R,90,2,1,1
LAB11071R,1,0,417,378
LAB11071R,1,1,10,10
LAB11071R,2,0,410,372
LAB11071R,2,1,17,16
LAB11071R,4,0,408,371
LAB11071R,4,1,18,16
LAB11071R,4,2,1,1
LAB11071R,7,0,406,369
LAB11071R,7,1,19,17
LAB11071R,7,2,2,2
LAB11071R,30,0,405,368
LAB11071R,30,1,20,18
LAB11071R,30,2,2,2
LAB11071R,90,0,405,368
LAB11071R,90,1,20,18
LAB11071R,90,2,2,2
LAB11072R,1,0,5,4
LAB11072R,2,0,5,4
LAB11072R,4,0,5,4
LAB11072R,7,0,5,4
LAB11072R,30,0,5,4
LAB11072R,90,0,5,4
LAB11074R,1,0,4,3
LAB11074R,2,0,4,3
LAB11074R,4,0,4,3
LAB11074R,7,0,4,3
LAB11074R,30,0,4,3
LAB11074R,90,0,4,3
LAB11077R,1,0,65,61
LAB11077R,1,1,2,2
LAB11077R,2,0,62,58
LAB11077R,2,1,5,5
LAB11077R,4,0,60,56
LAB11077R,4,1,6,6
LAB11077R,4,2,1,1
LAB11077R,7,0,60,56
LAB11077R,7,1,6,6
LAB11077R,7,2,1,1
LAB11077R,30,0,60,56
LAB11077R,30,1,6,6
LAB11077R,30,2,1,1
LAB11077R,90,0,60,56
LAB11077R,90,1,6,6
LAB11077R,90,2,1,1
LAB11078R,1,0,9,8
LAB11078R,2,0,9,8
LAB11078R,4,0,8,7
LAB11078R,4,1,1,1
LAB11078R,7,0,8,7
LAB11078R,7,1,1,1
LAB11078R,30,0,8,7
LAB11078R,30,1,1,1
LAB11078R,90,0,8,7
LAB11078R,90,1,1,1
LAB11079R,1,0,58,38
LAB11079R,2,0,58,38
LAB11079R,4,0,58,38
LAB11079R,7,0,58,38
LAB11079R,30,0,58,38
LAB11079R,90,0,58,38
LAB11080R,1,0,22,18
LAB11080R,2,0,21,17
LAB11080R,2,1,1,1
LAB11080R,4,0,21,17
LAB11080R,4,1,1,1
LAB11080R,7,0,21,17
LAB11080R,7,1,1,1
LAB11080R,30,0,21,17
LAB11080R,30,1,1,1
LAB11080R,90,0,21,17
LAB11080R,90,1,1,1
LAB11081R,1,0,159,87
LAB11081R,1,1,2,0
LAB11081R,2,0,157,85
