base_name,window,consecutive,total,normal
11210R,4,1,1,1
11210R,7,1,4,4
11210R,30,1,6,6
11210R,90,1,6,6
11211R,4,1,1,1
11211R,7,1,4,4
11211R,30,1,6,6
11211R,90,1,6,6
11212R,4,1,1,1
11212R,7,1,4,4
11212R,30,1,6,6
11212R,90,1,6,6
11213R,4,1,1,1
11213R,7,1,4,4
11213R,30,1,6,6
11213R,90,1,6,6
11896R,1,1,1,0
11896R,2,1,1,0
11896R,4,1,1,0
11896R,7,1,1,0
11896R,30,1,1,0
11896R,90,1,1,0
11983R,2,1,1,1
11983R,4,1,3,2
11983R,7,1,7,4
11983R,30,1,17,14
11983R,30,2,2,2
11983R,30,3,2,2
11983R,90,1,14,10
11983R,90,2,3,3
11983R,90,3,5,4
11983R,90,4,3,3
12078R,1,1,18,9
12078R,2,1,30,19
12078R,2,2,2,0
12078R,4,1,111,96
12078R,4,2,8,5
12078R,4,3,1,0
12078R,7,1,111,96
12078R,7,2,53,46
12078R,7,3,4,1
12078R,30,1,56,45
12078R,30,2,37,34
12078R,30,3,28,24
12078R,30,4,17,13
12078R,30,5,33,27
12078R,90,1,58,46
12078R,90,2,37,34
12078R,90,3,28,24
12078R,90,4,17,13
12078R,90,5,33,27
12105R,30,1,1,1
12105R,90,1,1,1
12105R,90,2,1,1
12200R,1,1,1,0
12200R,2,1,1,0
12200R,4,1,1,0
12200R,7,1,1,0
12200R,30,1,1,0
12200R,90,1,1,0
12239R,1,1,1,1
12239R,2,1,3,3
12239R,4,1,1,1
12239R,4,2,1,1
12239R,4,3,1,1
12239R,7,1,2,2
12239R,7,2,1,1
12239R,7,3,1,1
12239R,30,1,2,2
12239R,30,2,1,1
12239R,30,3,1,1
12239R,30,4,1,1
12239R,90,1,3,2
12239R,90,2,1,1
12239R,90,3,1,1
12239R,90,4,1,1
12239R,90,5,1,1
12294R,4,1,1,0
12294R,7,1,1,0
12294R,30,1,1,0
12294R,90,1,1,0
12297R,4,1,1,1
12297R,7,1,1,1
12297R,30,1,1,1
12297R,90,1,1,1
12299R,4,1,1,1
12299R,7,1,1,1
12299R,30,1,1,1
12299R,90,1,1,1
12300R,4,1,1,1
12300R,7,1,1,1
12300R,30,1,1,1
12300R,90,1,1,1
12301R,4,1,1,1
12301R,7,1,1,1
12301R,30,1,1,1
12301R,90,1,1,1
12302R,4,1,1,1
12302R,7,1,1,1
12302R,30,1,1,1
12302R,90,1,1,1
12303R,4,1,1,1
12303R,7,1,1,1
12303R,30,1,1,1
12303R,90,1,1,1
12304R,4,1,1,1
12304R,7,1,1,1
12304R,30,1,1,1
12304R,90,1,1,1
12306R,4,1,1,1
12306R,7,1,1,1
12306R,30,1,1,1
12306R,90,1,1,1
12307R,4,1,1,1
12307R,7,1,1,1
12307R,30,1,1,1
12307R,90,1,1,1
12308R,4,1,1,1
12308R,7,1,1,1
12308R,30,1,1,1
12308R,90,1,1,1
12309R,4,1,1,1
12309R,7,1,1,1
12309R,30,1,1,1
12309R,90,1,1,1
12310R,4,1,1,1
12310R,7,1,1,1
12310R,30,1,1,1
12310R,90,1,1,1
12311R,4,1,1,1
12311R,7,1,1,1
12311R,30,1,1,1
12311R,90,1,1,1
12312R,4,1,1,1
12312R,7,1,1,1
12312R,30,1,1,1
12312R,90,1,1,1
12313R,4,1,1,1
12313R,7,1,1,1
12313R,30,1,1,1
12313R,90,1,1,1
12314R,4,1,1,1
12314R,7,1,1,1
