2018 Clinical Diagnostic Laboratory Fee Schedule ,,,,,,
"CPT codes, descriptions and other data only are copyright 2018 American Medical Association. All rights reserved. CPT is a registered trademark of the American Medical Association (AMA).",,,,,,
,,,,,,
YEAR,HCPCS,MOD,EFF_DATE,INDICATOR,RATE2018,SHORTDESC
2018,0001M,,20180101,N,00072.19,Infectious dis hcv 6 assays
2018,0001U,,20180101,L,00000.00,Rbc dna hea 35 ag 11 bld grp
2018,0002M,,20180101,N,00503.40,Liver dis 10 assays w/ash
2018,0002U,,20180101,L,00000.00,Onc clrct 3 ur metab alg plp
2018,0003M,,20180101,N,00503.40,Liver dis 10 assays w/nash
2018,0003U,,20180101,N,00950.00,Onc ovar 5 prtn ser alg scor
2018,0004M,,20180101,L,00000.00,Scoliosis dna alys
2018,0005U,,20180101,N,00760.00,Onco prst8 3 gene ur alg
2018,0006M,,20180101,L,00000.00,Onc hep gene risk classifier
2018,0006U,,20180101,N,00246.92,Rx mntr 120+ drugs & sbsts
2018,0007M,,20180101,L,00000.00,Onc gastro 51 gene nomogram
2018,0007U,,20180101,N,00114.43,Rx test prsmv ur w/def conf
2018,0008U,,20180101,N,00597.91,Hpylori detcj abx rstnc dna
2018,0009M,,20180101,L,00000.00,Fetal aneuploidy trisom risk
2018,0009U,,20180101,L,00000.00,Onc brst ca erbb2 amp/nonamp
2018,0010U,,20180101,L,00000.00,Nfct ds strn typ whl gen seq
2018,0011U,,20180101,N,00114.43,Rx mntr lc-ms/ms oral fluid
2018,0012U,,20180101,L,00000.00,Germln do gene reargmt detcj
2018,0013U,,20180101,L,00000.00,Onc sld org neo gene reargmt
2018,0014U,,20180101,L,00000.00,Hem hmtlmf neo gene reargmt
2018,0016U,,20180101,N,00202.42,Onc hmtlmf neo rna bcr/abl1
2018,0017U,,20180101,N,00113.17,Onc hmtlmf neo jak2 mut dna
2018,36415,,20180101,N,00003.00,Routine venipuncture
2018,78267,,20180101,N,00011.06,Breath tst attain/anal c-14
2018,78268,,20180101,N,00094.41,Breath test analysis c-14
2018,80047,,20180101,N,00013.73,Metabolic panel ionized ca
2018,80047,QW,20180101,N,00013.73,Metabolic panel ionized ca
2018,80048,,20180101,N,00010.44,Metabolic panel total ca
2018,80048,QW,20180101,N,00010.44,Metabolic panel total ca
2018,80051,,20180101,N,00008.66,Electrolyte panel
2018,80051,QW,20180101,N,00008.66,Electrolyte panel
2018,80053,,20180101,N,00013.04,Comprehen metabolic panel
2018,80053,QW,20180101,N,00013.04,Comprehen metabolic panel
2018,80055,,20180101,N,00059.02,Obstetric panel
2018,80061,,20180101,N,00016.53,Lipid panel
2018,80061,QW,20180101,N,00016.53,Lipid panel
2018,80069,,20180101,N,00010.72,Renal function panel
2018,80069,QW,20180101,N,00010.72,Renal function panel
2018,80074,,20180101,N,00058.81,Acute hepatitis panel
2018,80076,,20180101,N,00010.09,Hepatic function panel
2018,80081,,20180101,N,00092.42,Obstetric panel
