billing_code,price_description,price
19100601,HC MEDICATION ADMIN INITIAL, 357 
19100809,HC OXYGEN DAILY SERVICE, 361 
19100866,HC IP VENT MGMT INV/NON-INV INIT," 6,184 "
19101112,HC PEP DEVICE(RESISTEX)-LPCH, 78 
19101146,HC MDI SUBSEQUENT-LPCH, 357 
19101153,HC VENT ASSIST & MGMT-INIT-LPCH," 6,184 "
19101161,HC HAND NEBULIZER SUBSEQNT-LPCH, 357 
19101187,HC IPPB TRMNT:SUBSEQUENT-LPCH, 357 
19101195,HC CONT MED AERSL 1STHR-LPCH, 704 
19101203,HC HAND NEBULIZER INITIAL-LPCH, 357 
19101237,HC CPAP INITIAL & MANAGE-LPCH," 1,665 "
19101245,HC BIPAP INIT & MGMT 1ST DAY-LPCH," 1,665 "
19101260,HC CARDIOPULMONARY RESUS -LPCH," 2,129 "
19101286,HC MDI-DEMO/EVAL-LPCH, 592 
19101351,HC SPUTUM INDUCTION/AER MED SUBSQ, 357 
19101385,HC STD HHN AER MED THR SUBSQ, 357 
19102250,HC CARDIOPULMONARY RESUSCIT," 2,129 "
19102557,HC CPAP-POS AIRWAY PRES DAILY CHG," 1,665 "
19102607,HC RESUSC BAG SETUP/REPLACE, 155 
19102706,HC THERPST PERC TRTMNT SUB, 480 
19102714,HC CHEST PHYSIOTHERAPY INITIAL, 480 
19102854,HC BEDSIDE PULM FUNCTION TEST, 806 
19103050,HC IP VENT MGMT INV/NON-INV EA AD," 3,924 "
19103357,HC BRONCH DIAG W/WO CELL WASH," 4,446 "
19103449,HC MDI THERAPY - SUBSEQUENT, 357 
19103506,HC PENTAMIDINE AEROSOL TRTMNT, 734 
19103605,HC CONT SET-UP/DAILY SVC, 404 
19103753,HC ARTERIAL PUNCTURE, 355 
19103845,HC BRONCH FB REMOVAL-SINGLE," 5,713 "
19103886,HC BRONCH/TRANSBR BX 1ST LOBE," 5,733 "
19103902,HC BRONCH W NDL BX UPP AIRWAY," 6,173 "
19103928,HC IPV SUBSEQUENT, 357 
19160027,HC BRONCHOSCOPY/BRUSH SINGLE," 4,936 "
19160035,HC BRONCHOSCOPY/LAVAGE SINGLE," 5,854 "
19160043,HC BRONCHOSCOPY/BRUSH BILATERAL," 6,170 "
19160050,HC BRONCH/TRANSBR BX ADD LOBE," 2,152 "
19160076,HC BRONCHOSCOPY/LAVAGE BILATERAL," 7,318 "
19160100,HC BRONCHOSCOPY/FB REMOVAL BILAT," 7,141 "
21130018,HC TRANSFUSION BLOOD-1 HR," 3,300 "
21130026,HC TRANSFUSION BLOOD-2 HR," 3,500 "
21130034,HC TRANSFUSION BLOOD-3 HR," 3,700 "
21130042,HC TRANSFUSION BLOOD-4 HR," 3,900 "
21130059,HC TRANSFUSION BLOOD-5 HR," 4,100 "
21130067,HC TRANSFUSION BLOOD-6 HR," 4,300 "
21130075,HC TRANSFUSION BLOOD-7 HR," 4,500 "
21130083,HC TRANSFUSION BLOOD-8 HR," 4,700 "
21130091,HC TRANSFUSION BLOOD-9 HR," 4,900 "
21130117,HC IV INFUSION-THERAPEUTIC-1ST HR," 1,226 "
21130125,HC IV INFUSION-THER-ADDTL HRS, 607 
21130133,HC THERAP PROPH/DX INJ: SUBQ/IM, 344 
21130141,HC IV PUSH INJECTION, 542 
21190111,HC B1 MED/SURG PRIV," 8,897 "
21190129,HC B1 MED/SURG PRIV," 8,897 "
21190137,HC B1 MED/SURG PRIV," 8,897 "
21190145,HC B1 MED/SURG PRIV," 8,897 "
21190210,HC B1 MED/SURG SP," 8,397 "
21190228,HC B1 MED/SURG SP," 8,397 "
21190236,HC B1 MED/SURG SP," 8,397 "
21190244,HC B1 MED/SURG SP," 8,397 "
21190319,HC B1 MED/SURG W," 8,397 "
21190327,HC B1 MED/SURG," 8,397 "
21190335,HC B1 MED/SURG," 8,397 "
21190343,HC B1 MED/SURG," 8,397 "
22290118,HC G2P PSYCH PRIV," 6,201 "
22290126,HC G2P PSYCH LEVEL 2 PRIVATE," 6,201 "
22290134,HC G2P PSYCH PRIV," 6,201 "
22290142,HC G2P PSYCH PRIV," 6,201 "
22290217,HC G2P PSYCH," 5,770 "
22290225,HC G2P PSYCH SP," 5,770 "
22290233,HC G2P PSYCH SP," 5,770 "
22290241,HC G2P PSYCH SP," 5,770 "
23130040,HC TRANSFUSION BLOOD-1 HR," 3,300 "
23130057,HC TRANSFUSION BLOOD-2 HR," 3,500 "
23130065,HC TRANSFUSION BLOOD-3 HR," 3,700 "
23130073,HC TRANSFUSION BLOOD-4 HR," 3,900 "
23130081,HC TRANSFUSION BLOOD-5 HR," 4,100 "
23130099,HC TRANSFUSION BLOOD-6 HR," 4,300 "
23130107,HC TRANSFUSION BLOOD-7 HR," 4,500 "
23130115,HC TRANSFUSION BLOOD-8 HR," 4,700 "
23130123,HC TRANSFUSION BLOOD-9 HR," 4,900 "
23130149,HC IV INFUSION-THERAPEUTIC-1ST HR," 1,226 "
23130156,HC IV INFUSION-THER-ADDTL HRS, 607 
23130164,HC THERAP PROPH/DX INJ: SUBQ/IM, 344 
23130172,HC IV PUSH INJECTION, 542 
23230014,HC TRANSFUSION BLOOD-1 HR," 3,300 "
23230022,HC TRANSFUSION BLOOD-2 HR," 3,500 "
23230030,HC TRANSFUSION BLOOD-3 HR," 3,700 "
23230048,HC TRANSFUSION BLOOD-4 HR," 3,900 "
23230055,HC TRANSFUSION BLOOD-5 HR," 4,100 "
23230063,HC TRANSFUSION BLOOD-6 HR," 4,300 "
23230071,HC TRANSFUSION BLOOD-7 HR," 4,500 "
23230089,HC TRANSFUSION BLOOD-8 HR," 4,700 "
23230097,HC TRANSFUSION BLOOD-9 HR," 4,900 "
23230139,HC IV INFUSION-HYDRATION-1ST HR," 1,035 "
23230147,HC IV INFUSION-THER-ADDTL HRS, 607 
23230154,HC THERAP PROPH/DX INJ: SUBQ/IM, 344 
23230162,HC IV PUSH INJECTION, 542 
23290117,HC FGR ONC/BMT LEVEL 1 PVT," 8,897 "
23290125,HC FGR ONC/BMT LEVEL 2 PVT," 8,897 "
23290133,HC FGR ONC/BMT LEVEL 3 PVT," 15,479 "
23290141,HC FGR ONC/BMT LEVEL 4 PVT," 15,479 "
23290216,HC FGR ONC/BMT LEVEL 1 SP," 8,897 "
23290224,HC FGR ONC/BMT LEVEL 2 SP," 8,397 "
23290232,HC FGR ONC/BMT LEVEL 3 SP," 15,479 "
23290240,HC FGR ONC/BMT LEVEL 4 SP," 15,479 "
23290315,HC FGR ONC/BMT LEVEL 1 W," 8,013 "
23290323,HC FGR ONC/BMT LEVEL 2 W," 8,653 "
23290331,HC FGR ONC/BMT LEVEL 3 W," 14,466 "
23290349,HC FGR ONC/BMT LEVEL 4 W," 12,182 "
23730039,HC TRANSFUSION BLOOD-1 HR," 3,300 "
23730047,HC TRANSFUSION BLOOD-2 HR," 3,500 "
23730054,HC TRANSFUSION BLOOD-3 HR," 3,700 "
23730062,HC TRANSFUSION BLOOD-4 HR," 3,900 "
23730070,HC TRANSFUSION BLOOD-5 HR," 4,100 "
23730088,HC TRANSFUSION BLOOD-6 HR," 4,300 "
23730096,HC TRANSFUSION BLOOD-7 HR," 4,500 "
23730104,HC TRANSFUSION BLOOD-8 HR," 4,700 "
23730112,HC TRANSFUSION BLOOD-9 HR," 4,900 "
23730138,HC IV INFUSION-THERAPEUTIC-1ST HR," 1,226 "
23730146,HC IV INFUSION-THER-ADDTL HRS, 607 
23730153,HC THERAP PROPH/DX INJ: SUBQ/IM, 344 
23730161,HC IV PUSH INJECTION, 542 
23790116,HC B2 ICC LEVEL 1 PRIVATE," 14,466 "
23790124,HC B2 IMC ICU," 15,479 "
23790132,HC B2 IMC ICU," 15,479 "
23790215,HC B2 IMC ICU," 14,466 "
23790223,HC B2 IMC ICU," 15,479 "
23790231,HC B2 IMC ICU," 15,479 "
23790314,HC B2 IMC ICU," 14,466 "
23790322,HC B2 IMC ICU," 15,479 "
23790330,HC B2 IMC ICU," 15,479 "
23830029,HC TRANSFUSION BLOOD-1 HR," 3,300 "
23830037,HC TRANSFUSION BLOOD-2 HR," 3,500 "
23830045,HC TRANSFUSION BLOOD-3 HR," 3,700 "
23830052,HC TRANSFUSION BLOOD-4 HR," 3,900 "
23830060,HC TRANSFUSION BLOOD-5 HR," 4,100 "
23830078,HC TRANSFUSION BLOOD-6 HR," 4,300 "
23830086,HC TRANSFUSION BLOOD-7 HR," 4,500 "
23830094,HC TRANSFUSION BLOOD-8 HR," 4,700 "
23830102,HC TRANSFUSION BLOOD-9 HR," 4,900 "
23830128,HC IV INFUSION-THERAPEUTIC-1ST HR," 1,226 "
23830136,HC IV INFUSION-THER-ADDTL HRS, 607 
23830144,HC THERAP PROPH/DX INJ: SUBQ/IM, 344 
23830151,HC IV PUSH INJECTION, 542 
23890114,HC F3 MED/SURG PRIV," 8,897 "
23890122,HC F3 MED/SURG PRIV," 8,897 "
23890130,HC F3 MED/SURG PRIV," 8,897 "
23890148,HC F3 MED/SURG PRIV," 8,897 "
23890213,HC F3 MED/SURG SP," 8,397 "
23890221,HC F3 MED/SURG SP," 8,397 "
23890239,HC F3 MED/SURG SP," 8,397 "
23890247,HC F3 MED/SURG SP," 8,397 "
23890312,HC F3 M/S LEVEL I W," 5,769 "
23890320,HC F3 M/S LEVEL II W," 8,653 "
23890338,HC F3 MED/SURG W," 8,397 "
23890346,HC F3 MED/SURG," 8,397 "
24890121,HC H2 PSYCH PRIV," 6,201 "
24890139,HC H2 PSYCH PRIV," 6,201 "
24890147,HC H2 PSYCH PRIV," 6,201 "
24890212,HC H2 PSYCH," 5,770 "
24890220,HC H2 PSYCH," 5,770 "
24890238,HC H2 PSYCH SP," 5,770 "
24890246,HC H2 PSYCH SP," 5,770 "
25030057,HC TRANSFUSION BLOOD-1 HR," 3,300 "
25030065,HC TRANSFUSION BLOOD-2 HR," 3,500 "
25030073,HC TRANSFUSION BLOOD-3 HR," 3,700 "
