name,description
WBC,"WBC(WBC)"
HGB,"HGB(CALC), ISTAT"
PLT,"PLATELET COUNT(PLT)"
NA,"SODIUM, SER/PLAS"
K,"POTASSIUM, ISTAT"
CL,"CHLORIDE, SER/PLAS(CL)"
CR,"CREATININE, ISTAT"
BUN,"UREA NITROGEN, SER/PLAS"
GLU,"GLUCOSE, ISTAT"
CO2,"CO2, SER/PLAS(CO2)"
CA,"CALCIUM, SER/PLAS(CA)"
TP,"PROTEIN, TOTAL, SER/PLAS"
ALB,"ALBUMIN, SER/PLAS(ALB)"
ALKP,"ALK P'TASE, TOTAL, SER/PLAS"
TBIL,"TOTAL BILIRUBIN(TBIL)"
AST,"AST (SGOT), SER/PLAS"
ALT,"ALT (SGPT), SER/PLAS"
DBIL,"CONJUGATED BILI"
IBIL,"BILIRUBIN, INDIRECT, SER/PLAS"
PHA,"PH (A)"
PCO2A,"PCO2, ISTAT"
PO2A,"PO2, ISTAT"
