proc_code	base_name
LABPOCGLU	GLU
LABPOCGLU	PCCOM
LABPOCGLU	SOU
LABMETB	AG
LABMETB	BUN
LABMETB	CA
LABMETB	CL
LABMETB	CO2
LABMETB	CR
LABMETB	GLU
LABMETB	K
LABMETB	NA
LABCBCD	WBC
LABCBCD	MCHC
LABCBCD	MCV
LABCBCD	MCH
LABCBCD	HGB
LABCBCD	PLT
LABCBCD	RBC
LABCBCD	HCT
LABCBCD	RDW
LABCBCD	NEUTAB
LABCBCD	MONOAB
LABCBCD	MONO
LABCBCD	LYM
LABCBCD	EOS
LABCBCD	NEUT
LABCBCD	BASO
LABCBCD	BASOAB
LABCBCD	EOSAB
LABCBCD	LYMAB
LABMGN	MG
LABPT	INR
LABPT	PT
LABMETC	AG
LABMETC	ALB
LABMETC	ALKP
LABMETC	ALT
LABMETC	BUN
LABMETC	CA
LABMETC	CL
LABMETC	CO2
LABMETC	CR
LABMETC	GLOB
LABMETC	GLU
LABMETC	K
LABMETC	NA
LABMETC	TBIL
LABMETC	TP
LABMETC	AST
LABSPR	SPR
LABCBCO	WBC
LABCBCO	HCT
LABCBCO	HGB
LABCBCO	PLT
LABCBCO	RBC
LABCBCO	MCV
LABCBCO	RDW
LABCBCO	MCHC
LABCBCO	MCH
LABPHOS	PHOS
LABPTT	PTT
LABPCG3	PCCOM
LABPCG3	PCO2A
LABPCG3	PHA
LABPCG3	PO2A
LABPCG3	HCO3A
LABPCG3	TCO2A
LABPCG3	O2SATA
LABPCG3	FIO2
LABCAI	CAION
EKG5	ECGIMPRESS
EKG5	HEARTRATE
EKG5	QRSAXIS
EKG5	QTCINTERVAL
EKG5	RR
EKG5	QRSDINTERVAL
EKG5	QTINTERVAL
EKG5	TWAVEAXIS
LABTBP	SI
LABTBP	PRO
LABMETB	EGFR
LABPCG3	BE
EKG5	PRINTERVAL
EKG5	PAXIS
LABTBP	UBT
LABTBP	UNT
LABCBCD	MORPH
LABCBCD	SLREV
LABPCG3	BD
LABTBP	DI
LABTNI	TNI
LABLAC	LAC
LABCAI	PHCAI
LABPCG3	PCTEMP
LABTBP1	SI
LABTBP1	PRO
LABABG	PHA
LABABG	CL
LABABG	GLU
LABABG	HCO3A
LABABG	HCT
LABABG	HGBBG
LABABG	K
LABABG	NA
LABABG	PCO2A
LABABG	PO2A
LABABG	TCO2A
LABABG	METHB
LABABG	CAION
LABABG	COHB
LABABG	CTO2A
LABABG	O2HBA
LABBBPRBC	RBCSTA
LABMETC	EGFR
LABTBP	XMR
LABHFP	ALB
LABHFP	ALKP
LABHFP	ALT
LABHFP	AST
LABHFP	DBIL
LABHFP	IBIL
LABHFP	TBIL
LABHFP	TP
LABTBP1	UBT
LABTBP1	UNT
LABABG	BD
LABBLC	CULT
LABBLC	RPT
LABBLC	SDES
LABBLC	SREQ
LABK	K
LABUA	SPECMN
LABUA	UCOL
LABUA	LEUKEST
LABUA	NITRITE
LABUA	SPG
LABUA	UBLOOD
LABUA	UCLAR
LABUA	UGLU
LABUA	UKET
LABUA	UPH
LABUA	UPROT
LABUA	URBC
LABUA	UWBC
LABTYPSNI	ARG
LABCBCD	SIGNIF
LABUA	UBACT
LABUA	UCMT
LABTYPSNI	AS3
LABBLC2	CULT
LABBLC2	RPT
LABBLC2	SDES
LABBLC2	SREQ
LABMB	CKMB
LABTBP1	DI
LABROMRS	CULT
LABROMRS	RPT
LABROMRS	SDES
LABROMRS	SREQ
LABFK506L	FK506
LABFK506L	FK506
LABFK506L	TACR2
LABFK506L	TACR3
LABFK506L	TACR4
LABTBP1	XMR
LABVBG	PHV
LABVBG	CTO2V
LABVBG	GLU
LABVBG	HCO3A
LABVBG	HCT
LABVBG	K
LABVBG	PCO2V
LABVBG	PO2V
LABVBG	TCO2A
LABVBG	CAION
LABVBG	CL
LABVBG	COHB
LABVBG	HGBBG
LABVBG	METHB
LABVBG	NA
LABVBG	O2SATV
LABMB	CK
LABURNC	CULT
LABURNC	RPT
LABURNC	SDES
LABURNC	SREQ
LABCBCD	LYM
LABCBCD	NEUTAB
LABCBCD	NEUT
LABCBCD	LYMAB
LABLDH	LDH
LABHCTX	HCT
LABVANPRL	VANCOTROUGH
LABVANPRL	VANPR2
LABVANPRL	VANPR3
LABVANPRL	VANPR4
LABMB	CKMBRI
LABUA	MUCUS
LABARVI	ARV
LABCBCD	MONO
LABNA	NA
LABCBCD	MONOAB
LABCBCD	BAND
LABUA	SQEP
LABUAPRN	SPECMN
LABUAPRN	UCOL
LABUAPRN	LEUKEST
LABUAPRN	NITRITE
LABUAPRN	SPG
LABUAPRN	UBLOOD
LABUAPRN	UCLAR
LABUAPRN	UGLU
LABUAPRN	UKET
LABUAPRN	UPH
LABUAPRN	UPROT
LABUAPRN	URBC
LABUAPRN	UWBC
LABUAPRN	PRN
LABUAPRN	UBACT
LABUAPRN	UCMT
LABVBG	BD
LABDIC	DDIMER
LABDIC	FIBRINOGEN
LABDIC	INR
LABDIC	PT
LABDIC	PTT
LABDIC	TT
LABABG	BE
LABBBPPLT	PLT
LABPCTNI	PCCOM
LABPCTNI	TNI
LABHEPAR	HEPAR
LABA1C	A1C
LABURIC	URIC
LABVBG	BE
LABLIPS	LIPASE
LABUAPRN	MUCUS
LABTSH	TSH
LABTBP2	SI
LABTBP2	PRO
LABLACWB	LACWBL
LABUAPRN	SQEP
LABBBPFFP	FFP
LABTBP3	PRO
LABTBP3	SI
LABCK	CK
LABHEPAR	HEPAR
LABTBP2	UBT
LABTBP2	UNT
LABCRP	CRP
LABPCCG4V	HCO3V
LABPCCG4V	LAC
LABPCCG4V	PCCOM
LABPCCG4V	PCO2V
LABPCCG4V	PHV
LABPCCG4V	TCO2V
LABPCCG4V	O2SATV
LABPCCG4V	PO2V
LABCBCD	META
LABFIB	FIBRINOGEN
LABPCEG7	PCCOM
LABPCEG7	HCO3A
LABPCEG7	PCO2A
LABPCEG7	PHA
LABPCEG7	PO2A
LABPCEG7	TCO2A
LABPCEG7	O2SATA
LABTBP3	UBT
LABTBP3	UNT
LABPCEG7	HCT
LABPCEG7	HGB
LABPCEG7	K
LABPCEG7	NA
LABPCEG7	CAION
LABCBCD	MYEL
LABOSM	OSMOL
LABCBCD	EOS
LABNTBNP	BNP
LABCBCD	EOSAB
LABCDTPCR	CDTR
LABCDTPCR	CDTSP
LABPCEG7V	HCO3V
LABPCEG7V	O2SATV
LABPCEG7V	PCCOM
LABPCEG7V	PCO2V
LABPCEG7V	PHV
LABPCEG7V	PO2V
LABPCEG7V	TCO2V
LABPCEG7V	CAION
LABPCEG7V	HCT
LABPCEG7V	HGB
LABPCEG7V	K
LABPCEG7V	NA
LABANER	CULT
LABANER	RPT
LABANER	SDES
LABANER	SREQ
EKG5	PDF
LABCBCD	NRBC
LABBMT2	CO2
LABBMT2	CR
LABBMT2	GLU
LABBMT2	K
LABBMT2	NA
LABGRAM	GS
LABGRAM	RPT
LABGRAM	SDES
LABGRAM	SREQ
LABBMT1	ALB
LABBMT1	ALKP
LABBMT1	ALT
LABBMT1	AST
LABBMT1	CR
LABBMT1	GLU
LABBMT1	K
LABBMT1	MG
LABBMT1	NA
LABBMT1	TBIL
LABTBP2	DI
LABRESP	CULT
LABRESP	RPT
LABRESP	SDES
LABRESP	SREQ
LABFCUL	CULT
LABFCUL	RPT
LABFCUL	SDES
LABFCUL	SREQ
LABCBCS	WBC
LABCBCS	HCT
LABCBCS	HGB
LABCBCS	MCH
LABCBCS	MCHC
LABCBCS	MCV
LABCBCS	PLT
LABCBCS	RBC
LABCBCS	RDW
LABCBCS	SLREV
LABPCCR	CR
LABPCCR	PCCOM
LABDOA	AMPHET
LABDOA	BARB
LABDOA	BENZO
LABDOA	COCAINE
LABDOA	DOACOM
LABDOA	METHADONE
LABDOA	OPIATE
LABDOA	PCP
LABDOA	TCA
LABDOA	THC
LABTBP2	XMR
LABPLTS	PLT
LABPCEG7	FIO2
