lab,Stanford,UMich,UCSF,description
LABUA,LABUA,,,Urinalysis With Microscopic
LABBLC,LABBLC,BLD,,Blood Culture (Aerobic & Anaerobic)
LABPT,LABPT,PT7,Prothrombin Time,Prothrombin Time
LABPTT,LABPTT,PTT,Activated Partial Thromboplastin Time,Partial Thromboplastin Time
LABTSH,LABTSH,TSH,Thyroid Stimulating Hormone,Thyroid Stimulating Hormone
LABPHOS,LABPHOS,PHOS,"Phosphorus, Serum / Plasma","Phosphorus, Serum/plasma"
LABURNC,LABURNC,,Urine Culture,Urine Culture
LABA1C,LABA1C,A1C,Hemoglobin A1c,Hemoglobin A1c
LABMGN,LABMGN,MAG,"Magnesium, Serum / Plasma","Magnesium, Serum/plasma"
LABHAP,LABHAP,,,Haptoglobin
LABANER,LABANER,,,Anaerobic Culture
LABPCTNI,LABPCTNI,,,iSTAT Troponin I
LABNTBNP,LABNTBNP,,,NT-proBNP
LABK,LABK,POT,"Potassium, Serum / Plasma","Potassium, Serum/plasma"
LABTNI,LABTNI,TROP,Troponin I,Troponin I
LABUAPRN,LABUAPRN,,,"Urinalysis, Screen For Culture"
LABCAI,LABCAI,,"Calcium, Ionized, serum/plasma","Calcium Ionized, Serum/plasma"
LABCAI,LABCAI,,"Calcium, total, Serum / Plasma","Calcium Ionized, Serum/plasma"
LABHCTX,LABHCTX,,,Hematocrit
LABMB,LABMB,,,"Ck, Mb (mass)"
LABLIPS,LABLIPS,,,Lipase
LABCK,LABCK,,"Creatine kinase, total","Creatine Kinase, Total"
LABBLC2,LABBLC2,BLDAN,,Blood Culture (2 Aerobic)
LABLDH,LABLDH,,"Lactate Dehydrogenase, Serum / Plasma","LDH Total, Serum / Plasma"
LABTRFS,LABTRFS,,,Transferrin Saturation
LABLAC,LABLAC,,,Lactic Acid
LABFER,LABFER,,,Ferritin
LABFT4,LABFT4,,,"T4, Free"
LABCORT,LABCORT,,,"Cortisol, Serum"
LABURIC,LABURIC,URIC,"Uric Acid, Serum / Plasma","Uric Acid, Serum / Plasma"
LABGRAM,LABGRAM,,,Gram Stain
LABFE,LABFE,,Ferritin,"Iron, Total"
LABB12,LABB12,,Vitamin B12,Vitamin B12
LABFIB,LABFIB,,,Fibrinogen
LABCRP,LABCRP,,C-Reactive Protein,C-Reactive Protein
LABRETIC,LABRETIC,,,Reticulocyte Count Automated
LABBXTG,LABBXTG,,,Biopsy / Tissue Culture And Gram Stain
LABPLTS,LABPLTS,,Platelet count,Platelet Count
LABPCCR,LABPCCR,,,iSTAT Creatinine
LABFCUL,LABFCUL,,,Fungal Culture
LABFLDC,LABFLDC,,,Fluid Culture And Gram Stain
LABTRIG,LABTRIG,,,"Triglycerides, Serum / Plasma"
LABNH3,LABNH3,,,"Ammonia, Plasma"
LABBLCTIP,LABBLCTIP,,,Blood Cult - 2nd Set Via Catheter
LABRESP,LABRESP,,,Respiratory Culture
LABHEPAR,LABHEPAR,,,Heparin Activity Level
LABFOL,LABFOL,,,Folic Acid
LABCA,LABCA,CAL,,"Calcium, Serum/plasma"
LABBLCSTK,LABBLCSTK,,,"Blood Cult - First Set, Via Phlebotomy"
LABUOSM,LABUOSM,,,"Osmolality, Urine"
LABUSPG,LABUSPG,,,"Specific Gravity, Urine"
LABRESPG,LABRESPG,,,Respiratory Culture And Gram Stain
LABCSFGL,LABCSFGL,,,"Glucose, Csf"
LABHBSAG,LABHBSAG,,,Hepatitis B Antigen
LABALB,LABALB,ALB,"Albumin, Serum / Plasma","Albumin, Serum/plasma"
LABAFBD,LABAFBD,,AFB Non-Respiratory Culture,"Afb Culture, Non - Respiratory"
LABESRP,LABESRP,,Sedimentation Rate,Sedimentation Rate (ESR)
LABDIGL,LABDIGL,,,"Digoxin, Serum"
LABSTOBGD,LABSTOBGD,,,"Occult Bld, Guaiac, Stool, Diag Test"
LABBUN,LABBUN,,"Urea Nitrogen, Serum / Plasma","Urea Nitrogen, Serum/plasma"
LABNA,LABNA,SOD,"Sodium, Serum / Plasma","Sodium, Serum / Plasma"
LABLIDOL,LABLIDOL,,,Lidocaine
LABCSFTP,LABCSFTP,,,"Protein Total, Csf"
LABCSFC,LABCSFC,,,CSF Culture And Gram Stain
LABUPREG,LABUPREG,,,"Pregnancy Test, Urine"
LABOSM,LABOSM,,"Osmolality, urine","Osmolality, Serum"
LABAFBC,LABAFBC,,AFB Respiratory Culture,"AFB Culture, Respiratory"
LABPCCG4O,LABPCCG4O,,,"iSTAT Cg4, Other"
LABCDTPCR,LABCDTPCR,,,"C.diff Toxin B Gene, Qual. Real-time Pcr"
LABHIVWBL,LABHIVWBL,,,Anti-hiv
LABPROCT,LABPROCT,,,Procalcitonin
LABLACWB,LABLACWB,,,"Lactate, Whole Blood"
LABHEPAR,LABHEPAR,,,"Heparin, Unfractionated, Anti Xa"
LABSPLAC,LABSPLAC,,,Sepsis Protocol Lactate
LABSTLCX,LABSTLCX,,,Stool Culture
LABPTEG,LABPTEG,,,"Teg, Perioperative"
LABSTLCX,LABSTLCX,,,Stool Culture
LABPALB,LABPALB,,,Prealbumin
LABCMVQT,LABCMVQT,,,"Cmv Dna Pcr Quant, Plasma"
LABBXTG,LABBXTG,,,Biopsy/tissue With Gram Stain
LABBLCTIP,LABBLCTIP,,,Blood Cult Central Line Catheter By Nurse
LABCBCD,LABCBCD,,Complete Blood Count with Differential,CBC WITH DIFF
LABAFP,LABAFP,,,Alpha Fetoprotein
LABYCP,LABYCP,,,C-Peptide
LABEP1,LABEP1,,,Electrolyte Panel
LABAGALA,LABAGALA,,,Aspegillus Galactomannan
LABYHISTS,LABYHISTS,,,Histoplasma Ag
LABSPIE,LABSPIE,,,Serum Protein Electrophoresis
LABUPIE,LABUPIE,,,Urine Protein Electrophoresis
