lab	Stanford	UMich	UCSF	description
WBC	WBC	WBC	WBC	White Blood Cells
HGB	HGB	HGB	HGB	Hemoglobin
PLT	PLT	PLT	PLT	Platelet Count
NA	NA	SOD	NA	Sodium
K	K	POT	K	Potassium
CL	CL	CHLOR	CL	Chloride
CR	CR	CREAT	CREAT	Creatinine
BUN	BUN	UN	BUN	Urea Nitrogen
GLU	GLU			Glucose
CO2	CO2	CO2	CO2	CO2
CA	CA	CAL	CA	Calcium
TP	TP	PROT	TP	Total Protein
ALB	ALB	ALB	ALB	Albumin
ALKP	ALKP	ALK	ALKP	Alk Phos
TBIL	TBIL	TBIL	TBILI	Total Bilirubin
AST	AST	AST	AST	"AST (SGOT), Serum/plasma"
ALT	ALT	ALT	ALT	"ALT (SGPT), Serum/plasma"
DBIL	DBIL	DBIL	DBILI	Conjugated Bilirubin
IBIL	IBIL	IBIL		"Bilirubin Indirect, Serum/plasma"
PHA	PHA	pHA	PH37	PH (A)
PCO2A	PCO2A	PCOAA2	PCO2	"PCO2, ISTAT"
PO2A	PO2A	PO2AA	PO2	"PO2, ISTAT"
