preceding,basename,prop,normal,cnt
-1,ALB,0.837009295,110851,132437
0,ALB,0.065995976,4100,62125
1,ALB,0.655086677,9485,14479
2,ALB,0.733176129,4042,5513
3,ALB,0.799863621,2346,2933
4,ALB,0.824771689,1445,1752
5,ALB,0.859574468,1010,1175
6,ALB,0.911764706,1581,1734
7,ALB,0.908502374,2105,2317
-1,ALKP,0.789521842,103545,131149
0,ALKP,0.107026791,3919,36617
1,ALKP,0.920057409,12821,13935
2,ALKP,0.94255938,7778,8252
3,ALKP,0.951198919,5633,5922
4,ALKP,0.949367089,4200,4424
5,ALKP,0.954138702,3412,3576
6,ALKP,0.960373711,5962,6208
7,ALKP,0.960298428,10812,11259
-1,ALT,0.791019445,103936,131395
0,ALT,0.124845488,4747,38023
1,ALT,0.894093547,13094,14645
2,ALT,0.922,7837,8500
3,ALT,0.927734697,5623,6061
4,ALT,0.926206897,4029,4350
5,ALT,0.930664346,3208,3447
6,ALT,0.939910468,5459,5808
7,ALT,0.94912,8898,9375
-1,AST,0.808109303,105990,131158
0,AST,0.157494526,6545,41557
1,AST,0.868708225,12737,14662
2,AST,0.897309306,7270,8102
3,AST,0.911874005,5153,5651
4,AST,0.912143398,3613,3961
5,AST,0.931158238,2854,3065
6,AST,0.939421015,5257,5596
7,AST,0.949231177,7161,7544
-1,AG,0.912134675,136324,149456
0,AG,0.497144081,13926,28012
1,AG,0.908905352,36069,39684
2,AG,0.9375,25380,27072
3,AG,0.948397773,18912,19941
4,AG,0.956386909,14495,15156
5,AG,0.962010993,11902,12372
6,AG,0.968071037,15372,15879
7,AG,0.969482715,53339,55018
-1,EGFR,0.733889734,107542,146537
0,EGFR,0.076791118,6446,83942
1,EGFR,0.929674675,24919,26804
2,EGFR,0.955301339,17119,17920
3,EGFR,0.966679288,12765,13205
4,EGFR,0.974551194,9880,10138
5,EGFR,0.979703264,8254,8425
6,EGFR,0.98452693,11644,11827
7,EGFR,0.984418257,40181,40817
-1,BUN,0.76235195,114057,149612
0,BUN,0.109497865,11335,103518
1,BUN,0.879932303,28076,31907
2,BUN,0.888993555,17931,20170
3,BUN,0.90191017,12229,13559
4,BUN,0.914350892,8818,9644
5,BUN,0.917800762,6744,7348
6,BUN,0.928106182,7552,8137
7,BUN,0.930966965,18543,19918
-1,CA,0.888029033,133112,149896
0,CA,0.252419027,18626,73790
1,CA,0.779959836,33401,42824
2,CA,0.859161148,21406,24915
3,CA,0.88912323,14755,16595
4,CA,0.901276887,10517,11669
5,CA,0.916704701,8034,8764
6,CA,0.930871403,9251,9938
7,CA,0.932970192,24664,26436
-1,CL,0.816638302,122361,149835
0,CL,0.277731041,24760,89151
1,CL,0.788593795,35661,45221
2,CL,0.850259506,23099,27167
3,CL,0.877385522,16229,18497
4,CL,0.892746388,11803,13221
5,CL,0.898703085,9147,10178
6,CL,0.909634551,9583,10535
7,CL,0.918407021,33070,36008
-1,CO2,0.819537265,122629,149632
0,CO2,0.317910696,21053,66223
1,CO2,0.817165575,34942,42760
2,CO2,0.869908815,22896,26320
3,CO2,0.886276684,15984,18035
4,CO2,0.896222757,11555,12893
5,CO2,0.901171153,8772,9734
6,CO2,0.915210115,9844,10756
7,CO2,0.911923353,24176,26511
-1,CR,0.673223456,101341,150531
0,CR,0.102154954,11690,114434
1,CR,0.83235946,24786,29778
2,CR,0.88573984,15845,17889
3,CR,0.902716624,10866,12037
4,CR,0.91452087,7778,8505
5,CR,0.921529175,5954,6461
6,CR,0.932417274,6650,7132
7,CR,0.9347753,16682,17846
-1,GLU,0.74252648,111252,149829
0,GLU,0.304153812,34012,111825
1,GLU,0.678209786,35096,51748
2,GLU,0.790683875,21320,26964
3,GLU,0.841755478,14059,16702
4,GLU,0.870792617,9624,11052
5,GLU,0.879258517,7020,7984
6,GLU,0.914735976,7778,8503
7,GLU,0.907463455,14092,15529
-1,GLOB,0.940364059,121401,129100
0,GLOB,0.357327586,3316,9280
1,GLOB,0.91542948,13812,15088
2,GLOB,0.945211532,8557,9053
3,GLOB,0.961314093,6262,6514
4,GLOB,0.970796999,4787,4931
5,GLOB,0.977788869,3918,4007
6,GLOB,0.98010308,8177,8343
7,GLOB,0.982783142,13129,13359
-1,K,0.918125199,138277,150608
0,K,0.571274492,19068,33378
1,K,0.87434361,40128,45895
2,K,0.909105586,28155,30970
3,K,0.921030683,20982,22781
4,K,0.929514394,15983,17195
5,K,0.937707043,13021,13886
6,K,0.948840679,15264,16087
7,K,0.959488172,80834,84247
-1,NA,0.862697481,129308,149888
0,NA,0.249459673,21122,84671
1,NA,0.828892165,36550,44095
2,NA,0.874873865,24276,27748
3,NA,0.894785992,17247,19275
4,NA,0.907234164,12704,14003
5,NA,0.911673365,9981,10948
6,NA,0.920643432,10302,11190
7,NA,0.933363525,43281,46371
-1,TBIL,0.92855622,122107,131502
0,TBIL,0.131095064,3522,26866
1,TBIL,0.942380216,15243,16175
2,TBIL,0.957229293,9176,9586
3,TBIL,0.972053634,6887,7085
4,TBIL,0.977212806,5189,5310
5,TBIL,0.980175715,4351,4439
6,TBIL,0.985548801,8593,8719
7,TBIL,0.985233442,13611,13815
-1,TP,0.887169204,116362,131161
0,TP,0.134674682,6071,45079
1,TP,0.711332532,12422,17463
2,TP,0.797052154,6327,7938
3,TP,0.859815005,4183,4865
4,TP,0.89580141,2923,3263
5,TP,0.909991742,2204,2422
6,TP,0.932877073,3544,3799
7,TP,0.944606414,5184,5488
-1,PHOS,0.709227424,17286,24373
0,PHOS,0.414322053,10750,25946
1,PHOS,0.707764953,10792,15248
2,PHOS,0.782593972,6933,8859
3,PHOS,0.819063545,4898,5980
4,PHOS,0.84933856,3467,4082
5,PHOS,0.854986877,2606,3048
6,PHOS,0.89123949,3286,3687
7,PHOS,0.878208955,5884,6700
-1,MG,0.849455207,38279,45063
0,MG,0.434398968,6400,14733
1,MG,0.90441479,15385,17011
2,MG,0.93784187,11316,12066
3,MG,0.94958956,9023,9502
4,MG,0.955121145,6938,7264
5,MG,0.955942791,5815,6083
6,MG,0.964738419,8372,8678
7,MG,0.967439277,31346,32401
-1,HCT,0.458983085,18072,39374
0,HCT,0.028223258,3349,118661
1,HCT,0.638844643,6016,9417
2,HCT,0.752505783,2928,3891
3,HCT,0.797034765,1559,1956
4,HCT,0.832895888,952,1143
5,HCT,0.832857143,583,700
6,HCT,0.863799283,482,558
7,HCT,0.88372093,988,1118
-1,HGB,0.400516004,15679,39147
0,HGB,0.023320799,2704,115948
1,HGB,0.620270961,4853,7824
2,HGB,0.749416861,2249,3001
3,HGB,0.806878307,1220,1512
4,HGB,0.840628507,749,891
5,HGB,0.84519573,475,562
6,HGB,0.866050808,375,433
7,HGB,0.875675676,810,925
-1,PLT,0.749739444,29494,39339
0,PLT,0.117784636,4885,41474
1,PLT,0.874661598,15185,17361
2,PLT,0.912875025,9189,10066
3,PLT,0.931169811,6169,6625
4,PLT,0.937038645,4316,4606
5,PLT,0.940133682,3235,3441
6,PLT,0.94438723,3668,3884
7,PLT,0.942848316,9156,9711
-1,WBC,0.700934337,27007,38530
0,WBC,0.211311598,8795,41621
1,WBC,0.815750936,15040,18437
2,WBC,0.879322303,8875,10093
3,WBC,0.885333742,5783,6532
4,WBC,0.908674754,3970,4369
5,WBC,0.900129282,2785,3094
6,WBC,0.924741012,3035,3282
7,WBC,0.929032258,6768,7285
-1,RBC,0.471785629,17800,37729
0,RBC,0.029633331,2313,78054
1,RBC,0.692127185,5899,8523
2,RBC,0.787870078,2741,3479
3,RBC,0.823220537,1411,1714
4,RBC,0.858510638,807,940
5,RBC,0.875,490,560
6,RBC,0.909893993,515,566
7,RBC,0.885835095,419,473
-1,PT,0.632695968,22269,35197
0,PT,0.086318203,3463,40119
1,PT,0.731661623,5077,6939
2,PT,0.792056075,2373,2996
3,PT,0.832752613,1434,1722
4,PT,0.856736243,903,1054
5,PT,0.891184573,647,726
6,PT,0.90628328,851,939
7,PT,0.914759274,1159,1267
-1,INR,0.699477154,24616,35192
0,INR,0.109839019,3780,34414
1,INR,0.797897341,6451,8085
2,INR,0.839340102,3307,3940
3,INR,0.866448177,2115,2441
4,INR,0.889925373,1431,1608
5,INR,0.9,1053,1170
6,INR,0.937149969,1506,1607
7,INR,0.928917609,2300,2476
-1,XPTT,0.715267955,18205,25452
0,XPTT,0.083165715,3101,37287
1,XPTT,0.603731599,3527,5842
2,XPTT,0.678482068,1627,2398
3,XPTT,0.789909639,1049,1328
4,XPTT,0.833137485,709,851
5,XPTT,0.861157025,521,605
6,XPTT,0.861236802,571,663
7,XPTT,0.888121547,1286,1448
