preceding,basename,prop,cilb,ciub,normal,cnt
-1,ALB,0.8370,0.8350,0.8390,110851,132437
0,ALB,0.0660,0.0640,0.0679,4100,62125
1,ALB,0.6551,0.6473,0.6628,9485,14479
2,ALB,0.7332,0.7215,0.7449,4042,5513
3,ALB,0.7999,0.7854,0.8143,2346,2933
4,ALB,0.8248,0.8070,0.8426,1445,1752
5,ALB,0.8596,0.8397,0.8794,1010,1175
6,ALB,0.9118,0.8984,0.9251,1581,1734
7,ALB,0.9085,0.8968,0.9202,2105,2317
-1,ALKP,0.7895,0.7873,0.7917,103545,131149
0,ALKP,0.1070,0.1039,0.1102,3919,36617
1,ALKP,0.9201,0.9156,0.9246,12821,13935
2,ALKP,0.9426,0.9375,0.9476,7778,8252
3,ALKP,0.9512,0.9457,0.9567,5633,5922
4,ALKP,0.9494,0.9429,0.9558,4200,4424
5,ALKP,0.9541,0.9473,0.9610,3412,3576
6,ALKP,0.9604,0.9555,0.9652,5962,6208
7,ALKP,0.9603,0.9567,0.9639,10812,11259
-1,ALT,0.7910,0.7888,0.7932,103936,131395
0,ALT,0.1248,0.1215,0.1282,4747,38023
1,ALT,0.8941,0.8891,0.8991,13094,14645
2,ALT,0.9220,0.9163,0.9277,7837,8500
3,ALT,0.9277,0.9212,0.9343,5623,6061
4,ALT,0.9262,0.9184,0.9340,4029,4350
5,ALT,0.9307,0.9222,0.9391,3208,3447
6,ALT,0.9399,0.9338,0.9460,5459,5808
7,ALT,0.9491,0.9447,0.9536,8898,9375
-1,AST,0.8081,0.8060,0.8102,105990,131158
0,AST,0.1575,0.1540,0.1610,6545,41557
1,AST,0.8687,0.8632,0.8742,12737,14662
2,AST,0.8973,0.8907,0.9039,7270,8102
3,AST,0.9119,0.9045,0.9193,5153,5651
4,AST,0.9121,0.9033,0.9210,3613,3961
5,AST,0.9312,0.9222,0.9401,2854,3065
6,AST,0.9394,0.9332,0.9457,5257,5596
7,AST,0.9492,0.9443,0.9542,7161,7544
-1,AG,0.9121,0.9107,0.9136,136324,149456
0,AG,0.4971,0.4913,0.5030,13926,28012
1,AG,0.9089,0.9061,0.9117,36069,39684
2,AG,0.9375,0.9346,0.9404,25380,27072
3,AG,0.9484,0.9453,0.9515,18912,19941
