"","protocol_id","protocol_name","ct_orderset","order_id","description","ct_dw30m","ct_order","prob_order","ct_dw30m_noorderset","ct_med_noorderset","rate_dw30m_orderset","rate_dw30m_noorderset","RR_dw30m","ct_nodw30m_orderset","ct_nodw30m_noorderset","RR_pvalue"
"1",522,"ED PNEUMONIA",423,"9487","CEFTRIAXONE 1 GRAM IV SOLR",3,4,0.00945626477541371,13,272,0.75,0.0477941176470588,15.6923076923077,1,259,1.01652852668246e-06
"2",522,"ED PNEUMONIA",423,"96559","PIPERACILLIN-TAZOBACTAM-DEXTRS 3.375 GRAM/50 ML IV PGBK",1,7,0.016548463356974,1067,10067,0.142857142857143,0.105989867885169,1.34783772928103,6,9000,0.999999999999992
"3",522,"ED PNEUMONIA",423,"96560","PIPERACILLIN-TAZOBACTAM-DEXTRS 4.5 GRAM/100 ML IV PGBK",1,68,0.160756501182033,290,2601,0.0147058823529412,0.111495578623606,0.131896551724138,67,2311,0.0197573814605168
"4",522,"ED PNEUMONIA",423,"115287","LEVOFLOXACIN IN D5W 500 MG/100 ML IV PGBK",6,14,0.033096926713948,156,1438,0.428571428571429,0.108484005563282,3.95054945054945,8,1282,0.0007817771890473
"5",522,"ED PNEUMONIA",423,"115288","LEVOFLOXACIN IN D5W 750 MG/150 ML IV PGBK",2,81,0.191489361702128,208,3699,0.0246913580246914,0.0562314138956475,0.439102564102564,79,3491,0.326737262386161
"6",522,"ED PNEUMONIA",423,"122689","ALBUTEROL SULFATE 2.5 MG/0.5 ML INH NEBU",1,5,0.0118203309692671,142,1409,0.2,0.100780695528744,1.98450704225352,4,1267,0.999999999999998
"7",522,"ED PNEUMONIA",423,"124216","VANCOMYCIN IN D5W 1 GRAM/200 ML IV PGBK",16,130,0.307328605200946,1951,16917,0.123076923076923,0.115327776792576,1.06719236683358,114,14966,0.890473267593354
"8",522,"ED PNEUMONIA",423,"520039","AZITHROMYCIN IVPB",3,48,0.113475177304965,127,2522,0.0625,0.0503568596352102,1.24114173228346,45,2395,0.961827304710995
"9",522,"ED PNEUMONIA",423,"540102","NS IV BOLUS",2,29,0.0685579196217494,2225,80957,0.0689655172413793,0.0274837259285794,2.50932196822937,27,78732,0.424926564469396
"10",522,"ED PNEUMONIA",423,"540967","PIPERACILLIN-TAZOBACTAM 4.5 GRAM/100 ML MINI-BAG PLUS",5,34,0.0803782505910166,135,2073,0.147058823529412,0.065123010130246,2.25816993464052,29,1938,0.119795551317201
"11",522,"ED PNEUMONIA",423,"541084","CEFEPIME 2 GRAM/100 ML MINI-BAG PLUS",5,39,0.0921985815602837,277,3459,0.128205128205128,0.0800809482509396,1.60094418217162,34,3182,0.42255456033726
"12",522,"ED PNEUMONIA",423,"541085","CEFTRIAXONE 1 GRAM/50 ML MINI-BAG PLUS",1,24,0.0567375886524823,411,7130,0.0416666666666667,0.0576437587657784,0.722830494728305,23,6719,0.999999999999745
"13",523,"ED AMI-STEMI PROTOCOL",203,"680","ASPIRIN 81 MG PO CHEW",6,32,0.157635467980296,357,11203,0.1875,0.031866464339909,5.88392857142857,26,10846,7.77346854982215e-06
"14",523,"ED AMI-STEMI PROTOCOL",203,"10176","HEPARIN (PORCINE) 1,000 UNIT/ML INJ SOLN",3,58,0.285714285714286,164,2898,0.0517241379310345,0.0565907522429262,0.914003364171573,55,2734,0.999999999999931
