,group_lab_name
CBC with Differential,750464
Chem 10,562769
Renal Function Panel,296139
"Metabolic Panel, Comprehensive",292846
POCT Urine Dipstick (10),154951
Urinalysis Macroscopic Only,150272
Manual Differential/Slide Review,142894
CBC with Diff,130870
Urinalysis With Microscopic,106118
POCT Urine Dipstick (9),79317
Red Blood Cells,78430
Glucose PCX Meter,76183
Hepatic Function Panel,56051
"Metabolic Panel, Basic",49555
"Magnesium, Ser/Plas",47217
CBC,45857
"Blood Gases, Arterial",42671
Antibody Screen,31748
Platelets,31350
Chem 23,30386
"Blood Gases, Venous",29706
Manual Differential,29560
Prothrombin Time,27782
Slide Review,27553
Blood Culture,25127
Gastroenteritis PCR Panel,24993
"Tacrolimus Level, FK506",23605
"iSTAT CG8, Arterial",19671
ABO Rh Typing,19152
Respiratory Virus PCR Panel,18104
"Phosphorus, Ser/Plas",17095
Respiratory Pathogen PCR Panel,16534
"Amino Acids, Plasma",15316
EKG 12-Lead,15046
"Uric Acid, Ser/Plas",13903
"LDH Total, Ser/Plas",13434
"Cell Count, CSF",12976
"Istat EG7, Arterial",12521
Gamma Glutamyl Trans,11841
"Fatty Acid Profile, Essential",11550
"Urinalysis Screen, Culture if Positive",11290
Urine Culture,11216
C Reactive Protein,10781
Fresh Frozen Plasma,10585
Part Thromboplastin Time,9905
"Vancomycin Level, Trough",9899
Fibrinogen,9633
Blood Culture (Aerobic & Anaerobic Bottles),9464
Transfusion Svc Prod 1,9200
"Calcium Ionized, Whole Blood",8984
"Vitamin D 25 Hydroxy, Serum",8910
MRSA Screen,8736
"Triglyceride, Ser/Plas",8449
HLA-IgG DSA,8414
Methotrexate Level,8155
"Differential, CSF",7866
"C1q, DSA",7805
Acylcarnitine Profile Quant,7506
Glucose By Meter,7150
HLA Typing,7046
"IgG, Screening",6538
"Reticulocyte Count, Automated",6485
"ACT, Istat Kaolin Venous",5667
"T Subsets and B Lymphs, BLD",5215
CBC with Diff and Slide Review,5176
"Ammonia, Plasma",4986
Transplant Therapy Monitoring,4918
"Bilirubin Direct, Ser/Plas",4900
Thromboelastograph Clot Profile,4895
"ESR, Sedimentation Rate Panel",4801
"Creatinine, Ser/Plas",4687
"Istat EG7,Venous",4370
"CMV DNA PCR Quant, Plasma",4226
"Epstein Barr PCR Quant, Plasma",4214
"Drugs of Abuse Screen, Urine",4111
"C1q, Screening",3895
Ferritin Level,3750
Transferrin Saturation,3575
"Sodium, Ser/Plas",3472
Blood Culture --,3468
Lipase Ser/Plas,3440
C1q Monitoring,3250
Cryoprecipitate,3245
Quantiferon Test Latent TB,3212
Fungus Culture,3165
TSH,2983
Fluid Culture/GS,2981
Anaerobic Culture,2967
Type and Screen,2943
"Differential, Body FLD",2907
Blood Culture (2 Aerobic Bottles),2859
"C Diff Toxin B, Qual Real Time PCR",2798
"Occult bld, Guaiac Diag",2796
"Istat CG4, Arterial",2791
Mycophenolic Acid Level,2785
"Protein Urine Random, w/Creat",2752
Free T4,2735
"Pregnancy Test, Urine",2679
"Albumin, Ser/Plas",2583
"Istat EC3, Arterial",2553
"Protein Total, CSF",2524
"Glucose, CSF",2524
Epstein Barr AB Panel,2507
Rituxan Panel,2392
"iSTAT CG8, Venous",2374
Transfusion Svc Prod 2,2296
"Cell Count and Diff, CSF --Tube #3",2275
"Cell Count, Body FLD",2243
Procalcitonin,2203
Lidocaine Level,2172
Sirolimus Level,2089
"IgG, Serum",2023
AFB Culture Nonsterile,1945
Cystic Fibrosis Respiratory Culture,1925
IgG Monitoring,1910
Celiac Disease Screen,1884
"Potassium, Ser/Plas",1871
"LMW Heparin, AntiXA",1843
Hematocrit,1800
"Tobramycin Level, Post Dose",1784
Specific ANA Panel,1756
HLA Meds/Sensitizing Event Communication (No Blood Draw),1746
Hemoglobin,1689
HSV DNA PCR Qual,1672
"Cell Count and Diff, FLD",1628
"Amylase, Ser/Plas",1551
CSF Culture/GS --,1548
Blood Type Verification,1548
"Istat CG4, Venous",1495
Adenovirus Real Time PCR Quant,1483
HIV Antigen/Antibody Screen,1449
"Tobramycin Level, Random",1436
HLA ALLO B FLOW CROSSMATCH,1424
Allo T Flow Crossmatch,1424
Carnitine Level Free and Total,1414
Lactic Acid Level,1396
Wound Culture,1377
Unlisted Lab,1370
Blood Culture --Central catheter,1354
AFB Culture Sterile,1342
"TEG, Perioperative",1338
Heparin Activity Level,1329
Hepatitis B Surf AB Quant,1313
"Creatine Kinase, Total",1311
Auto T Flow Crossmatch,1305
Auto B Flow Crossmatch,1299
Biopsy/Tissue with Gram Stain,1273
NT proBNP,1266
"Chlamydia/GC, NAAT",1265
"Amino Acids, Urine",1235
"Sodium, Urine Random w/Creat",1219
D Dimer,1193
S pneumoniae Ab IgG (23 Serotypes),1150
Cyclosporine Level,1099
CMV IgG,1075
T3 Total,1075
Aspergillus Galactomannan,1067
Prealbumin,1064
Luteinizing Hormone Level,1021
Hepatitis B Surf Ag,1017
Follicle Stimulating Hormone,1010
Specific Gravity Refractometer POC,985
"Calcium Ionized, Ser/Plas",964
Airborne Allergy Screen,961
B Cell Phenotyping Profile,932
"Bilirubin Total, Ser/Plas",923
Lipid Panel with Direct LDL,908
Dilute Russell Viper Venom w/Reflex,901
"Amino Acids, CSF",883
Flow Cytometry Order,881
Respiratory Culture/GS,879
"Urea Nitrogen, Ser/Plas",878
DIC Panel,859
"Electrolyte Panel, UR w/ Creat",856
Lipid Panel w/ Calculated LDL,840
"Fat Stain, Stool",839
Haptoglobin,810
"T Cell Phenotyping, Advanced",802
Wound Culture/GS,796
Hepatitis C AB IgG,793
Theophylline Level,791
"Organic Acids, Urine",787
BK Virus PCR Quant,786
"Zinc, Ser/Plas",785
Anti Nuclear AB,782
Anti-Platelet Therapy Response Assessment (Multiplate Method),766
Hemoglobin A1c,759
Immunoglobulin Panel,720
Valproic Acid Level,720
Herpes Simplex Virus IGG Panel,719
Varicella Zoster AB IgG,711
Mint Green Top,711
"Calcium, Ser/Plas",703
HLA DSA Screening-No Desensitiz/No IVIG,699
Stool Culture,698
HAV Antibody IgG,692
Lupus Anticoagulant,688
STR Chimerism,687
"Istat EG7, Other",671
Hepatitis Acute Panel,661
"Calcium Urine, Random w/Creat",658
"pH, Stool",657
"Estradiol, LC-MS/MS",654
Anticardiolipin Ab,651
Hepatitis B Core AB Total,648
CSF Protein & Immunofix Electrophoresis,645
Beta HCG Quant,643
