,lab,preceding,value
0,Sodium,-1,19178
1,Potassium,-1,19115
2,Creatinine,-1,19255
3,Magnesium,-1,15024
4,Phosphorus,-1,15439
5,White Cells,-1,16049
6,Hemoglobin,-1,16447
7,Platelets,-1,16029
8,Tacrolimus,-1,2485
9,Uric Acid,-1,1332
10,LDH,-1,1803
11,Sodium,0,18875
12,Potassium,0,17006
13,Creatinine,0,21454
14,Magnesium,0,21007
15,Phosphorus,0,22663
16,White Cells,0,28044
17,Hemoglobin,0,41413
18,Platelets,0,28148
19,Tacrolimus,0,805
20,Uric Acid,0,1230
21,LDH,0,4404
22,Sodium,1,18046
23,Potassium,1,17939
24,Creatinine,1,13565
25,Magnesium,1,13946
26,Phosphorus,1,15039
27,White Cells,1,6289
28,Hemoglobin,1,3004
29,Platelets,1,5884
30,Tacrolimus,1,2187
31,Uric Acid,1,752
32,LDH,1,863
33,Sodium,2,12170
34,Potassium,2,12242
35,Creatinine,2,9700
36,Magnesium,2,8892
37,Phosphorus,2,9161
38,White Cells,2,2816
39,Hemoglobin,2,980
40,Platelets,2,2854
41,Tacrolimus,2,1635
42,Uric Acid,2,585
43,LDH,2,541
44,Sodium,3,8312
45,Potassium,3,8558
46,Creatinine,3,7076
47,Magnesium,3,5896
48,Phosphorus,3,6012
49,White Cells,3,1458
50,Hemoglobin,3,465
51,Platelets,3,1644
52,Tacrolimus,3,1292
53,Uric Acid,3,476
54,LDH,3,379
55,Sodium,4,5520
56,Potassium,4,5688
57,Creatinine,4,4884
58,Magnesium,4,3692
59,Phosphorus,4,3839
60,White Cells,4,786
61,Hemoglobin,4,196
62,Platelets,4,996
63,Tacrolimus,4,966
64,Uric Acid,4,394
65,LDH,4,293
66,Sodium,5,3894
67,Potassium,5,4070
68,Creatinine,5,3686
69,Magnesium,5,2493
70,Phosphorus,5,2629
71,White Cells,5,482
72,Hemoglobin,5,120
73,Platelets,5,674
74,Tacrolimus,5,750
75,Uric Acid,5,321
76,LDH,5,207
77,Sodium,6,4036
78,Potassium,6,4444
79,Creatinine,6,4148
80,Magnesium,6,2569
81,Phosphorus,6,2515
82,White Cells,6,447
83,Hemoglobin,6,72
84,Platelets,6,614
85,Tacrolimus,6,1022
86,Uric Acid,6,306
87,LDH,6,231
