,lab,preceding,value
0,Sodium,0,40185
1,Potassium,0,39889
2,Creatinine,0,32769
3,Magnesium,0,28681
4,Phosphorus,0,33524
5,White Cells,0,26700
6,Hemoglobin,0,43069
7,Platelets,0,31008
8,Sodium,1,15077
9,Potassium,1,15792
10,Creatinine,1,9653
11,Magnesium,1,11819
12,Phosphorus,1,12349
13,White Cells,1,8206
14,Hemoglobin,1,6814
15,Platelets,1,7245
16,Sodium,2,10285
17,Potassium,2,9862
18,Creatinine,2,6911
19,Magnesium,2,7476
20,Phosphorus,2,7938
21,White Cells,2,4826
22,Hemoglobin,2,3412
23,Platelets,2,4148
24,Sodium,3,7382
25,Potassium,3,6366
26,Creatinine,3,5257
27,Magnesium,3,4987
28,Phosphorus,3,5255
29,White Cells,3,3027
30,Hemoglobin,3,1942
31,Platelets,3,2536
32,Sodium,4,5468
33,Potassium,4,4423
34,Creatinine,4,4292
35,Magnesium,4,3517
36,Phosphorus,4,3742
37,White Cells,4,1997
38,Hemoglobin,4,1219
39,Platelets,4,1626
40,Sodium,5,4297
41,Potassium,5,3209
42,Creatinine,5,3746
43,Magnesium,5,2673
44,Phosphorus,5,2889
45,White Cells,5,1370
46,Hemoglobin,5,830
47,Platelets,5,1057
48,Sodium,6,3740
49,Potassium,6,2639
50,Creatinine,6,4216
51,Magnesium,6,2551
52,Phosphorus,6,2527
53,White Cells,6,1015
54,Hemoglobin,6,559
55,Platelets,6,816
