procedure_cat,reference_code_set,code,proc_simple,proc_simple_comment,reference_description
AAA,CPT,35081,Vascular surgery,Aortic aneurysm repair,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associated occlusive disease, abdominal aorta"
AAA,CPT,35102,Vascular surgery,Aortic aneurysm repair,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associated occlusive disease, abdominal aorta involving iliac vessels (common, hypogastric, external)  "
AAA,CPT,35091,Vascular surgery,Aortic aneurysm repair,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associated occlusive disease, abdominal aorta involving visceral vessels (mesenteric, celiac, renal) "
AAA,CPT,35082,Vascular surgery,Aortic aneurysm repair,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, abdominal aorta  "
AAA,CPT,35103,Vascular surgery,Aortic aneurysm repair,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, abdominal aorta involving iliac vessels (common, hypogastric, external)  "
AAA,CPT,35092,Vascular surgery,Aortic aneurysm repair,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, abdominal aorta involving visceral vessels (mesenteric, celiac, renal)  "
AAA,CPT,34831,Vascular surgery,Aortic aneurysm repair,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; aorto-bi-iliac prosthesis "
AAA,CPT,34832,Vascular surgery,Aortic aneurysm repair,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; aorto-bifemoral prosthesis  "
AAA,CPT,34830,Vascular surgery,Aortic aneurysm repair,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; tube prosthesis  "
AAA,ICD-10-PCS,04B00ZZ,Vascular surgery,Aortic aneurysm repair,"Excision of Abdominal Aorta, Open Approach"
AAA,ICD-10-PCS,04B04ZZ,Vascular surgery,Aortic aneurysm repair,"Excision of Abdominal Aorta, Percutaneous Endoscopic Approach"
AAA,ICD-10-PCS,04R007Z,Vascular surgery,Aortic aneurysm repair,"Replacement of Abdominal Aorta with Autologous Tissue Substitute, Open Approach"
AAA,ICD-10-PCS,04R047Z,Vascular surgery,Aortic aneurysm repair,"Replacement of Abdominal Aorta with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
AAA,ICD-10-PCS,04R00KZ,Vascular surgery,Aortic aneurysm repair,"Replacement of Abdominal Aorta with Nonautologous Tissue Substitute, Open Approach"
AAA,ICD-10-PCS,04R04KZ,Vascular surgery,Aortic aneurysm repair,"Replacement of Abdominal Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
AAA,ICD-10-PCS,04R00JZ,Vascular surgery,Aortic aneurysm repair,"Replacement of Abdominal Aorta with Synthetic Substitute, Open Approach"
AAA,ICD-10-PCS,04R04JZ,Vascular surgery,Aortic aneurysm repair,"Replacement of Abdominal Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach"
AMP,CPT,24920,Orthopedic surgery,Arm amputation,"Amputation, arm through humerus; open, circular (guillotine) "
AMP,CPT,24930,Orthopedic surgery,Arm amputation,"Amputation, arm through humerus; re-amputation "
AMP,CPT,24931,Orthopedic surgery,Arm amputation,"Amputation, arm through humerus; with implant "
AMP,CPT,24900,Orthopedic surgery,Arm amputation,"Amputation, arm through humerus; with primary closure "
AMP,CPT,26951,Orthopedic surgery,Arm amputation,"Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; with direct closure "
AMP,CPT,26952,Orthopedic surgery,Arm amputation,"Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; with local advancement flaps (V-Y, hood) "
AMP,CPT,25900,Orthopedic surgery,Arm amputation,"Amputation, forearm, through radius and ulna"
AMP,CPT,25905,Orthopedic surgery,Arm amputation,"Amputation, forearm, through radius and ulna; open, circular (guillotine) "
AMP,CPT,25909,Orthopedic surgery,Arm amputation,"Amputation, forearm, through radius and ulna; re-amputation"
AMP,CPT,26910,Orthopedic surgery,Arm amputation,"Amputation, metacarpal, with finger or thumb (ray amputation), single, with or without interosseous transfer "
AMP,CPT,23920,Orthopedic surgery,Arm amputation,Disarticulation of shoulder
AMP,CPT,25920,Orthopedic surgery,Arm amputation,Disarticulation through wrist
AMP,CPT,25924,Orthopedic surgery,Arm amputation,Disarticulation through wrist; re-amputation 
AMP,CPT,25922,Orthopedic surgery,Arm amputation,Disarticulation through wrist; secondary closure or scar revision 
AMP,CPT,26236,Orthopedic surgery,Arm amputation,"Partial excision (craterization, saucerization, or diaphysectomy) bone (eg, osteomyelitis); distal phalanx of finger"
AMP,CPT,26235,Orthopedic surgery,Arm amputation,"Partial excision (craterization, saucerization, or diaphysectomy) bone (eg, osteomyelitis); proximal or middle phalanx of finger"
AMP,CPT,26551,Orthopedic surgery,Arm amputation,"Transfer, toe-to-hand with microvascular anastomosis; great toe wrap-around with bone graft "
AMP,CPT,25927,Orthopedic surgery,Arm amputation,Transmetacarpal amputation;  
AMP,CPT,25931,Orthopedic surgery,Arm amputation,Transmetacarpal amputation; re-amputation 
AMP,CPT,25929,Orthopedic surgery,Arm amputation,Transmetacarpal amputation; secondary closure or scar revision 
AMP,CPT,27888,Orthopedic surgery,Leg amputation,"Amputation, ankle, through malleoli of tibia and fibula (e.g., Syme, Pirogoff type procedures), with plastic closure and resection of nerves "
AMP,CPT,28800,Orthopedic surgery,Leg amputation,"Amputation, foot; midtarsal (e.g., Chopart type procedure) "
AMP,CPT,28805,Orthopedic surgery,Leg amputation,"Amputation, foot; transmetatarsal "
AMP,CPT,27880,Orthopedic surgery,Leg amputation,"Amputation, leg, through tibia and fibula; "
AMP,CPT,27882,Orthopedic surgery,Leg amputation,"Amputation, leg, through tibia and fibula; open, circular (guillotine) "
AMP,CPT,27886,Orthopedic surgery,Leg amputation,"Amputation, leg, through tibia and fibula; re-amputation "
AMP,CPT,27884,Orthopedic surgery,Leg amputation,"Amputation, leg, through tibia and fibula; secondary closure or scar revision "
AMP,CPT,27881,Orthopedic surgery,Leg amputation,"Amputation, leg, through tibia and fibula; with immediate fitting technique including application of first cast"
AMP,CPT,28810,Orthopedic surgery,Leg amputation,"Amputation, metatarsal, with toe, single "
AMP,CPT,27590,Orthopedic surgery,Leg amputation,"Amputation, thigh, through femur, any level; "
AMP,CPT,27591,Orthopedic surgery,Leg amputation,"Amputation, thigh, through femur, any level; immediate fitting technique including first cast "
AMP,CPT,27592,Orthopedic surgery,Leg amputation,"Amputation, thigh, through femur, any level; open, circular (guillotine) "
AMP,CPT,28825,Orthopedic surgery,Leg amputation,"Amputation, toe; interphalangeal joint "
AMP,CPT,28820,Orthopedic surgery,Leg amputation,"Amputation, toe; metatarsophalangeal joint "
AMP,CPT,27889,Orthopedic surgery,Leg amputation,Ankle disarticulation 
AMP,CPT,27598,Orthopedic surgery,Leg amputation,Disarticulation at knee
AMP,CPT,27295,Orthopedic surgery,Leg amputation,Disarticulation of hip 
AMP,CPT,28160,Orthopedic surgery,Leg amputation,"Hemiphalangectomy or interphalangeal joint excision, toe, proximal end of phalanx, each"
AMP,CPT,28124,Orthopedic surgery,Leg amputation,"Partial excision (craterization, saucerization, sequestrectomy, or diaphysectomy) bone (eg, osteomyelitis or bossing); phalanx of toe"
AMP,CPT,28126,Orthopedic surgery,Leg amputation,"Resection, partial or complete, phalangeal base, each toe"
AMP,CPT,27290,Orthopedic surgery,,Interpelviabdominal amputation (hindquarter amputation) 
AMP,CPT,23900,Orthopedic surgery,,Interthoracoscapular amputation (forequarter)
AMP,ICD-10-PCS,0X6C0ZZ,Orthopedic surgery,Arm amputation,"Detachment at Left Elbow Region, Open Approach"
AMP,ICD-10-PCS,0X610ZZ,Orthopedic surgery,Arm amputation,"Detachment at Left Forequarter, Open Approach"
