antibiotic_name,prescription_count,class_name
Amikacin,880,
Amoxicillin,15585,
Amoxicillin-Pot Clavulanate,71173,
Ampicillin,1618,
Ampicillin Sodium,2433,
Augmentin,3551,
Azithromycin,72519,
Aztreonam,1375,
Aztreonam In,1851,
Bactrim,2061,
Bactrim Ds,6975,
Cefadroxil,3395,
Cefazolin,91026,
Cefazolin In Dextrose,86656,
Cefdinir,14036,
Cefepime,5727,
Cefepime In,1636,
Cefoxitin,12890,
Cefpodoxime,26579,
Ceftazidime,643,
Ceftazidime-Dextrose,1415,
Ceftriaxone,56246,
Cefuroxime Axetil,3729,
Cephalexin,213739,
Cipro,11211,
Ciprofloxacin,3928,
Ciprofloxacin Hcl,166196,
Ciprofloxacin In,32757,
Ciprofloxacin-Dexamethasone,2517,
Clarithromycin,4852,
Clindamycin Hcl,10237,
Clindamycin In,16193,
Clindamycin Phosphate,13039,
Colistin,5551,
Dapsone,2617,
Dicloxacillin,689,
Doxycycline Hyclate,30281,
Doxycycline Monohydrate,5556,
Ertapenem,3234,
Erythromycin,8136,
Erythromycin Ethylsuccinate,1293,
Ethambutol,1784,
Fidaxomicin,2007,
Flagyl,1030,
Fosfomycin Tromethamine,6579,
Gatifloxacin,1158,
Gentamicin,8691,
Gentamicin In Nacl,1267,
Gentamicin-Sodium Citrate,14018,
Hiprex,661,
Isoniazid,2344,
Keflex,5613,
Levaquin,4842,
Levofloxacin,73744,
Levofloxacin In,46784,
Linezolid,8682,
Linezolid In Dextrose,3148,
Macrobid,14896,
Macrodantin,894,
Meropenem,1167,
Methenamine Hippurate,3358,
Methenamine Mandelate,568,
Metronidazole,32948,
Metronidazole In Nacl,67817,
Minocycline,1596,
Moxifloxacin,8749,
Moxifloxacin-Sod.Chloride(Iso),675,
Nitrofurantoin,253258,
Nitrofurantoin Macrocrystal,15178,
Ofloxacin,3153,
Penicillin,2802,
Piperacillin-Tazobactam,21760,
Piperacillin-Tazobactam-Dextrs,194573,
Rifabutin,535,
Rifampin,4643,
Rifaximin,21145,
Silver Sulfadiazine,2717,
Sulfamethoxazole-Trimethoprim,169941,
Tedizolid,530,
Tobramycin Sulfate,1713,
Tobramycin-Dexamethasone,786,
Trimethoprim,834,
Vancomycin,48210,
Vancomycin In,8961,
Vancomycin In Dextrose,44611,
Vancomycin-Diluent Combo,19683,
Xifaxan,1342,
Zithromax,8188,
Zyvox,579,
