antibiotic_name,prescription_count,class_name
Nitrofurantoin,253258,
Cephalexin,213739,
Piperacillin-Tazobactam-Dextrs,194573,
Sulfamethoxazole-Trimethoprim,169941,
Ciprofloxacin Hcl,166196,
Cefazolin,91026,
Cefazolin In Dextrose,86656,
Levofloxacin,73744,
Azithromycin,72519,
Amoxicillin-Pot Clavulanate,71173,
Metronidazole In Nacl,67817,
Ceftriaxone,56246,
Vancomycin,48210,
Levofloxacin In,46784,
Vancomycin In Dextrose,44611,
Metronidazole,32948,
Ciprofloxacin In,32757,
Doxycycline Hyclate,30281,
Cefpodoxime,26579,
Piperacillin-Tazobactam,21760,
Rifaximin,21145,
Vancomycin-Diluent Combo,19683,
Clindamycin In,16193,
Amoxicillin,15585,
Nitrofurantoin Macrocrystal,15178,
Macrobid,14896,
Cefdinir,14036,
Gentamicin-Sodium Citrate,14018,
Clindamycin Phosphate,13039,
Cefoxitin,12890,
Cipro,11211,
Clindamycin Hcl,10237,
Vancomycin In,8961,
Moxifloxacin,8749,
Gentamicin,8691,
Linezolid,8682,
Zithromax,8188,
Erythromycin,8136,
Bactrim Ds,6975,
Fosfomycin Tromethamine,6579,
Cefepime,5727,
Keflex,5613,
Doxycycline Monohydrate,5556,
Colistin,5551,
Clarithromycin,4852,
Levaquin,4842,
Rifampin,4643,
Ciprofloxacin,3928,
Cefuroxime Axetil,3729,
Augmentin,3551,
Cefadroxil,3395,
Methenamine Hippurate,3358,
Ertapenem,3234,
Ofloxacin,3153,
Linezolid In Dextrose,3148,
Penicillin,2802,
Silver Sulfadiazine,2717,
Dapsone,2617,
Ciprofloxacin-Dexamethasone,2517,
Ampicillin Sodium,2433,
Isoniazid,2344,
Bactrim,2061,
Fidaxomicin,2007,
Aztreonam In,1851,
Ethambutol,1784,
Tobramycin Sulfate,1713,
Cefepime In,1636,
Ampicillin,1618,
Minocycline,1596,
Ceftazidime-Dextrose,1415,
Aztreonam,1375,
Xifaxan,1342,
Erythromycin Ethylsuccinate,1293,
Gentamicin In Nacl,1267,
Meropenem,1167,
Gatifloxacin,1158,
Flagyl,1030,
Macrodantin,894,
Amikacin,880,
Trimethoprim,834,
Tobramycin-Dexamethasone,786,
Dicloxacillin,689,
Moxifloxacin-Sod.Chloride(Iso),675,
Hiprex,661,
Ceftazidime,643,
Zyvox,579,
Methenamine Mandelate,568,
Rifabutin,535,
Tedizolid,530,
