antibiotic_name,prescription_count
Piperacillin/Tazobactam,1145787
Sulfamethoxazole/Trimethoprim,474420
Cefazolin,343617
Nitrofurantoin,321903
Vancomycin,300997
Cephalexin,292010
Ciprofloxacin,276776
Metronidazole,227569
Amoxicillin/Clavulanate,187822
Gentamicin,102435
NYSTATIN 100,78282
AZITHROMYCIN 250 MG PO TABS,77237
Ceftriaxone,64959
ACYCLOVIR 400 MG PO TABS,63569
LEVOFLOXACIN 750 MG PO TABS,54149
LEVOFLOXACIN IN D5W 750 MG/150 ML IV PGBK,52997
000 UNIT/ML PO SUSP,44774
VALGANCICLOVIR 450 MG PO TABS,43166
LEVOFLOXACIN 500 MG PO TABS,42782
DOXYCYCLINE HYCLATE 100 MG PO CAPS,30062
CLOTRIMAZOLE 10 MG MM TROC,28615
FLUCONAZOLE IN NACL (ISO-OSM) 400 MG/200 ML IV PGBK,27922
CEFPODOXIME 200 MG PO TABS,27875
RIFAXIMIN 550 MG PO TABS,26513
FLUCONAZOLE 150 MG PO TABS,26199
000 UNIT/GRAM TP POWD,26021
POSACONAZOLE 100 MG PO TBEC,23451
MUPIROCIN 2 % TP OINT,23088
CLINDAMYCIN IN 5 % DEXTROSE 900 MG/50 ML IV PGBK,23034
FLUCONAZOLE 200 MG PO TABS,21424
TOBRAMYCIN IN 0.225 % NACL 300 MG/5 ML INH NEBU,21052
000 UNIT/GRAM TP OINT,19636
LEVOFLOXACIN IN D5W 500 MG/100 ML IV PGBK,19035
CLINDAMYCIN IN 5 % DEXTROSE 600 MG/50 ML IV PGBK,18522
ENTECAVIR 0.5 MG PO TABS,18304
CEFDINIR 300 MG PO CAPS,16654
OSELTAMIVIR 75 MG PO CAPS,16525
FOSFOMYCIN TROMETHAMINE 3 GRAM PO PACK,16330
ITRACONAZOLE 10 MG/ML PO SOLN,15791
MACROBID 100 MG PO CAPS,15748
AZITHROMYCIN 500 MG PO TABS,15056
ACYCLOVIR 200 MG PO CAPS,15002
BACTRIM DS 800-160 MG PO TABS,14886
AMOXICILLIN 500 MG PO CAPS,14624
VORICONAZOLE 200 MG PO TABS,13057
CAYSTON 75 MG/ML INH NEBU,12878
BACITRACIN-POLYMYXIN B 500-10,12696
CEFOXITIN 1 GRAM IV SOLR,12349
LETERMOVIR 480 MG PO TABS,11422
LINEZOLID 600 MG PO TABS,11229
CLINDAMYCIN HCL 300 MG PO CAPS,10562
BACITRACIN ZINC 500 UNIT/GRAM TP OINT,10542
ERYTHROMYCIN 5 MG/GRAM (0.5 %) OPHT OINT,9328
VALACYCLOVIR 500 MG PO TABS,9294
CLOTRIMAZOLE 1 % TP CREA,9162
DOXYCYCLINE HYCLATE 100 MG PO TABS,8674
FLUCONAZOLE IN NACL (ISO-OSM) 200 MG/100 ML IV PGBK,8646
VALACYCLOVIR 1 GRAM PO TABS,8603
CIPRO 500 MG PO TABS,8521
CEFPODOXIME 100 MG PO TABS,8325
VALGANCICLOVIR 50 MG/ML PO SOLR,8279
ITRACONAZOLE 100 MG PO CAPS,8272
MOXIFLOXACIN 400 MG PO TABS,7837
CLINDAMYCIN PHOSPHATE 150 MG/ML INJ SOLN,7265
KETOCONAZOLE 2 % TP CREA,7024
COLISTIN (COLISTIMETHATE NA) 150 MG INJ SOLR,6778
BACITRACIN 50,6658
000 UNIT IM SOLR,6658
000 UNIT/GRAM TP CREA,6621
LEVOFLOXACIN 250 MG PO TABS,6603
RIFAXIMIN 200 MG PO TABS,6517
Rifampin,6265
ISAVUCONAZONIUM SULFATE 186 MG PO CAPS,5933
FLUCONAZOLE 100 MG PO TABS,5592
NEOMYCIN-BACITRACNZN-POLYMYXNB 3.5MG-400 UNIT- 5,5379
NYSTATIN-TRIAMCINOLONE 100,5280
AUGMENTIN 875-125 MG PO TABS,5246
ZITHROMAX Z-PAK 250 MG PO TABS,5112
ACYCLOVIR 800 MG PO TABS,4834
BACTRIM 400-80 MG PO TABS,4610
DOXYCYCLINE MONOHYDRATE 100 MG PO TABS,4594
CLOTRIMAZOLE-BETAMETHASONE 1-0.05 % TP CREA,4588
KEFLEX 500 MG PO CAPS,4381
KETOCONAZOLE 2 % TP SHAM,4357
Penicillin,4311
OSELTAMIVIR 6 MG/ML PO SUSR,4261
Cefuroxime,4200
MOXIFLOXACIN 0.5 % OPHT DROP,4195
Ceftazidime,4044
AZTREONAM IN DEXTROSE(ISO-OSM) 1 GRAM/50 ML IV PGBK,3993
TOBI 300 MG/5 ML INH NEBU,3862
CLARITHROMYCIN 500 MG PO TABS,3834
SECURA ANTIFUNGAL EXTRA THICK 2 % TP CREA,3818
000 UNIT/G-0.1 % OPHT OINT,3774
METHENAMINE HIPPURATE 1 GRAM PO TABS,3740
LINEZOLID IN DEXTROSE 5% 600 MG/300 ML IV PGBK,3685
NEOMYCIN-POLYMYXIN B-DEXAMETH 3.5 MG/G-10,3684
BACITRACIN ZINC-POLYMYXIN B 500-10,3617
DAPSONE 100 MG PO TABS,3517
ERTAPENEM 1 GRAM INJ SOLR,3492
000 UNIT/GRAM OPHT OINT,3482
TERBINAFINE HCL 1 % TP CREA,3434
RIBAVIRIN 200 MG PO CAPS,3391
FIDAXOMICIN 200 MG PO TABS,3382
TOBI PODHALER 28 MG INH CAPS,3346
SILVER SULFADIAZINE 1 % TP CREA,3242
AZTREONAM LYSINE 75 MG/ML INH NEBU,3196
CEFEPIME 2 GRAM INJ SOLR,3184
000-0.1 UNIT/G-% TP CREA,3180
LEVAQUIN 750 MG PO TABS,3157
Polymyxin B,3014
ZITHROMAX 500 MG PO TABS,2955
CEFADROXIL 500 MG PO CAPS,2860
AZTREONAM IN DEXTROSE(ISO-OSM) 2 GRAM/50 ML IV PGBK,2844
TENOFOVIR DISOPROXIL FUMARATE 300 MG PO TABS,2718
NEOMYCIN 500 MG PO TABS,2675
ISONIAZID 300 MG PO TABS,2666
CEFEPIME IN DEXTROSE,2658
BICTEGRAV-EMTRICIT-TENOFOV ALA 50-200-25 MG PO TABS,2631
ECONAZOLE 1 % TP CREA,2617
Ethambutol,2541
TENOFOVIR ALAFENAMIDE 25 MG PO TABS,2518
AMPHOTERICIN B 50 MG INJ SOLR,2504
POSACONAZOLE 200 MG/5 ML (40 MG/ML) PO SUSP,2455
000 UNIT/ML-0.1 % OPHT DRPS,2451
NEOMYCIN-POLYMYXIN-HC 3.5-10,2448
CLINDAMYCIN PHOSPHATE 1 % TP SOLN,2430
CIPRO 250 MG PO TABS,2390
CLINDAMYCIN HCL 150 MG PO CAPS,2353
ISO-OSM 1 GRAM/50 ML IV PGBK,2325
NEOMYCIN-POLYMYXIN B-DEXAMETH 3.5MG/ML-10,2319
