Table,Code,Description,num_patient,Score
Medication,P2B,VASOPRESSIN 20 UNIT/ML IV SOLN,10043,519.794405044615
Medication,P2B,VASOPRESSIN 20 UNIT/ML INJ SOLN,3391,519.794405044615
Medication,P2B,VASOPRESSIN IN 0.9 % SOD CHLOR 60 UNIT/100 ML (0.6 UNIT/ML) IV SOLN,2718,519.794405044615
Medication,P2B,DESMOPRESSIN 4 MCG/ML INJ SOLN,1374,519.794405044615
Medication,P2B,DESMOPRESSIN 0.1 MG PO TABS,1158,519.794405044615
Medication,D1D,CHLORHEXIDINE GLUCONATE 0.12 % MM MWSH,44650,492.3485923652703
Medication,D1D,TRIAMCINOLONE ACETONIDE 0.1 % DENTAL PSTE,2993,492.3485923652703
Medication,D1D,PAROEX ORAL RINSE 0.12 % MM MWSH,352,492.3485923652703
Medication,D1D,PERIDEX 0.12 % MM MWSH,283,492.3485923652703
Medication,D1D,ORALONE 0.1 % DENTAL PSTE,136,492.3485923652703
Pocedure,311,"BLOOD GASES, ARTERIAL",74180,346.37401515894663
Pocedure,311,ARTERIAL BLOOD GAS,46013,346.37401515894663
Pocedure,349,"CALCIUM IONIZED, SERUM/PLASMA",63372,331.8942930675525
Pocedure,349,"CALCIUM IONIZED, WHOLE BLOOD",33086,331.8942930675525
Diagnosis,RSP012,Acute respiratory failure with hypoxia,12114,304.897102341547
Diagnosis,RSP012,Acute respiratory failure (CMS-HCC),10319,304.897102341547
Diagnosis,RSP012,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",4850,304.897102341547
Diagnosis,RSP012,Acute and chronic respiratory failure with hypoxia,3870,304.897102341547
Diagnosis,RSP012,Acute respiratory failure with hypoxia (CMS-HCC),3129,304.897102341547
Pocedure,456456,TRANSFUSE RED BLOOD CELLS,40252,302.705804228714
Medication,R1M,FUROSEMIDE 10 MG/ML INJ SOLN,62358,292.44171197579794
Medication,R1M,FUROSEMIDE 20 MG PO TABS,55422,292.44171197579794
Medication,R1M,FUROSEMIDE 40 MG PO TABS,34906,292.44171197579794
Medication,R1M,LASIX 20 MG PO TABS,11992,292.44171197579794
Medication,R1M,LASIX 40 MG PO TABS,8573,292.44171197579794
Pocedure,118571,PHYSICAL ACTIVITY,263527,284.99969191993114
Diagnosis,RSP016,"Other diseases of lung, not elsewhere classified",22159,283.6746074981415
Diagnosis,RSP016,Chronic pulmonary edema,14987,283.6746074981415
Diagnosis,RSP016,Pulmonary congestion and hypostasis,11485,283.6746074981415
Diagnosis,RSP016,Other disorders of lung,10766,283.6746074981415
Diagnosis,RSP016,Other specified respiratory disorders,8171,283.6746074981415
Pocedure,419036,"LACTATE, WHOLE BLOOD",38859,249.02267714911872
