feature,min_bin_1,min_bin_2,min_bin_3,min_bin_4
Age,42,56,66,76
CRP,1.100000000,3.500000000,8.300000000,19.400000000
K,3.600000000,3.900000000,4.200000000,4.500000000
CAION,1.030000000,1.100000000,1.150000000,1.220000000
CA,8.200000000,8.700000000,9.000000000,9.300000000
CR,0.700000000,0.900000000,1.100000000,1.500000000
LAC,0.900000000,1.300000000,1.800000000,2.700000000
HGB,8.900000000,10.500000000,12.000000000,13.500000000
RBC,2.980000000,3.510000000,4.010000000,4.510000000
ALB,2.700000000,3.200000000,3.600000000,3.900000000
PHOS,2.700000000,3.200000000,3.700000000,4.300000000
NA,134.000000000,136.000000000,138.000000000,140.000000000
PCO2V,34.400000000,39.300000000,43.900000000,49.700000000
MG,1.700000000,1.900000000,2.000000000,2.200000000
CO2,23.000000000,25.000000000,27.000000000,29.000000000
PHA,7.320000000,7.370000000,7.410000000,7.450000000
NEUTAB,3.080000000,4.670000000,6.470000000,9.630000000
PCO2A,34.200000000,37.700000000,41.100000000,46.000000000
HCT,27.100000000,31.700000000,36.000000000,40.500000000
GLU,98.000000000,114.000000000,137.000000000,180.000000000
LYM,7.000000000,12.100000000,18.100000000,27.000000000
PO2A,69.000000000,108.000000000,171.000000000,250.000000000
PLT,127.000000000,185.000000000,232.000000000,300.000000000
PHV,7.330000000,7.370000000,7.410000000,7.440000000
CL,98.000000000,101.000000000,103.000000000,106.000000000
WBC,4.900000000,6.700000000,8.700000000,11.900000000
PO2V,23.000000000,30.000000000,37.000000000,48.000000000
MONO,5.000000000,7.000000000,8.700000000,11.200000000
BUN,11.000000000,15.000000000,20.000000000,31.000000000
ESR,14.000000000,30.000000000,49.000000000,87.000000000
TNI,0.010000000,0.043000000,0.679000000,9999999.000000000
Resp Rate,10.0,12.0,12.0,15.0
Temp,96.3,97.4,98.0,98.5
FiO2,47.0,55.0,60.0,92.0
N2O,0.0,0.0,0.0,0.0
VO2,210.0,270.0,320.0,380.0
Resp,16.0,18.0,18.0,20.0
SpO2,95.0,97.0,98.0,100.0
ETCO2,30.0,34.0,36.0,39.0
Heart Rate,60.0,68.0,77.0,89.0
Pulse,67.0,77.0,87.0,100.0
O2,0.65,1.0,1.32,2.6
