features,indices
D63.8,0
HCT_2,1
N17.9,2
N18.9,3
PHA_0,4
PLT_4,5
R10.9,6
PHOS_1,7
PHOS_3,8
SpO2_0,9
D72.829,10
K56.609,11
Pulse_3,12
S31.109A,13
ERTAPENEM 1 G IVPB,14
MORPHINE 2 MG/ML INJ SYRG,15
MAGNESIUM SULFATE IV SCALE ,16
ACETAMINOPHEN 500 MG PO TABS,17
PROMETHAZINE 25 MG/ML INJ SOLN,18
NA_3,19
BUN_1,20
CAION_3,21
REFERENCE REPORT,22
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,23
METRONIDAZOLE IN NACL (ISO-OS) 500 MG/100 ML IV PGBK,24
NS IV BOLUS,25
HCT_0,26
HGB_0,27
CAION_4,28
PROTHROMBIN TIME,29
"BLOOD GASES, ARTERIAL",30
LAB PROCEDURE SCANNED REPORT,31
CL_3,32
ALB_0,33
BUN_3,34
PLT_3,35
TPN ADULT STANDARD,36
CR_4,37
AB ID,38
CO2_0,39
RBC_1,40
WBC_4,41
TROPONIN I,42
CA_0,43
GLU_2,44
"CALCIUM IONIZED, SERUM/PLASMA",45
"BILIRUBIN DIRECT, SERUM/PLASMA",46
SpO2_2,47
SpO2_3,48
"METABOLIC PANEL, BASIC",49
Pulse_4,50
CA_2,51
NA_4,52
GLU_4,53
K63.2,54
K81.9,55
K91.2,56
PHA_1,57
WBC_1,58
WBC_2,59
PHOS_2,60
Temp_1,61
NEUTAB_3,62
POTASSIUM CHLORIDE IV SCALE,63
OTHER PROCEDURE SCANNED REPORT,64
DIPHENHYDRAMINE HCL 50 MG/ML INJ SOLN,65
OXYCODONE-ACETAMINOPHEN 5-325 MG PO TABS,66
DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML INJ SOLN,67
PHOS_0,68
PCO2A_3,69
K_4,70
TNI_3,71
Resp_4,72
BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLES),73
BUN_2,74
GLU_3,75
RBC_0,76
FAT EMULSION 20 % IV EMUL,77
"TRIGLYCERIDES, SERUM / PLASMA",78
CR_3,79
HGB_1,80
"MAGNESIUM, SERUM/PLASMA",81
"PHOSPHORUS, SERUM/PLASMA",82
Resp_0,83
SpO2_1,84
MG_3,85
MG_4,86
Age_2,87
E87.2,88
HGB_2,89
PHA_2,90
R19.7,91
PO2A_1,92
PCO2A_1,93
race_Black,94
sex_Female,95
race_Non-Hispanic,96
LORAZEPAM 2 MG/ML INJ SOLN,97
ACETAMINOPHEN 325 MG PO TABS,98
FENTANYL (PF) 50 MCG/ML INJECTION,99
MEPERIDINE (PF) 25 MG/ML INJ SYRG,100
K_3,101
CO2_2,102
WBC_3,103
URINE CULTURE,104
ALTEPLASE 2 MG INJ SOLR,105
"POTASSIUM, SERUM/PLASMA",106
PANTOPRAZOLE 40 MG IV SOLR,107
NALOXONE 0.4 MG/ML INJ SOLN,108
DEXTROSE 5%-1/2 NORMAL SALINE IV SOLP,109
DIATRIZOATE MEGLUMINE & SODIUM 66-10 % PO SOLN,110
K_0,111
CL_2,112
HYDROMORPHONE (PF) 2 MG/ML INJ SOLN,113
K_2,114
CA_1,115
CO2_1,116
PREALBUMIN,117
PLT_2,118
CBC WITH DIFF,119
TYPE AND SCREEN,120
"METABOLIC PANEL, COMPREHENSIVE",121
Heart Rate_4,122
Resp_1,123
CBC,124
Temp_4,125
MG_1,126
C53.9,127
K52.0,128
LYM_1,129
WBC_0,130
MONO_2,131
Temp_3,132
DummyFeature,133
