med_description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,fisher_pval
PATCH CHECK,0.19230769230769232,10,42,16,0.015873015873015872,1,62,1,0.0023510947534331732
POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.21153846153846154,11,41,19,0.031746031746031744,2,61,2,0.0029079024443280236
MIDAZOLAM 1 MG/ML INJ SOLN,0.19230769230769232,10,42,13,0.031746031746031744,2,61,4,0.00609366784001788
METOCLOPRAMIDE HCL 10 MG PO TABS,0.19230769230769232,10,42,17,0.031746031746031744,2,61,3,0.00609366784001788
ELECTROLYTE-R (PH 7.4) IV SOLP,0.6923076923076923,36,16,52,0.4444444444444444,28,35,31,0.008850522615730692
OXYCODONE 5 MG PO TABS,0.6923076923076923,36,16,124,0.4444444444444444,28,35,55,0.008850522615730692
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.2692307692307692,14,38,19,0.07936507936507936,5,58,6,0.010368573893649827
LIDOCAINE 4 % TP CREA,0.15384615384615385,8,44,10,0.015873015873015872,1,62,1,0.010630755258269868
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),0.6538461538461539,34,18,101,0.4126984126984127,26,37,54,0.014513375492109695
LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,0.4807692307692308,25,27,44,0.25396825396825395,16,47,22,0.01839936626030332
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV SOLN",0.3076923076923077,16,36,42,0.12698412698412698,8,55,13,0.02181461216124432
SODIUM PHOSPHATE IVPB,0.1346153846153846,7,45,9,0.015873015873015872,1,62,1,0.02206959701395867
SCOPOLAMINE BASE 1 MG OVER 3 DAYS TD PT3D,0.1346153846153846,7,45,14,0.015873015873015872,1,62,1,0.02206959701395867
LORAZEPAM 2 MG/ML INJ SOLN,0.2692307692307692,14,38,36,0.09523809523809523,6,57,18,0.0244152429466281
ATORVASTATIN 40 MG PO TABS,0.057692307692307696,3,49,4,0.20634920634920634,13,50,19,0.02934164731323277
METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,0.36538461538461536,19,33,45,0.1746031746031746,11,52,17,0.03196622423128069
IOHEXOL 350 MG IODINE/ML IV SOLN (RADIOLOGY) 100 ML,0.17307692307692307,9,43,10,0.047619047619047616,3,60,4,0.034978801566368366
SODIUM CHLORIDE 0.9 % IV SOLP,0.6346153846153846,33,19,55,0.42857142857142855,27,36,33,0.038875286439687726
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJ SOLN,0.6346153846153846,33,19,67,0.42857142857142855,27,36,36,0.038875286439687726
POTASSIUM CHLORIDE IN WATER 10 MEQ/50 ML IV PGBK,0.15384615384615385,8,44,11,0.031746031746031744,2,61,2,0.04126399127314648
ACETAMINOPHEN 500 MG PO TABS,0.46153846153846156,24,28,35,0.2698412698412698,17,46,22,0.04985663264717788
HYDROMORPHONE 1 MG/ML INJ SYRG,0.5576923076923077,29,23,105,0.38095238095238093,24,39,58,0.06365879417039685
INSULIN GLARGINE 100 UNIT/ML SC SOLN,0.019230769230769232,1,51,7,0.1111111111111111,7,56,18,0.07070991893793593
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.7692307692307693,40,12,76,0.6031746031746031,38,25,50,0.07200258016230159
LACTATED RINGERS IV SOLP,0.1346153846153846,7,45,9,0.031746031746031744,2,61,2,0.07642489026733004
ACETAMINOPHEN 650 MG/20.3 ML PO SOLN,0.1346153846153846,7,45,11,0.031746031746031744,2,61,2,0.07642489026733004
NORMOSOL-R IV BOLUS - 500 ML,0.17307692307692307,9,43,16,0.06349206349206349,4,59,4,0.08017331911352396
"HEPARIN, PORCINE (PF) 5,000 UNIT/0.5 ML INJ SOLN",0.17307692307692307,9,43,10,0.06349206349206349,4,59,4,0.08017331911352396
DIPHENHYDRAMINE HCL 50 MG/ML INJ SOLN,0.17307692307692307,9,43,15,0.06349206349206349,4,59,8,0.08017331911352396
LIDOCAINE 5 % TP PTMD,0.25,13,39,21,0.1111111111111111,7,56,13,0.08187290667890391
PANTOPRAZOLE 40 MG PO TBEC,0.5384615384615384,28,24,48,0.36507936507936506,23,40,39,0.08929350475500382
GABAPENTIN 600 MG PO TABS,0.09615384615384616,5,47,8,0.015873015873015872,1,62,2,0.08957454216865729
NARCAN 4 MG/ACTUATION NASAL SPRY,0.09615384615384616,5,47,5,0.015873015873015872,1,62,1,0.08957454216865729
AMIODARONE 200 MG PO TABS,0.09615384615384616,5,47,6,0.015873015873015872,1,62,1,0.08957454216865729
SUCRALFATE 1 GRAM PO TABS,0.09615384615384616,5,47,6,0.015873015873015872,1,62,2,0.08957454216865729
ONDANSETRON HCL 8 MG PO TABS,0.09615384615384616,5,47,8,0.015873015873015872,1,62,3,0.08957454216865729
GABAPENTIN 300 MG PO CAPS,0.19230769230769232,10,42,32,0.07936507936507936,5,58,7,0.09664787786609497
PREDNISONE 5 MG PO TABS,0.019230769230769232,1,51,1,0.09523809523809523,6,57,9,0.1255953793964365
BISACODYL 10 MG PR SUPP,0.3269230769230769,17,35,30,0.19047619047619047,12,51,19,0.13061548049412247
TRAZODONE 50 MG PO TABS,0.15384615384615385,8,44,14,0.06349206349206349,4,59,6,0.1351536830942638
POTASSIUM CHLORIDE 10 MEQ PO TBTQ,0.11538461538461539,6,46,12,0.031746031746031744,2,61,2,0.13793075264158838
SUCRALFATE 100 MG/ML PO SUSP,0.11538461538461539,6,46,15,0.031746031746031744,2,61,5,0.13793075264158838
CYCLOBENZAPRINE 10 MG PO TABS,0.11538461538461539,6,46,11,0.031746031746031744,2,61,2,0.13793075264158838
*PO TO FT CONVERSION PER PHARMACY PROTOCOL,0.11538461538461539,6,46,6,0.031746031746031744,2,61,2,0.13793075264158838
