description,frac_hi,n_pat_hi,no_ttt_hi,n_pres_hi,frac_lo,n_pat_lo,no_ttt_lo,n_pres_lo,odds_ratio,fisher_pval
CIRCUIT IONIZED CALCIUM,0.2,9,36,386,0.007,1,133,3,33.25,< 10^-4
BRONCHOSCOPY,0.2,9,36,15,0.007,1,133,1,33.25,< 10^-4
Bronchoscopy,0.2,9,36,15,0.007,1,133,1,33.25,< 10^-4
"CREATININE, URINE (TIMED)",0.156,7,38,16,0.007,1,133,3,24.5,< 10^-3
TEMPERATURE THERAPY,0.156,7,38,25,0.007,1,133,3,24.5,< 10^-3
CONSULT TO PHARMACY,0.156,7,38,45,0.007,1,133,3,24.5,< 10^-3
SRA UNFRACTIONATED HEPARIN,0.156,7,38,23,0.007,1,133,2,24.5,< 10^-3
US UPPER EXTREMITY VEINS DEEP VEIN THROMBOSIS LEFT,0.156,7,38,17,0.007,1,133,2,24.5,< 10^-3
"UREA NITROGEN, SERUM/PLASMA",0.133,6,39,35,0.007,1,133,2,20.46,0.001
TSH W/ REFLEX FT4,0.133,6,39,22,0.007,1,133,2,20.46,0.001
"IRON, TOTAL",0.133,6,39,20,0.007,1,133,2,20.46,0.001
IR CV IR BODY PROCEDURE,0.133,6,39,16,0.007,1,133,2,20.46,0.001
FIBRINOGEN,0.978,44,1,482,0.687,92,42,400,20.09,< 10^-4
VANCOMYCIN RANDOM LEVEL,0.222,10,35,168,0.015,2,132,19,18.86,< 10^-4
PREALBUMIN,0.111,5,40,38,0.007,1,133,2,16.63,0.004
RECTAL TUBE,0.111,5,40,25,0.007,1,133,3,16.63,0.004
"T4, FREE",0.111,5,40,12,0.007,1,133,2,16.63,0.004
SITTER REQUIRED,0.111,5,40,33,0.007,1,133,10,16.63,0.004
"AMMONIA, PLASMA",0.267,12,33,82,0.022,3,131,6,15.88,< 10^-5
CONSULT TO INTERVENTIONAL RADIOLOGY,0.178,8,37,52,0.015,2,132,5,14.27,< 10^-3
R/O MRSA BY PCR,0.178,8,37,25,0.015,2,132,7,14.27,< 10^-3
CONSULT TO WOUND/OSTOMY,0.178,8,37,43,0.015,2,132,4,14.27,< 10^-3
VOLUME BASED TUBE FEEDING PROTOCOL,0.089,4,41,12,0.007,1,133,3,12.98,0.015
HEPATITIS C RNA PCR QUANTITATIVE,0.089,4,41,11,0.007,1,133,3,12.98,0.015
RESP - INDIRECT CALORIMETRY,0.089,4,41,13,0.007,1,133,9,12.98,0.015
DIRECT COOMBS BROAD SPECTRUM,0.089,4,41,15,0.007,1,133,2,12.98,0.015
MR BRAIN W AND WO IV CONTRAST STROKE,0.089,4,41,10,0.007,1,133,5,12.98,0.015
RESP - ABG PUNCTURE,0.089,4,41,24,0.007,1,133,6,12.98,0.015
FLAT IN BED,0.089,4,41,9,0.007,1,133,2,12.98,0.015
NM HEPATOBILIARY,0.089,4,41,15,0.007,1,133,2,12.98,0.015
NO NSAIDS,0.222,10,35,130,0.022,3,131,14,12.48,< 10^-4
PWP CONVERSION INTERNAL RESULTS,0.956,43,2,106,0.634,85,49,174,12.39,< 10^-5
CONSULT TO PSYCHIATRY,0.156,7,38,23,0.015,2,132,4,12.16,0.001
"OSMOLALITY, SERUM",0.156,7,38,154,0.015,2,132,4,12.16,0.001
URINE CULTURE,0.267,12,33,27,0.03,4,130,12,11.82,< 10^-4
CENTRAL LINE SEPTEMBER,0.2,9,36,18,0.022,3,131,3,10.92,< 10^-3
HEP B SURF AB QUANT,0.2,9,36,22,0.022,3,131,6,10.92,< 10^-3
"CALCIUM, SERUM/PLASMA",0.2,9,36,109,0.022,3,131,6,10.92,< 10^-3
Central line,0.2,9,36,16,0.022,3,131,3,10.92,< 10^-3
HBSAG,0.244,11,34,29,0.03,4,130,8,10.51,< 10^-4
Arterial line,0.378,17,28,29,0.06,8,126,8,9.56,< 10^-5
HELICOBACTER PYLORI AB,0.067,3,42,6,0.007,1,133,2,9.5,0.05
WOUND VAC,0.067,3,42,38,0.007,1,133,19,9.5,0.05
CT ABDOMEN PELVIS ANGIOGRAPHY W AND WO IV CONTRAST,0.067,3,42,13,0.007,1,133,3,9.5,0.05
"UREA NITROGEN, URINE (TIMED)",0.067,3,42,8,0.007,1,133,2,9.5,0.05
CT CHEST ABDOMEN PELVIS W IV CONTRAST,0.067,3,42,6,0.007,1,133,2,9.5,0.05
US ABDOMEN DOPPLER LIMITED,0.067,3,42,7,0.007,1,133,2,9.5,0.05
EEG - CONTINUOUS,0.178,8,37,33,0.022,3,131,9,9.44,< 10^-3
NSG REFERRAL TO WOUND/OSTOMY,0.178,8,37,20,0.022,3,131,6,9.44,< 10^-3
US RETROPERITONEUM KIDNEY DOPPLER,0.178,8,37,26,0.022,3,131,11,9.44,< 10^-3
NT - PROBNP,0.267,12,33,32,0.037,5,129,12,9.38,< 10^-4
CONSULT TO NUTRITION,0.467,21,24,94,0.09,12,122,47,8.9,< 10^-6
ARTERIAL LINE,0.378,17,28,29,0.067,9,125,9,8.43,< 10^-5
RESPIRATORY CULTURE AND GRAM STAIN,0.533,24,21,200,0.119,16,118,58,8.43,< 10^-7
"SODIUM, SERUM / PLASMA",0.244,11,34,354,0.037,5,129,56,8.35,< 10^-3
SHC IP CORTRAK DUMMY,0.244,11,34,37,0.037,5,129,11,8.35,< 10^-3
CORTRAK,0.244,11,34,37,0.037,5,129,11,8.35,< 10^-3
US ABDOMEN LIMITED,0.111,5,40,37,0.015,2,132,5,8.25,0.012
"AMYLASE, SERUM",0.111,5,40,20,0.015,2,132,4,8.25,0.012
RESPIRATORY RATE,0.111,5,40,177,0.015,2,132,47,8.25,0.012
CT CHEST ABDOMEN PELVIS WO IV CONTRAST,0.111,5,40,20,0.015,2,132,8,8.25,0.012
OK TO USE ELECTROMAGNETIC GUIDED FEEDING TUBE,0.311,14,31,100,0.052,7,127,29,8.19,< 10^-4
TRANSFERRIN SATURATION,0.2,9,36,32,0.03,4,130,8,8.13,< 10^-3
HIT FUNCTIONAL ASSAY,0.2,9,36,25,0.03,4,130,8,8.13,< 10^-3
FERRITIN,0.2,9,36,28,0.03,4,130,8,8.13,< 10^-3
CONTACT ISOLATION,0.2,9,36,41,0.03,4,130,10,8.13,< 10^-3
SURGICAL PROCEDURE,0.933,42,3,98,0.634,85,49,174,8.07,< 10^-4
VANCOMYCIN TROUGH LEVEL,0.356,16,29,225,0.067,9,125,94,7.66,< 10^-5
FEEDING TUBE(KAO FEED),0.422,19,26,111,0.09,12,122,49,7.43,< 10^-5
SLP VIDEO SWALLOW EVALUATE AND TREAT,0.222,10,35,22,0.037,5,129,17,7.37,< 10^-3
FL MODIFIED BARIUM SWALLOW INCLUDING VIDEO AND SPEECH,0.222,10,35,22,0.037,5,129,20,7.37,< 10^-3
"LDH TOTAL, SERUM / PLASMA",0.289,13,32,66,0.052,7,127,19,7.37,< 10^-4
SLP MBS SWALLOW IMAGE,0.222,10,35,22,0.037,5,129,18,7.37,< 10^-3
CT HEAD WO IV CONTRAST,0.311,14,31,106,0.06,8,126,51,7.11,< 10^-4
CT HEAD W AND WO IV CONTRAST BRAIN PERFUSION CT HEAD NECK ANGIOGRAPHY W IV CONTRAST STROKE,0.178,8,37,18,0.03,4,130,8,7.03,0.002
ECHO - LIMITED TRANSTHORACIC ECHO,0.178,8,37,25,0.03,4,130,11,7.03,0.002
"UREA, URINE (RANDOM)",0.133,6,39,16,0.022,3,131,6,6.72,0.009
GREEN TOP,0.133,6,39,12,0.022,3,131,6,6.72,0.009
POC ACT HEMOCHRON,0.133,6,39,28,0.022,3,131,9,6.72,0.009
PUPILLOMETER,0.133,6,39,26,0.022,3,131,12,6.72,0.009
"OCCULT BLD, GUAIAC, STOOL, DIAG TEST",0.267,12,33,27,0.052,7,127,16,6.6,< 10^-3
TRANSFUSE FRESH FROZEN PLASMA,0.911,41,4,387,0.612,82,52,470,6.5,< 10^-4
"C.DIFF TOXIN B GENE, QUAL. REAL-TIME PCR",0.2,9,36,90,0.037,5,129,16,6.45,0.001
DO NOT RAISE ARMS ABOVE SHOULDER LEVEL,0.2,9,36,24,0.037,5,129,13,6.45,0.001
PROMOTING SLEEP PROTOCOL,0.2,9,36,1329,0.037,5,129,163,6.45,0.001
REFERRAL TO INFECTIOUS DISEASE,0.089,4,41,5,0.015,2,132,2,6.44,0.036
"BILIRUBIN TOTAL AND FRACTIONATED, SERUM",0.089,4,41,22,0.015,2,132,4,6.44,0.036
CT HEAD NECK ANGIOGRAPHY W AND WO IV CONTRAST,0.089,4,41,12,0.015,2,132,5,6.44,0.036
"GLUCOSE NON-FASTING, SERUM/PLASMA",0.089,4,41,22,0.015,2,132,4,6.44,0.036
EMERGENCY OXYGEN WITH AMBU BAG,0.089,4,41,9,0.015,2,132,4,6.44,0.036
ACTUAL WEIGHT (KG),0.089,4,41,177,0.015,2,132,16,6.44,0.036
FLUID CULTURE AND GRAM STAIN,0.089,4,41,12,0.015,2,132,6,6.44,0.036
NOTIFY MD RESPIRATIONS <,0.089,4,41,10,0.015,2,132,4,6.44,0.036
TURN OFF PCA INFUSION,0.089,4,41,10,0.015,2,132,5,6.44,0.036
CONSULT TO INFECTIOUS DISEASE,0.089,4,41,11,0.015,2,132,7,6.44,0.036
NOTIFY MD:  RESPIRATORY DEPRESSION,0.089,4,41,10,0.015,2,132,4,6.44,0.036
FRESH FROZEN PLASMA PRODUCT,0.933,42,3,1081,0.687,92,42,1409,6.39,< 10^-3
BLOOD CULTURE (AEROBIC & ANAEROBIC BOTTLE),0.578,26,19,256,0.179,24,110,84,6.27,< 10^-6
BLOOD CULTURE (2 AEROBIC BOTTLES),0.578,26,19,242,0.179,24,110,81,6.27,< 10^-6
SMOOTH MUSCLE AB,0.044,2,43,4,0.007,1,133,2,6.19,0.156
MR BRAIN NECK ARTERIES W AND WO IV CONTRAST STROKE,0.044,2,43,9,0.007,1,133,2,6.19,0.156
BARTONELLA SPECIES AB,0.044,2,43,4,0.007,1,133,2,6.19,0.156
CONSULT TO NEPHROLOGY,0.044,2,43,5,0.007,1,133,2,6.19,0.156
CONSULT TO PHYSICAL MED REHAB,0.044,2,43,4,0.007,1,133,2,6.19,0.156
URINALYSIS MACROSCOPIC ONLY,0.044,2,43,4,0.007,1,133,2,6.19,0.156
ISTAT INR AND PROTIME,0.044,2,43,4,0.007,1,133,4,6.19,0.156
EYE CARE,0.044,2,43,4,0.007,1,133,2,6.19,0.156
ZINC,0.044,2,43,4,0.007,1,133,2,6.19,0.156
POCT ISTAT CG8,0.044,2,43,4,0.007,1,133,1,6.19,0.156
US ABDOMEN LIVER TRANSPLANT DOPPLER,0.044,2,43,6,0.007,1,133,3,6.19,0.156
BLADDER PRESSURE,0.044,2,43,266,0.007,1,133,6,6.19,0.156
RHEUMATOID FACTOR,0.044,2,43,5,0.007,1,133,2,6.19,0.156
"POC ISTAT, BLOOD GASES AND LACTATE (CG4)",0.044,2,43,4,0.007,1,133,1,6.19,0.156
CONSULT TO GENERAL SURGERY,0.044,2,43,7,0.007,1,133,2,6.19,0.156
COXIELLA BURNETII AB,0.044,2,43,6,0.007,1,133,2,6.19,0.156
EXTERNAL URINARY CATHETER,0.044,2,43,6,0.007,1,133,7,6.19,0.156
US ABDOMEN REFERENCE ONLY,0.044,2,43,4,0.007,1,133,2,6.19,0.156
IGM ANTI-HBC,0.044,2,43,7,0.007,1,133,2,6.19,0.156
CT DENTAL MAXILLA MANDIBLE WO IV CONTRAST AND 3D,0.044,2,43,4,0.007,1,133,2,6.19,0.156
DISCHARGE PRECAUTIONS,0.044,2,43,2,0.007,1,133,1,6.19,0.156
DAT C3 AND GAMMA,0.044,2,43,4,0.007,1,133,2,6.19,0.156
US CHEST REFERENCE ONLY,0.044,2,43,4,0.007,1,133,2,6.19,0.156
"STRAND-SPECIFIC SARS-COV-2, RT-PCR",0.044,2,43,5,0.007,1,133,5,6.19,0.156
CT CHEST ABDOMEN PELVIS ANGIOGRAPHY W AND WO IV CONTRAST,0.044,2,43,5,0.007,1,133,2,6.19,0.156
NSG REFERRAL TO CASE MGMT,0.044,2,43,3,0.007,1,133,2,6.19,0.156
XA CHEST REFERENCE ONLY,0.044,2,43,6,0.007,1,133,2,6.19,0.156
HGB A1C W/ EST MEAN GLUCOSE,0.044,2,43,3,0.007,1,133,2,6.19,0.156
"ELECTROLYTE PANEL, URINE WITH CREATININE",0.044,2,43,4,0.007,1,133,2,6.19,0.156
"ISTAT CG4,VENOUS",0.044,2,43,7,0.007,1,133,10,6.19,0.156
ABO/RH,0.8,36,9,312,0.396,53,81,178,6.11,< 10^-5
DIET TUBE FEEDING AND MEAL TRAY,0.222,10,35,357,0.045,6,128,124,6.1,0.001
PICC LINE PLACEMENT,0.244,11,34,38,0.052,7,127,22,5.87,< 10^-3
PICC LINE CARE,0.244,11,34,80,0.052,7,127,27,5.87,< 10^-3
OK TO USE TUBE/LINE,0.378,17,28,117,0.097,13,121,43,5.65,< 10^-4
"LIMITED TTE, MAY ADVANCE TO COMPLETE TTE IF CLINICALLY INDICATED",0.178,8,37,22,0.037,5,129,14,5.58,0.004
XR ABD 1 VIEW FOR FEEDING TUBE PLACEMENT,0.178,8,37,33,0.037,5,129,11,5.58,0.004
TSH,0.178,8,37,33,0.037,5,129,10,5.58,0.004
US ABDOMEN,0.178,8,37,80,0.037,5,129,18,5.58,0.004
HAV ANTIBODY IGG,0.111,5,40,10,0.022,3,131,8,5.46,0.025
NM WBCS WHOLE BODY INDIUM,0.111,5,40,16,0.022,3,131,6,5.46,0.025
XR ABD 1 VIEW,0.756,34,11,432,0.366,49,85,214,5.36,< 10^-5
HAPTOGLOBIN,0.2,9,36,32,0.045,6,128,12,5.33,0.003
MINT GREEN TOP,0.222,10,35,24,0.052,7,127,14,5.18,0.002
