protocol_name,frac_out,n_pat_out,no_ttt_out,n_pres_out,frac_not,n_pat_not,no_ttt_not,n_pres_not,odds_ratio,fisher_pval,pval_str,drg_no,outlier,drg
IP RD TUBE FEEDS,0.192,53,223,208,0.016,21,1328,54,15.03,1.1198990079768615e-26,< 10^-25,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.365,110,191,284,0.109,178,1454,411,4.7,3.3164659064516256e-25,< 10^-24,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC RIS CT CONTRAST ORDER SET,0.761,67,21,220,0.187,78,339,99,13.87,8.249203035489149e-25,< 10^-24,2448,hi,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.455,137,164,909,0.172,281,1351,1578,4.02,1.777307728087899e-24,< 10^-23,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.602,53,35,136,0.094,39,378,82,14.68,9.193256080029117e-24,< 10^-23,2448,hi,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.493,136,140,1104,0.209,282,1067,2096,3.68,1.1127879958776382e-20,< 10^-19,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
SHC RIS CT CONTRAST ORDER SET,0.725,74,28,184,0.246,106,325,151,8.1,4.336529482383493e-19,< 10^-18,6267,hi,MAJOR SMALL BOWEL PROCEDURES
IP ICU/CCU GENERAL ADMIT,0.475,143,158,1062,0.223,364,1268,2329,3.15,4.041983854588096e-18,< 10^-17,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC RIS CT CONTRAST ORDER SET,0.337,93,183,179,0.114,154,1195,197,3.94,6.8024448147094676e-18,< 10^-17,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
IP INSULIN TRANSITION OFF IV INFUSION,0.133,40,261,470,0.015,25,1607,182,9.85,8.487317575040815e-18,< 10^-17,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP ICU PAIN MANAGEMENT,0.219,66,235,375,0.055,89,1543,431,4.87,2.1009894513510012e-17,< 10^-16,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.342,41,79,130,0.049,29,566,78,10.13,2.5120452471069297e-17,< 10^-16,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC IP GEN ELECTROLYTE REPLACEMENT SCALES,0.411,99,142,688,0.156,191,1033,987,3.77,3.4792362794170256e-17,< 10^-16,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
IP RD TUBE FEEDS,0.176,53,248,200,0.035,57,1575,155,5.91,7.453002307280303e-17,< 10^-16,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.49,50,52,120,0.107,46,385,108,8.05,1.5958429205451936e-16,< 10^-15,6267,hi,MAJOR SMALL BOWEL PROCEDURES
SHC IP GEN TUBE FEEDING,0.123,34,242,70,0.011,15,1334,26,12.49,1.6006035776678136e-16,< 10^-15,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
SHC IP REN HEMODIALYSIS,0.233,28,92,451,0.017,10,585,82,17.8,1.2954231471426504e-15,< 10^-14,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.152,42,234,112,0.024,33,1316,72,7.16,3.306984231369195e-15,< 10^-14,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
