protocol_name,frac_out,n_pat_out,no_ttt_out,n_pres_out,frac_not,n_pat_not,no_ttt_not,n_pres_not,odds_ratio,fisher_pval,pval_str,drg_no,outlier,drg
IP RAD NEURORADIOLOGY POST-PROCEDURE,0.337,93,183,1350,0.065,88,1261,1115,7.28,1.5681804264256509e-30,< 10^-29,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.478,144,157,562,0.167,273,1359,794,4.57,4.458383197370349e-29,< 10^-28,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP GEN INTERAGENCY DISCHARGE ORDERS,0.569,157,119,819,0.234,316,1033,1305,4.31,1.4060986781009358e-26,< 10^-25,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
INTRA-OPERATIVE BLOOD PRODUCT AND TRANSFUSION ORDERS,0.481,89,96,385,0.116,88,673,234,7.09,8.705914170841139e-26,< 10^-25,2459,hi,HIP JOINT REPLACEMENT
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.659,58,30,243,0.122,51,366,139,13.87,3.3606601653913945e-24,< 10^-23,2448,hi,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
SHC IP GEN TUBE FEEDING,0.554,31,25,200,0.026,11,406,65,45.77,3.4376141526370644e-24,< 10^-23,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
IP VAST RN POST PLACEMENT (VAST RN ONLY),0.58,51,37,347,0.089,37,380,244,14.16,8.721518396197728e-23,< 10^-22,2448,hi,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
IP LABS CULTURES,0.5,60,60,481,0.094,56,539,189,9.63,1.2942214274203194e-22,< 10^-21,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
IP ICU/CCU GENERAL ADMIT,0.512,154,147,4231,0.235,383,1249,9887,3.42,5.302298335509738e-21,< 10^-20,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.85,102,18,2333,0.395,235,360,1765,8.68,8.449669745179579e-21,< 10^-20,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.458,55,65,242,0.089,53,542,162,8.65,6.251838240846748e-20,< 10^-19,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC IP GEN TUBE FEEDING,0.367,44,76,298,0.047,28,567,152,11.72,9.309841987958621e-20,< 10^-19,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC IP GEN TUBE FEEDING,0.216,65,236,247,0.046,75,1557,256,5.72,1.3701870626732061e-19,< 10^-18,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.423,102,139,347,0.151,185,1039,526,4.12,2.5468632750055197e-19,< 10^-18,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.395,73,112,354,0.102,78,683,171,5.71,5.563073941384107e-19,< 10^-18,2459,hi,HIP JOINT REPLACEMENT
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.549,56,46,222,0.123,53,378,190,8.68,1.2454276089277453e-18,< 10^-17,6267,hi,MAJOR SMALL BOWEL PROCEDURES
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.568,84,64,635,0.198,145,586,427,5.3,1.9201711118055672e-18,< 10^-17,2462,hi,DORSAL AND LUMBAR FUSION PROCEDURE EXCEPT FOR CURVATURE OF BACK
INTRA-OPERATIVE BLOOD PRODUCT AND TRANSFUSION ORDERS,0.77,114,34,962,0.383,280,451,1046,5.4,3.4007678387829183e-18,< 10^-17,2462,hi,DORSAL AND LUMBAR FUSION PROCEDURE EXCEPT FOR CURVATURE OF BACK
INTRA-OPERATIVE BLOOD PRODUCT AND TRANSFUSION ORDERS,0.569,157,119,754,0.289,390,959,1082,3.24,3.470367075721734e-18,< 10^-17,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.217,60,216,221,0.047,63,1286,159,5.67,1.1699075393574469e-17,< 10^-16,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.485,146,155,2265,0.235,383,1249,2751,3.07,1.280670158946833e-17,< 10^-16,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
"IP LAB SPECIMEN TESTING, CSF",0.181,50,226,414,0.03,41,1308,291,7.06,1.480375431091029e-17,< 10^-16,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
IP INSULIN TRANSITION OFF IV INFUSION,0.133,40,261,469,0.016,26,1606,187,9.47,1.861659223022405e-17,< 10^-16,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
IP VAST RN POST PLACEMENT (VAST RN ONLY),0.259,78,223,575,0.078,127,1505,838,4.14,4.0692665440995016e-17,< 10^-16,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP/ED GENERAL/EMERGENCY/MASSIVE TRANSFUSION,0.257,71,205,532,0.07,94,1255,351,4.62,4.13479728699997e-17,< 10^-16,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
IP ICU/CCU GENERAL ADMIT,0.502,121,120,3175,0.23,281,943,6834,3.38,1.551838627371113e-16,< 10^-15,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
SHC IP NAP (NOCTURNAL AWAKENING PREVENTION) IN THE ICU,0.169,51,250,492,0.033,54,1578,465,5.96,2.037446636307778e-16,< 10^-15,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP GEN TUBE FEEDING,0.191,46,195,176,0.033,40,1184,146,6.98,2.8149814845308116e-16,< 10^-15,2251,hi,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
RETIRE IP RAD INTERVENTIONAL RADIOLOGY POSTOP (SAME DAY DISCHARGE),0.261,23,65,359,0.01,4,413,36,36.53,2.5140010538348773e-15,< 10^-14,2448,hi,"MAJOR PANCREAS, LIVER AND SHUNT PROCEDURES"
IP REN CONTINUOUS RENAL REPLACEMENT THERAPY(CRRT),0.233,28,92,517,0.018,11,584,115,16.16,3.991727520687907e-15,< 10^-14,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC IP NSR ICU STROKE: SUBARACHANOID HEMORRHAGE,0.254,70,206,2357,0.076,103,1246,3069,4.11,5.435660545661505e-15,< 10^-14,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
IP LABS CULTURES,0.554,31,25,297,0.091,38,379,131,12.37,6.410495013122466e-15,< 10^-14,2398,hi,OTHER CARDIOTHORACIC AND THORACIC VASCULAR PROCEDURES
SHC ANE PACU,0.322,29,61,492,0.038,23,580,256,11.99,8.855487260240386e-15,< 10^-14,2259,hi,PSYCHOSES
INTRA-OPERATIVE BLOOD PRODUCT AND TRANSFUSION ORDERS,0.181,45,203,141,0.032,34,1017,74,6.63,8.938096922032814e-15,< 10^-14,1946,hi,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC
"IP VASCULAR ACCESS (PICC, EDPIV, USGPIV)",0.035,8,222,23,0.226,279,956,850,0.12,2.225906387920182e-14,< 10^-13,2251,lo,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
SHC IP CVICU HIGH RISK TUBE FEEDING PROTOCOL,0.2,24,96,61,0.012,7,588,12,21.0,3.0082161828274156e-14,< 10^-13,2392,hi,MAJOR CARDIOTHORACIC REPAIR OF HEART ANOMALY
SHC IP HYPERGLYCEMIA INSULIN CONTINUOUS IV INFUSION,0.166,50,251,2008,0.039,63,1569,1565,4.96,4.9971719520626167e-14,< 10^-13,2592,hi,SEPTICEMIA AND DISSEMINATED INFECTIONS
SHC IP GEN HEPARIN IV INFUSION PROTOCOLS,0.342,26,50,938,0.03,11,352,321,16.64,5.6125252440305945e-14,< 10^-13,2376,hi,OTHER RESPIRATORY AND CHEST PROCEDURES
IP VAST RN POST PLACEMENT (VAST RN ONLY),0.123,34,242,248,0.016,22,1327,144,8.47,7.037006157081339e-14,< 10^-13,2334,hi,OPEN CRANIOTOMY EXCEPT TRAUMA
