med_description_lo,frac_pat_lo,avg_n_pres_lo,n_pat_lo,n_pres_lo,med_description_hi,frac_pat_hi,avg_n_pres_hi,n_pat_hi,n_pres_hi
CHLORHEXIDINE GLUCONATE 0.12 % MM MWSH,1.0,1.9295774647887325,71,137,NALOXONE 0.4 MG/ML INJ SOLN,1.0,2.2244897959183674,49,109
NALOXONE 0.4 MG/ML INJ SOLN,1.0,2.0,71,142,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,1.0,3.510204081632653,49,172
POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,1.0,2.7183098591549295,71,193,SENNOSIDES 8.6 MG PO TABS,1.0,2.510204081632653,49,123
SENNOSIDES 8.6 MG PO TABS,1.0,2.084507042253521,71,148,BISACODYL 10 MG PR SUPP,0.9795918367346939,1.9795918367346939,48,97
ACETAMINOPHEN 500 MG PO TABS,0.9859154929577465,1.9577464788732395,70,139,ONDANSETRON 4 MG PO TBDL,0.9795918367346939,1.7755102040816326,48,87
ONDANSETRON 4 MG PO TBDL,0.9859154929577465,1.8028169014084507,70,128,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.9795918367346939,1.530612244897959,48,75
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,0.9859154929577465,1.4647887323943662,70,104,OXYCODONE 5 MG PO TABS,0.9795918367346939,6.204081632653061,48,304
OXYCODONE 5 MG PO TABS,0.9859154929577465,5.23943661971831,70,372,CHLORHEXIDINE GLUCONATE 0.12 % MM MWSH,0.9591836734693877,1.9387755102040816,47,95
DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.9577464788732394,2.211267605633803,68,157,DEXTROSE 50 % IN WATER (D50W) IV SYRG,0.9591836734693877,2.306122448979592,47,113
POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.9577464788732394,1.1408450704225352,68,81,HYDROMORPHONE 1 MG/ML INJ SYRG,0.9591836734693877,3.693877551020408,47,181
POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.9577464788732394,1.8169014084507042,68,129,MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PGBK,0.9591836734693877,1.7142857142857142,47,84
POTASSIUM CHLORID-D5-0.45%NACL 20 MEQ/L IV SOLP,0.9436619718309859,0.971830985915493,67,69,MAGNESIUM SULFATE IN WATER 2 GRAM/50 ML (4 %) IV PGBK,0.9591836734693877,1.9795918367346939,47,97
POTASSIUM CHLORIDE IN WATER 10 MEQ/50 ML IV PGBK,0.9436619718309859,1.1267605633802817,67,80,POTASSIUM CHLORIDE IN WATER 20 MEQ/50 ML IV PGBK,0.9591836734693877,2.5918367346938775,47,127
SODIUM CHLORIDE 0.9 % (FLUSH) INJ SYRG,0.9436619718309859,0.9436619718309859,67,67,ACETAMINOPHEN 500 MG PO TABS,0.9387755102040817,2.3469387755102042,46,115
BISACODYL 10 MG PR SUPP,0.9295774647887324,1.4225352112676057,66,101,ASCORBIC ACID (VITAMIN C) 500 MG PO TABS,0.9387755102040817,1.3673469387755102,46,67
HYDROMORPHONE 1 MG/ML INJ SYRG,0.9295774647887324,3.0,66,213,"CALCIUM CARBONATE 400 MG CALCIUM (1,000 MG) PO CHEW",0.9387755102040817,1.183673469387755,46,58
NORMOSOL-R IV BOLUS - 500 ML,0.9295774647887324,4.901408450704225,66,348,FERROUS SULFATE 325 MG (65 MG IRON) PO TABS,0.9387755102040817,1.3673469387755102,46,67
BENZOCAINE-MENTHOL SUGAR FREE MAXIMUM STRENGTH LOZG,0.9014084507042254,0.9295774647887324,64,66,GLUCOSE 4 GRAM PO CHEW,0.9387755102040817,1.2040816326530612,46,59
"CALCIUM CARBONATE 400 MG CALCIUM (1,000 MG) PO CHEW",0.9014084507042254,0.9436619718309859,64,67,POTASSIUM CHLORID-D5-0.45%NACL 20 MEQ/L IV SOLP,0.9387755102040817,1.0408163265306123,46,51
FUROSEMIDE 10 MG/ML INJ SOLN,0.9014084507042254,2.9577464788732395,64,210,POTASSIUM CHLORIDE IN WATER 10 MEQ/100 ML IV PGBK,0.9387755102040817,1.4285714285714286,46,70
